n,k,i,p,m,r,t
1024,1,1,4274744493,0,11,123269750
1024,1,1,4287289594,0,11,211907626
1024,1,1,4289147806,0,11,154028895
1024,1,1,4290301030,0,11,211704180
1024,1,1,4290592702,0,11,165754280
1024,1,1,4291309678,0,11,166464891
1024,1,1,4293604220,0,11,184140168
1024,1,1,4294179994,0,11,120892427
1024,1,1,4294279834,0,11,120767520
1024,1,1,4294338090,0,11,162433958
1024,1,1,4294429509,0,11,195831666
1024,1,1,4294772843,0,11,153041005
2048,1,1,4286026814,0,12,150071334
2048,1,1,4290739015,0,12,199228726
2048,1,1,4291602035,0,12,183328172
2048,1,1,4291873949,0,12,119093915
2048,1,1,4293358143,0,12,118654708
2048,1,1,4293546705,0,12,192456327
2048,1,1,4293669548,0,12,156753150
2048,1,1,4294030788,0,12,166830085
2048,1,1,4294181519,0,12,118483195
2048,1,1,4294292015,0,12,188041428
2048,1,1,4294759758,0,12,146150065
2048,1,1,4294782885,0,12,211839468
4096,1,1,4292433229,0,13,200022260
4096,1,1,4293005737,0,13,146653587
4096,1,1,4293273709,0,13,170498514
4096,1,1,4293464887,0,13,119675570
4096,1,1,4293960587,0,13,121254263
4096,1,1,4293992141,0,13,166132172
4096,1,1,4294081888,0,13,211911934
4096,1,1,4294385152,0,13,212306625
4096,1,1,4294706743,0,13,183757547
4096,1,1,4294855628,0,13,148359774
4096,1,1,4294887600,0,13,121568968
4096,1,1,4294939103,0,13,200027248
8192,1,1,4294234085,0,14,120230428
8192,1,1,4294297449,0,14,199899115
8192,1,1,4294505215,0,14,162495085
8192,1,1,4294563136,0,14,120717846
8192,1,1,4294626178,0,14,121612946
8192,1,1,4294721515,0,14,160622996
8192,1,1,4294742768,0,14,207867988
8192,1,1,4294795178,0,14,146724159
8192,1,1,4294809281,0,14,166206211
8192,1,1,4294814302,0,14,187692934
8192,1,1,4294893034,0,14,195627770
8192,1,1,4294901226,0,14,187869414
16384,1,1,4294464577,0,15,219463061
16384,1,1,4294527717,0,15,125570322
16384,1,1,4294594073,0,15,180519207
16384,1,1,4294652431,0,15,148304810
16384,1,1,4294726706,0,15,196539290
16384,1,1,4294784611,0,15,175134968
16384,1,1,4294802705,0,15,219832077
16384,1,1,4294849555,0,15,219400382
16384,1,1,4294944592,0,15,125887359
16384,1,1,4294958989,0,15,183634255
16384,1,1,4294960907,0,15,125294635
16384,1,1,4294966254,0,15,176331959
32768,1,1,4294586618,0,16,133261380
32768,1,1,4294684368,0,16,129474440
32768,1,1,4294696085,0,16,195719019
32768,1,1,4294807130,0,16,134892515
32768,1,1,4294810432,0,16,148849726
32768,1,1,4294835866,0,16,166686872
32768,1,1,4294849551,0,16,231657229
32768,1,1,4294872836,0,16,195898709
32768,1,1,4294873971,0,16,170543532
32768,1,1,4294899275,0,16,232050569
32768,1,1,4294951629,0,16,219596599
32768,1,1,4294959309,0,16,219635900
65536,1,1,4294884637,0,17,143853723
65536,1,1,4294901288,0,17,239322565
65536,1,1,4294902255,0,17,231757014
65536,1,1,4294911939,0,17,184418196
65536,1,1,4294931991,0,17,227656716
65536,1,1,4294939339,0,17,186241420
65536,1,1,4294948281,0,17,232136544
65536,1,1,4294955209,0,17,236247069
65536,1,1,4294955309,0,17,145923304
65536,1,1,4294955516,0,17,239896108
65536,1,1,4294956883,0,17,141525533
65536,1,1,4294962961,0,17,137605484
131072,1,1,4294851647,0,18,203321240
131072,1,1,4294857137,0,18,267713677
131072,1,1,4294900850,0,18,280195414
131072,1,1,4294921137,0,18,161869856
131072,1,1,4294924407,0,18,205542759
131072,1,1,4294941107,0,18,279487056
131072,1,1,4294951909,0,18,163117746
131072,1,1,4294956042,0,18,291835814
131072,1,1,4294957986,0,18,162355264
131072,1,1,4294957986,0,18,279925831
131072,1,1,4294961152,0,18,158246641
131072,1,1,4294965878,0,18,279589165
262144,1,1,4294915767,0,19,247773902
262144,1,1,4294939777,0,19,351882986
262144,1,1,4294951207,0,19,207189972
262144,1,1,4294951628,0,19,376003726
262144,1,1,4294954239,0,19,210506351
262144,1,1,4294955969,0,19,351719658
262144,1,1,4294955988,0,19,363858032
262144,1,1,4294960857,0,19,363632032
262144,1,1,4294961642,0,19,364011814
262144,1,1,4294961771,0,19,247597398
262144,1,1,4294965952,0,19,201179086
262144,1,1,4294966223,0,19,210975258
524288,1,1,4294950698,0,20,531511386
524288,1,1,4294951528,0,20,562266761
524288,1,1,4294952249,0,20,296125349
524288,1,1,4294952763,0,20,331455797
524288,1,1,4294956912,0,20,555678888
524288,1,1,4294959425,0,20,330588470
524288,1,1,4294962390,0,20,291321835
524288,1,1,4294962969,0,20,556084975
524288,1,1,4294965753,0,20,297800462
524288,1,1,4294967041,0,20,297863234
524288,1,1,4294967077,0,20,555833915
524288,1,1,4294967120,0,20,555329914
1048576,1,1,4294949269,0,21,915436298
1048576,1,1,4294949643,0,21,915593481
1048576,1,1,4294956616,0,21,928545907
1048576,1,1,4294957266,0,21,935921638
1048576,1,1,4294959045,0,21,485159544
1048576,1,1,4294962871,0,21,481112496
1048576,1,1,4294963559,0,21,482947744
1048576,1,1,4294966064,0,21,927846909
1048576,1,1,4294966280,0,21,514580866
1048576,1,1,4294966729,0,21,521658044
1048576,1,1,4294966906,0,21,481968727
1048576,1,1,4294967156,0,21,932447347
2097152,1,1,4294960243,0,22,1708014597
2097152,1,1,4294962614,0,22,899786984
2097152,1,1,4294962837,0,22,874189534
2097152,1,1,4294964450,0,22,916925088
2097152,1,1,4294964604,0,22,1719805256
2097152,1,1,4294965294,0,22,912155077
2097152,1,1,4294965672,0,22,1719241936
2097152,1,1,4294966277,0,22,1101334008
2097152,1,1,4294966560,0,22,878628942
2097152,1,1,4294966645,0,22,870484726
2097152,1,1,4294966687,0,22,1720003684
2097152,1,1,4294967012,0,22,1708093397
4194304,1,1,4294964275,0,23,3339517522
4194304,1,1,4294964678,0,23,1685724589
4194304,1,1,4294965401,0,23,3328068376
4194304,1,1,4294965435,0,23,1727109327
4194304,1,1,4294965775,0,23,3328430212
4194304,1,1,4294965814,0,23,1731881974
4194304,1,1,4294966007,0,23,1853489851
4194304,1,1,4294966124,0,23,1689384083
4194304,1,1,4294966662,0,23,1684596106
4194304,1,1,4294966694,0,23,3339954443
4194304,1,1,4294966763,0,23,1685615396
4194304,1,1,4294967134,0,23,3351610893
8388608,1,1,4294964800,0,24,3994679384
8388608,1,1,4294965739,0,24,3377082413
8388608,1,1,4294966035,0,24,3382875910
8388608,1,1,4294966508,0,24,3383265288
8388608,1,1,4294966620,0,24,6715503353
8388608,1,1,4294966739,0,24,6736315329
8388608,1,1,4294966881,0,24,6712436615
8388608,1,1,4294966900,0,24,3418330329
8388608,1,1,4294966997,0,24,3384509489
8388608,1,1,4294967038,0,24,6711714049
8388608,1,1,4294967233,0,24,6675774033
8388608,1,1,4294967248,0,24,3406291206
16777216,1,1,4294966010,0,25,12513329293
16777216,1,1,4294966030,0,25,13696726455
16777216,1,1,4294966538,0,25,6922127995
16777216,1,1,4294966762,0,25,6888146140
16777216,1,1,4294966894,0,25,6881838293
16777216,1,1,4294967043,0,25,13719697079
16777216,1,1,4294967083,0,25,6908010826
16777216,1,1,4294967135,0,25,13708806267
16777216,1,1,4294967183,0,25,6885850958
16777216,1,1,4294967228,0,25,6877848763
16777216,1,1,4294967288,0,25,12951914020
16777216,1,1,4294967291,0,25,13755453163
33554432,1,1,4294967066,0,27,28300617844
33554432,1,1,4294967112,0,26,28228336219
33554432,1,1,4294967130,0,26,14208753512
33554432,1,1,4294967149,0,26,28251974823
33554432,1,1,4294967158,0,26,28243736671
33554432,1,1,4294967189,0,26,14173443061
33554432,1,1,4294967223,0,26,14147476158
33554432,1,1,4294967238,0,26,14137438656
33554432,1,1,4294967244,0,26,14150116188
33554432,1,1,4294967287,0,27,28263733540
33554432,1,1,4294967290,0,26,14162331748
33554432,1,1,4294967292,0,26,14129560915
67108864,1,1,4294967128,0,27,57436707420
67108864,1,1,4294967174,0,27,57503556541
67108864,1,1,4294967183,0,27,29164090502
67108864,1,1,4294967213,0,27,29159178725
67108864,1,1,4294967245,0,27,29209744121
67108864,1,1,4294967247,0,27,30034840171
67108864,1,1,4294967253,0,27,57459694000
67108864,1,1,4294967269,0,28,29150376903
67108864,1,1,4294967272,0,28,29241601854
67108864,1,1,4294967277,0,27,29220929707
67108864,1,1,4294967285,0,27,58264122474
67108864,1,1,4294967285,0,27,58311929625
134217728,1,1,4294967215,0,28,60179910789
134217728,1,1,4294967249,0,29,60279099477
134217728,1,1,4294967254,0,28,93400683921
134217728,1,1,4294967257,0,28,120627504466
134217728,1,1,4294967261,0,29,60202051271
134217728,1,1,4294967265,0,28,60497643388
134217728,1,1,4294967274,0,29,112682143610
134217728,1,1,4294967275,0,28,119644226198
134217728,1,1,4294967279,0,28,117400665931
134217728,1,1,4294967293,0,28,116379927715
134217728,1,1,4294967295,0,28,119500785473
134217728,1,1,4294967295,0,28,60233588914
268435456,1,1,4294967235,0,30,124716018507
268435456,1,1,4294967262,0,29,248728196910
268435456,1,1,4294967265,0,30,124456302693
268435456,1,1,4294967275,0,29,247612560322
268435456,1,1,4294967281,0,29,247744208750
268435456,1,1,4294967281,0,29,248943861406
268435456,1,1,4294967284,0,29,249472368133
268435456,1,1,4294967290,0,29,247276464166
268435456,1,1,4294967292,0,30,126020121152
268435456,1,1,4294967293,0,29,124215787708
268435456,1,1,4294967293,0,29,124437971663
268435456,1,1,4294967295,0,30,247048517268
