n,k,i,p,m,r,t
1024,1,1,2116677075,0,11,207947878
1024,1,1,2121147143,0,11,157498532
1024,1,1,2135299980,0,11,211730594
1024,1,1,2137985100,0,11,162620141
1024,1,1,2141070448,0,11,212217312
1024,1,1,2145355362,0,11,119561710
1024,1,1,2164574216,0,11,211789525
1024,1,1,2168959708,0,11,175956045
1024,1,1,2176352625,0,11,174827386
1024,1,1,2188627514,0,11,169337597
1024,1,1,2215111390,0,11,121673374
1024,1,1,2236457196,0,11,123070544
2048,1,1,2052017074,0,12,207257174
2048,1,1,2076964402,0,12,159678456
2048,1,1,2084165066,0,12,120527572
2048,1,1,2089851365,0,12,154104747
2048,1,1,2135420801,0,12,207752535
2048,1,1,2139233446,0,12,188117776
2048,1,1,2143490547,0,12,120000872
2048,1,1,2144726628,0,12,122772923
2048,1,1,2167846861,0,12,211961379
2048,1,1,2180056853,0,12,156882457
2048,1,1,2194391815,0,12,211787640
2048,1,1,2243615421,0,12,149186874
4096,1,1,2114177151,0,13,148531116
4096,1,1,2118000079,0,13,122908687
4096,1,1,2131654504,0,13,211446534
4096,1,1,2138866962,0,13,215894593
4096,1,1,2143053771,0,13,141763030
4096,1,1,2153795023,0,13,183477640
4096,1,1,2154170375,0,13,121447319
4096,1,1,2163190915,0,13,121709219
4096,1,1,2166471144,0,13,174185276
4096,1,1,2185811681,0,13,179420866
4096,1,1,2186683032,0,13,162687358
4096,1,1,2221867220,0,13,200054155
8192,1,1,2106820841,0,14,211345110
8192,1,1,2130872670,0,14,162480864
8192,1,1,2131068316,0,14,121934122
8192,1,1,2148211502,0,14,211972630
8192,1,1,2157282185,0,14,212023766
8192,1,1,2163008032,0,14,126902004
8192,1,1,2163871096,0,14,171122039
8192,1,1,2165536028,0,14,195516227
8192,1,1,2173124874,0,14,160871674
8192,1,1,2176323746,0,14,211429235
8192,1,1,2183436953,0,14,121760618
8192,1,1,2195338712,0,14,211838654
16384,1,1,2103840567,0,15,220252258
16384,1,1,2139780732,0,15,171228497
16384,1,1,2142147107,0,15,123091539
16384,1,1,2147625398,0,15,195880685
16384,1,1,2147898385,0,15,133722696
16384,1,1,2149106907,0,15,219976160
16384,1,1,2149328070,0,15,128447132
16384,1,1,2150497332,0,15,127942214
16384,1,1,2166746743,0,15,164126229
16384,1,1,2169800607,0,15,195347237
16384,1,1,2170034041,0,15,219474059
16384,1,1,2183149564,0,15,155129028
32768,1,1,2139024688,0,16,219840805
32768,1,1,2140711215,0,16,231385511
32768,1,1,2141490127,0,16,126123921
32768,1,1,2143743912,0,16,129926212
32768,1,1,2144964462,0,16,173849562
