n,k,i,p,m,r,t
1024,1,1,1505107,0,12,211979507
1024,1,1,15565119,0,12,166190787
1024,1,1,1606048,0,12,125177337
1024,1,1,16684,0,12,211387894
1024,1,1,1978583,0,12,152137713
1024,1,1,2229080,0,12,211660491
1024,1,1,2509526,0,12,184004895
1024,1,1,3849786,0,12,195883770
1024,1,1,4147425,0,12,120490149
1024,1,1,417373,0,12,120278890
1024,1,1,4927160,0,12,170678894
1024,1,1,6741121,0,12,156877899
2048,1,1,1084201,0,13,171552026
2048,1,1,140220,0,13,121546954
2048,1,1,1792005,0,13,212024752
2048,1,1,207608,0,13,162260443
2048,1,1,236861,0,13,125379447
2048,1,1,252583,0,13,207621641
2048,1,1,2647390,0,13,211693815
2048,1,1,3499796,0,13,123820965
2048,1,1,4851863,0,13,211856738
2048,1,1,593829,0,13,150091582
2048,1,1,679463,0,13,211687988
2048,1,1,869200,0,13,120566236
4096,1,1,1185090,0,14,123243010
4096,1,1,1189915,0,14,188662569
4096,1,1,1297943,0,14,188723367
4096,1,1,1381326,0,14,183293228
4096,1,1,167566,0,14,211721298
4096,1,1,19502,0,14,162018974
4096,1,1,227613,0,14,208207337
4096,1,1,270333,0,14,123506282
4096,1,1,301250,0,14,166671454
4096,1,1,3575349,0,14,128351302
4096,1,1,85368,0,14,125795693
4096,1,1,989031,0,14,212402349
8192,1,1,1185998,0,15,211958488
8192,1,1,119677,0,15,161526607
8192,1,1,139228,0,15,158527229
8192,1,1,261835,0,15,165980065
8192,1,1,287814,0,15,124537231
8192,1,1,311880,0,15,121423820
8192,1,1,399298,0,15,124338809
8192,1,1,45583,0,15,211518805
8192,1,1,83126,0,15,207939271
8192,1,1,90380,0,15,125031902
8192,1,1,907024,0,15,183332182
8192,1,1,963447,0,15,211891840
16384,1,1,139563,0,16,208928142
16384,1,1,14383,0,16,195868099
16384,1,1,17711,0,16,195269408
16384,1,1,202437,0,16,128856727
16384,1,1,255396,0,16,162574722
16384,1,1,278947,0,16,220015449
16384,1,1,298893,0,16,219851001
16384,1,1,376353,0,16,219558086
16384,1,1,426001,0,16,166301682
16384,1,1,528066,0,16,162476117
16384,1,1,535897,0,16,125577513
16384,1,1,85627,0,16,124822630
32768,1,1,113301,0,17,232298313
32768,1,1,126239,0,17,154792929
32768,1,1,139692,0,17,128829661
32768,1,1,149926,0,17,231939179
32768,1,1,187656,0,17,182625333
32768,1,1,257863,0,17,231442342
32768,1,1,269158,0,17,136228278
32768,1,1,342358,0,17,130147380
32768,1,1,37129,0,17,170435827
32768,1,1,451880,0,17,208136373
32768,1,1,8085,0,17,136279358
32768,1,1,84495,0,17,231430664
65536,1,1,111372,0,18,203667674
65536,1,1,17304,0,18,178619346
65536,1,1,26845,0,18,177646456
65536,1,1,38941,0,18,243551643
65536,1,1,42489,0,18,148304029
65536,1,1,50106,0,18,239936318
65536,1,1,62799,0,18,169071392
65536,1,1,6541,0,18,255909045
65536,1,1,71803,0,18,216442597
65536,1,1,71899,0,18,139467070
65536,1,1,76347,0,18,256165342
65536,1,1,9674,0,18,142152488
131072,1,1,13664,0,19,280309123
131072,1,1,152703,0,19,291787629
131072,1,1,15728,0,19,268320723
131072,1,1,17247,0,19,292672663
131072,1,1,29291,0,19,198729108
131072,1,1,32542,0,19,163149060
131072,1,1,36776,0,19,157930418
131072,1,1,49698,0,19,292262761
131072,1,1,5042,0,19,160593226
131072,1,1,56259,0,19,279589823
131072,1,1,57239,0,19,161757937
131072,1,1,6909,0,19,156570258
262144,1,1,10221,0,20,209279812
262144,1,1,10785,0,20,243363807
262144,1,1,12256,0,20,351986667
262144,1,1,1367,0,20,204367002
262144,1,1,15840,0,20,375388467
262144,1,1,16092,0,20,363967615
262144,1,1,22903,0,20,363180285
262144,1,1,27192,0,20,375102211
262144,1,1,30320,0,20,376412534
262144,1,1,34703,0,20,241259123
262144,1,1,4030,0,20,202470374
