n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
1024,16,16,4279147590,660,12,281702593,275146527,273319515,271123218,267726655,275806730,268601962,279939346,274875685,270743095,287506642,284482777,276956012,267454962,259312769,285669264,287506642
1024,16,16,4292089698,1140,20,263985907,268788651,267649091,275183224,262974626,271173523,262880038,278693006,259860106,275356382,280421704,276270532,282242958,270368839,266351094,270331857,282242958
1024,16,16,4293950342,1140,20,261530643,263572142,273777780,268642516,280314481,269152041,276971181,275570648,271297583,282057332,265352951,260417253,283018495,271649281,278903491,270669283,283018495
1024,16,16,4294761742,1200,21,272892460,265027074,271300644,262151260,262905542,268333710,268167388,276295788,257783778,264248467,276144664,270026164,263232435,278042809,274400787,267772627,278042809
2048,16,16,4292840105,1200,21,258408513,268728373,262560876,255615642,255505709,263135719,251323551,268484475,270079597,263817633,276343853,260340382,568286875,566249018,569488177,566238372,569488177
2048,16,16,4293227897,540,10,265199245,253317184,252974058,260210978,262533089,241532428,249031225,260274642,264971995,271179346,280889831,259580591,263319663,267643758,257894552,252922397,280889831
2048,16,16,4293517691,1200,21,269481916,269839061,264957110,261009876,263172452,258205584,265938954,258628905,273890286,283121065,269206113,262765601,265945248,268141997,278933920,274874541,283121065
2048,16,16,4293582822,1260,22,267155512,259333755,274872404,268110054,262990696,271977958,254362569,260901338,279329372,283547659,267049038,270649639,272579720,262896267,279826248,275796907,283547659
4096,16,16,4290865326,780,14,262769762,266128721,261237456,253622407,247049611,268165995,271319097,260644589,279189273,269451134,261302593,289887115,286864381,279410820,275763885,265364001,289887115
4096,16,16,4291833049,1080,19,271513693,264056041,267742421,259141161,266520460,254678764,262234809,258317826,283564079,266315070,279528206,272953450,274297949,285385481,279902854,269095383,285385481
4096,16,16,4294662796,780,14,279128815,286559681,282814584,276151258,291104023,284575001,277045017,270790469,281587552,276790334,294592878,293121491,294587382,279735193,288852254,275143197,294592878
4096,16,16,4294883146,540,10,291646204,287143206,284607659,279588223,286244211,281953133,277766650,273679720,282342506,271305525,276334634,282277557,288026258,277019611,291033527,294535555,294535555
8192,16,16,4294806442,480,9,253509638,260266404,257649284,250064158,266240290,258010765,266396594,257825034,274104388,277730972,266319556,262574685,277661756,274628909,267291938,263485689,277730972
8192,16,16,4294812942,1380,24,259271240,265677326,261016957,259094999,253816504,256115565,265954198,252979597,251911604,263980532,258063346,271433139,273807830,259069061,264313768,270713907,273807830
8192,16,16,4294841464,1320,23,252273054,250828728,259664364,270948753,265509110,264106305,258526358,264768397,262203286,271362702,266171126,254639069,255544493,249963192,267362455,263608251,271362702
8192,16,16,4294951431,780,14,276262951,282357915,285315618,282329750,272567586,280544668,274448926,286925747,291463078,286287116,279549566,273430591,289503751,268163679,284069654,279380021,291463078
16384,16,16,4293888249,1140,20,268903054,279298775,277179019,290134735,275335246,283711970,281284951,285489436,282316784,278573140,295787518,292175896,288056360,293817532,282823089,279784417,295787518
16384,16,16,4294386924,1500,26,284002906,277051603,269135248,283589205,289130187,273532576,281446707,277600657,288089289,281560876,276039542,299343716,285918873,280419309,290330535,275414532,299343716
16384,16,16,4294785168,1380,24,265117239,261229760,270691671,267806786,258037278,264800123,278879142,272998662,270265989,264019308,279141818,256282368,282924158,278631622,270907401,274625029,282924158
16384,16,16,4294895145,1680,29,259864159,254461119,267592345,264731631,263563188,253415810,257467291,269964726,274144223,257897578,270901123,266133535,277530555,274987277,263641384,268666043,277530555
32768,16,16,4294803162,840,15,257713187,253889648,256061536,264404032,259810022,253816128,257989642,276625716,270014893,271534369,275860653,259729992,265397499,274284829,267441896,255763015,276625716
32768,16,16,4294854173,1140,20,292969393,304001018,287530520,292767038,298852104,290913528,300659652,298225365,271662667,285105762,292827612,282730611,310755294,300148059,308394466,296729910,310755294
32768,16,16,4294952472,660,12,265041664,267801078,263987639,272622653,260176507,271154978,262421989,258374621,286759917,279226254,274735535,266839196,275589652,273119404,267296620,261702152,286759917
32768,16,16,4294954696,1140,20,266275029,264507252,270040091,258265737,264351884,275131768,269659168,264336459,271658623,275868379,271489252,260348916,264449904,271726865,261044677,266420122,275868379
65536,16,16,4294827986,600,11,262302900,270108367,263221397,267105639,274647401,272556423,275711593,268200254,251743177,289717983,273522474,283807052,279064829,275567042,271394035,262039730,289717983
