n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
1024,16,16,2078560529,1260,22,249371734,263237037,256737069,252857858,257391028,253633198,262573876,250790278,274427204,258012868,269085266,262567060,269840195,268269778,274362783,259766698,274427204
1024,16,16,2124009462,1020,18,241213606,249901399,245442802,237948241,254951947,241163915,248259473,244954326,262487837,258184085,252217875,246186396,260325940,259530680,251341692,247941466,262487837
1024,16,16,2211738973,720,13,261792890,242265591,248264006,255655706,270288993,265937379,262138155,274301638,270504708,244973837,263472998,254023958,282677829,262765180,274660359,268794394,282677829
1024,16,16,2234933195,1320,23,263986682,259883173,272356635,267777093,263855211,274010280,267517234,260525431,261609671,257153572,268578615,274680087,268012455,253139968,262949737,278743982,278743982
2048,16,16,2110459942,840,15,275748364,283135829,290214576,297930773,291729837,287779131,284208632,270636172,289435304,278299498,297652333,287020897,304415331,293155105,298832170,287882349,304415331
2048,16,16,2175942139,300,6,253275299,243299056,249520384,247566035,246317364,240217294,254435417,241368765,238186532,254594116,256600909,246392106,252167986,246740693,257636002,252916248,257636002
2048,16,16,2192994897,480,9,264546994,256738730,253022965,260469601,258552004,254126556,250012215,263214775,263368010,253630667,270365111,257838372,266570360,254926351,259429235,272730926,272730926
2048,16,16,2247647098,420,8,256456155,259746627,251888181,264353217,260150411,256685473,255126232,249666709,254946505,254497989,261571377,267750049,271052486,268769664,260949068,256952869,271052486
4096,16,16,2085164228,1200,21,274387239,269360864,282249730,277694368,281556969,290405904,279115640,285726993,286747307,305698646,299137651,291791568,300783115,276355961,293021075,284501783,305698646
4096,16,16,2134018736,780,14,259855100,265794028,259407328,266331691,253499092,247285829,275360854,271371769,261640734,274489445,270440237,257032769,274659638,263345856,278220423,267571553,278220423
4096,16,16,2175231972,420,8,244954308,250911746,259021115,258733570,252982522,262944850,257524634,252831384,267120982,262192321,250595777,255605848,261203727,251392576,266215188,255377782,267120982
4096,16,16,2176294762,1140,20,243806525,256733990,250263594,236997151,248191634,259404776,255616449,252266357,249915722,265650978,244105985,258144642,269017283,266517126,260333663,255707188,269017283
8192,16,16,2097859292,2100,36,275181157,281012201,274934571,277225500,280772759,269327585,269255780,274203686,282791895,277210953,289611336,296178430,290471862,282618954,266918455,274014231,296178430
8192,16,16,2149333098,1560,27,269549097,283063562,275566978,278543742,272405030,280478440,279226383,284819197,279151622,272174142,254926078,263922871,287592449,275094625,283133873,265123120,287592449
8192,16,16,2155366380,1740,30,277077632,287079597,287599969,278673496,274630044,282293981,281201588,274204609,282627924,276536620,275699729,285884486,291554590,288126076,298359099,280656576,298359099
8192,16,16,2159041737,900,16,264390988,260947816,265707462,261898806,268395511,258607535,280991111,276355332,267891552,275637575,262194627,257089992,270609905,260027420,255425235,268783252,280991111
16384,16,16,2119892406,840,15,262518588,254508073,251546504,249851553,258704893,262762441,258343899,255479667,265840753,271166772,262826648,255532650,263764493,260145446,272082257,275357604,275357604
16384,16,16,2141629243,960,17,253700831,258924343,266652238,261978785,251108598,263211605,255483614,243528314,262187545,267563445,252018547,243097572,273076925,270388730,262463204,259563895,273076925
16384,16,16,2143991156,720,13,274972015,271260943,270964623,278376055,266106185,274777161,271851119,266059830,272350916,283459182,285910344,289757743,273988136,282520568,271062094,276227128,289757743
16384,16,16,2173376887,1260,22,244787361,260005949,250653399,255076681,247726094,261932225,258372680,252673811,268748162,258400420,265584479,269056302,258409996,254346587,266815896,258369608,269056302
