n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
1024,16,16,12753839,900,16,296180638,291594410,283740066,288244231,293511271,281739274,289062203,286253709,305012211,289998406,303198331,294722736,300966849,285034165,299745341,291368111,305012211
1024,16,16,1389111,900,16,268323806,266905343,275757891,270999069,263028999,278697582,265474724,272208506,273570312,258312146,269937897,266072508,277918544,267405601,275361399,263696494,278697582
1024,16,16,190004,1380,24,245795528,259799771,252631023,238592119,260653889,267462315,262175666,254808761,276222042,259488177,272475949,265392277,276400602,268544065,264332223,274204353,276400602
1024,16,16,3654486,1560,27,260381319,265415498,257965514,272113457,273245587,268698784,261640724,257948659,285724048,280483443,274511012,269140554,268815836,283400235,266114332,277558963,285724048
2048,16,16,3282228,1560,27,270173391,261765557,265565615,258288636,264602081,269321350,273285548,261899643,265916515,280801706,270388673,275957753,275352051,266354368,270032747,284239273,284239273
2048,16,16,3448413,660,12,262624720,270446195,255209939,248818954,251478659,261886221,270429176,256360904,267490306,276893605,262306387,252313149,283292923,273781858,279824091,268598358,283292923
2048,16,16,4486493,1680,29,256876464,260640469,268727650,269752970,265700828,264077689,259382922,256831256,270876504,254537004,266727803,259694560,278311928,269559644,255190948,262415986,278311928
2048,16,16,5280813,1260,22,253566317,258015515,249417637,245906186,263861675,252764758,260612018,256655558,251018108,260234423,263764559,248595112,265770929,271947083,258146293,274319416,274319416
4096,16,16,1329581,840,15,263845749,277467875,272969559,271255348,273462950,268718806,283094732,278040845,260020412,264992381,271010396,253893601,274076498,285319571,283580313,271800538,285319571
4096,16,16,168766,660,12,263625650,271686196,266479096,258816731,274408977,264764353,259724496,267881254,274463009,269462232,257962913,257676728,272872953,264051253,275690083,263956603,275690083
4096,16,16,522385,1380,24,254367744,264653848,260445920,261318622,265093096,257685543,271810136,268694105,256961771,278888803,271220410,264794519,252148808,275138052,262914628,267334625,278888803
4096,16,16,826839,1980,34,257722528,272931622,271266540,267063178,263583844,269745179,262032539,265445671,273470898,267680748,262369991,282047899,280222984,275503950,269791915,266578883,282047899
8192,16,16,116212,1920,33,256609568,259090880,253065626,248476308,252685851,244887219,246506863,252544711,272391899,261249454,268746012,255904960,259859500,252935828,264365352,248987956,272391899
8192,16,16,264711,840,15,257279741,251414165,266617332,259390544,262967587,244028253,270191086,256236667,269615260,263733108,259565816,276858801,279794794,275255406,270213733,268236566,279794794
8192,16,16,407988,2220,38,241602875,238864293,249491504,235384586,227606492,255181172,250632639,247539882,266602285,268563171,257703343,264021328,260339687,253318586,255601172,250495387,268563171
8192,16,16,58244,1140,20,265337567,273905780,269601839,262378861,258181616,273637194,265371621,250961032,287497535,281753801,274982674,279070846,267429424,263285545,277124101,274697047,287497535
16384,16,16,184,1320,23,255224051,263286781,259333923,252304404,257639288,265396576,251843596,244734561,254137481,260121454,266190428,272342313,270208405,280695734,255615244,263682214,280695734
16384,16,16,328275,1020,18,256191906,247913451,233870193,241418236,257936149,245323111,253260374,238149369,250425692,263237251,256778780,245373946,243352192,249610443,265757088,259160102,265757088
16384,16,16,420735,1320,23,252318092,254652494,243865573,247783879,250364233,242830752,249086965,251498770,246076694,241013252,261999582,246987148,253558732,265369606,259639530,252401631,265369606
16384,16,16,621598,1800,31,277166186,272584302,265594908,269568637,277692824,274760601,271955993,268289951,280913011,287941246,276208345,270184417,289413407,279634902,289023285,275891417,289413407
32768,16,16,123541,1380,24,263964654,269603399,257008319,263273931,257619610,269184902,253627943,265028955,271278193,254796625,259486155,276384482,268119109,273616563,266678253,263500687,276384482
32768,16,16,213965,1680,29,268927318,261197708,262644521,262983926,255313322,252714513,249254012,256708130,276393697,270320155,264253192,260780669,267915452,262402410,273890378,259776895,276393697
32768,16,16,55386,1620,28,262558848,269829815,256380304,265663837,260614126,271021671,265718572,261087242,276995775,283866183,297064386,274671179,285426785,281059469,275117168,271174725,297064386
32768,16,16,679172,1200,21,274033856,282921601,275596229,277296954,270308692,272316887,279484564,268911479,266063757,274330275,283602832,278067109,286787158,284146996,276904905,272990672,286787158
65536,16,16,24277,1500,26,262857478,265043807,272718309,268328496,260738307,269628873,258367890,262864207,262382507,278153793,274531807,266241620,260465458,277357258,265349891,271543035,278153793
65536,16,16,27763,900,16,258855751,271849462,268861934,267896644,260118827,263300730,256996647,264375119,271279149,259801748,267286955,256202399,266814301,263363581,277860619,277222388,277860619
65536,16,16,42315,1200,21,270715014,263886972,251966496,273467473,266157301,258568849,282910198,275721534,266575371,278378618,271901061,283916471,266800674,259254492,280008099,272842820,283916471
65536,16,16,72468,1980,34,302913785,301163966,296568264,291465020,302513234,304902203,296923964,292756884,301757601,310811215,296308053,287739881,302835901,309653221,298286249,315024309,315024309
131072,16,16,2984,1560,27,287379339,280227531,283065832,275467152,292271363,286544875,281084691,288845432,301485354,281068249,299755371,290844007,297567924,292026207,282902859,289967209,301485354
131072,16,16,50583,840,15,266074216,261591742,274878135,271612359,263767572,277384067,271057792,267457066,267744203,281820439,275653364,263938742,286218304,283224628,271630552,276066106,286218304
131072,16,16,5271,1620,28,278863487,270968664,283761628,294901300,287801794,291624378,293824002,286802287,298966440,287400260,294341519,303599507,288524587,284709823,291844335,297629903,303599507
131072,16,16,578,1740,30,255842832,269763144,263264609,259543590,272200946,268384606,264676842,260553255,275849621,264970788,260630201,273428963,269816769,278063132,266212532,263360401,278063132
262144,16,16,1129,1260,22,282310263,276843886,294810062,291526556,288100669,284197822,295834041,291636831,288340689,278888246,293706248,282928267,281883083,266365729,291520669,275871826,295834041
262144,16,16,43329,2100,36,317378417,322296202,318719990,314816699,309896331,322797723,312262744,313061265,306665741,324349026,312993787,335334524,343138363,320534680,326690972,331793911,343138363
262144,16,16,5942,1140,20,263158305,265131943,261570329,260264010,251553212,253802996,269567705,247734928,277290392,262108287,271416000,266511680,279849216,276733279,270113293,265491457,279849216
262144,16,16,6090,1080,19,283214448,281177559,286812592,278945141,273442105,290800653,276629065,282580139,295655571,291840958,286817195,283413358,296409430,285176818,300100518,290392125,300100518
524288,16,16,14923,1620,28,307781476,315096952,299235726,309847471,302057599,306637384,315453513,308240326,321550836,315103227,296511632,305348249,320121263,315901768,308882207,314951314,321550836
524288,16,16,28830,1740,30,267826841,271415176,266821618,281609359,275328518,263361504,268380981,275152384,264986105,272570847,284262925,278690844,285350905,282830897,274839100,271406779,285350905
524288,16,16,34115,900,16,267891155,269845423,274993758,262691615,274078339,267203610,269698987,264093212,267740963,279538661,262291405,277239267,283721559,280361332,273280283,268443853,283721559
524288,16,16,4775,900,16,256927123,253078676,258500360,263485455,260667774,255744550,270284033,265767121,271195961,276199360,264352035,258314887,275974943,271520999,260376278,264306756,276199360
1048576,16,16,1454,1680,29,311822891,307775941,303606662,299202892,302899359,308603864,299647610,311561726,325548046,300635462,312597601,306431315,318464059,313126791,324383012,320863746,325548046
1048576,16,16,4708,2460,42,316747789,306539084,303147555,310752450,316737529,305461655,311947489,314698296,318702669,307487632,315059688,303240065,317959372,302227729,325461309,311543935,325461309
1048576,16,16,5706,1260,22,282983819,294029534,288615785,292489473,295634001,291632238,288403305,302693783,294332342,300333521,307906599,312175135,308306928,292480720,304276306,300316775,312175135
1048576,16,16,991,1380,24,315517258,311210911,305556723,300713108,320240374,312745744,308346064,304862616,300643318,311090584,329728885,318831375,326541736,323408105,312132719,317279511,329728885
2097152,16,16,1274,2400,41,333929917,327821619,336166089,337274162,332344901,329733136,325227350,346847146,351808428,344166202,328080176,342627690,348386651,335665736,340750846,336629474,351808428
