n,k,i,p,m,r,t0,t1,t
1024,2,2,4283689970,40,11,130356002,138132972,138132972
1024,2,2,4286488779,40,11,194187124,207930556,207930556
1024,2,2,4290622295,36,10,151200889,154921507,154921507
1024,2,2,4291525863,44,12,168592534,162349851,168592534
1024,2,2,4291920124,36,10,223979629,248459341,248459341
1024,2,2,4292139841,32,9,224191634,219009756,224191634
1024,2,2,4292463108,40,11,224809330,248825113,248825113
1024,2,2,4292838933,44,12,206655874,215759350,215759350
1024,2,2,4293349525,32,9,161256506,163132828,163132828
1024,2,2,4294150059,40,11,236226715,212787317,236226715
1024,2,2,4294522511,32,9,224071012,218238827,224071012
1024,2,2,4294730537,36,10,224080556,248463426,248463426
2048,2,2,4288277703,44,12,224030588,216409133,224030588
2048,2,2,4290571814,52,14,195983680,222733133,222733133
2048,2,2,4291601269,40,11,159692758,166628638,166628638
2048,2,2,4291821623,36,10,207828680,204213397,207828680
2048,2,2,4292133737,40,11,206699879,215917202,215917202
2048,2,2,4292428512,40,11,224323817,248236943,248236943
2048,2,2,4292951624,44,12,174048213,167591800,174048213
2048,2,2,4293092130,48,13,170030638,166077527,170030638
2048,2,2,4293693366,40,11,212920973,236463273,236463273
2048,2,2,4293717989,52,14,212035087,206274385,212035087
2048,2,2,4294491051,40,11,224145504,248206208,248206208
2048,2,2,4294749708,48,13,139524693,137731810,139524693
4096,2,2,4290912053,44,12,211840794,206771006,211840794
4096,2,2,4291118175,56,15,149340205,156240724,156240724
4096,2,2,4291713490,44,12,155294439,158887348,158887348
4096,2,2,4292414233,44,12,236003969,219980447,236003969
4096,2,2,4293394904,44,12,224147790,248114134,248114134
4096,2,2,4293645309,40,11,224618736,248355836,248355836
4096,2,2,4294247366,60,16,224362636,218653518,224362636
4096,2,2,4294441348,48,13,212404276,204850346,212404276
4096,2,2,4294595411,44,12,212216499,236386266,236386266
4096,2,2,4294702849,40,11,157788782,154870779,157788782
4096,2,2,4294722686,48,13,192270941,207668213,207668213
4096,2,2,4294904694,44,12,141286101,134439346,141286101
8192,2,2,4293740804,48,13,224236335,248040718,248040718
8192,2,2,4294211196,48,13,211421743,219697220,219697220
8192,2,2,4294314373,48,13,157204243,159282272,159282272
8192,2,2,4294341501,48,13,194469421,207744229,207744229
8192,2,2,4294406385,60,16,223961963,248022665,248022665
8192,2,2,4294458492,52,14,224059760,248002583,248002583
8192,2,2,4294513973,64,17,140585995,150741824,150741824
8192,2,2,4294553453,48,13,165825236,167111791,167111791
