n,k,i,p,m,r,t0,t1,t
1024,2,2,1969895875,40,11,224653406,249462504,249462504
1024,2,2,2090094056,48,13,155581065,160648035,160648035
1024,2,2,2122657927,24,7,206230143,215856438,215856438
1024,2,2,2126224188,32,9,155639625,160240419,160240419
1024,2,2,2131242834,36,10,224543936,218432417,224543936
1024,2,2,2135992563,36,10,212066969,236887857,236887857
1024,2,2,2153042743,32,9,143169422,141466841,143169422
1024,2,2,2165654219,52,14,212253316,203971446,212253316
1024,2,2,2171474518,52,14,165431472,167308007,167308007
1024,2,2,2190592604,44,12,219985625,236149719,236149719
1024,2,2,2192820101,40,11,224252610,248081879,248081879
1024,2,2,2255282672,40,11,206799552,215819589,215819589
2048,2,2,2092276128,32,9,212124184,206057959,212124184
2048,2,2,2103924874,44,12,206637349,219977094,219977094
2048,2,2,2106630778,40,11,165233923,162849867,165233923
2048,2,2,2114898703,48,13,206304963,220013516,220013516
2048,2,2,2121181354,44,12,169116132,163819486,169116132
2048,2,2,2123626242,40,11,137346897,134586879,137346897
2048,2,2,2144211435,32,9,205748085,219625012,219625012
2048,2,2,2157035998,40,11,158974372,162176357,162176357
2048,2,2,2158926962,48,13,223976688,248173967,248173967
2048,2,2,2161376986,48,13,224611663,248875848,248875848
2048,2,2,2206375273,40,11,237962200,231786014,237962200
2048,2,2,2230402303,36,10,223862759,247952786,247952786
4096,2,2,2116989875,4,2,141332737,138464980,141332737
4096,2,2,2132240678,40,11,161137960,167844113,167844113
4096,2,2,2137260689,44,12,225488908,249199700,249199700
4096,2,2,2137813868,56,15,200398533,194588643,200398533
4096,2,2,2139523901,56,15,158686804,154493923,158686804
4096,2,2,2147791780,40,11,212489514,205289360,212489514
4096,2,2,2148790746,44,12,159132999,165211905,165211905
4096,2,2,2156357791,48,13,224530382,248543199,248543199
4096,2,2,2168588719,44,12,212440037,236204728,236204728
4096,2,2,2176562653,56,15,206836057,219949786,219949786
4096,2,2,2178796224,48,13,224119218,218291806,224119218
4096,2,2,2180657069,36,10,247609231,224413063,247609231
8192,2,2,2130252143,52,14,161360112,169887184,169887184
8192,2,2,2130756030,56,15,138064222,140749474,140749474
8192,2,2,2140362264,52,14,155388711,162049754,162049754
8192,2,2,2145556939,48,13,220102427,236282695,236282695
8192,2,2,2147318558,48,13,212402195,236125040,236125040
8192,2,2,2148164848,4,2,205696802,219550879,219550879
8192,2,2,2167778701,48,13,163402945,157743045,163402945
8192,2,2,2173996014,52,14,219864467,212138977,219864467
8192,2,2,2180002396,56,15,199853929,223893293,223893293
8192,2,2,2181175394,44,12,211861928,220198894,220198894
8192,2,2,2187282356,40,11,248514619,224998123,248514619
8192,2,2,2191845563,48,13,194153017,207359313,207359313
16384,2,2,2122927835,48,13,139188482,145702716,145702716
16384,2,2,2130765159,60,16,255658964,232327041,255658964
16384,2,2,2134827282,52,14,212140653,219268740,219268740
16384,2,2,2136597459,48,13,223694049,255716937,255716937
16384,2,2,2138172912,52,14,210971861,231467598,231467598
16384,2,2,2138807829,68,18,231817687,256172289,256172289
16384,2,2,2144405514,48,13,200441506,207769099,207769099
16384,2,2,2154708259,56,15,211462807,219905669,219905669
16384,2,2,2160132830,60,16,168156538,171723343,171723343
16384,2,2,2160529779,52,14,170998545,166683957,170998545
16384,2,2,2165588061,56,15,167105748,161193099,167105748
16384,2,2,2168763867,44,12,224057300,255355605,255355605
32768,2,2,2122005178,40,11,171166603,167368383,171166603
32768,2,2,2128490335,68,18,255688308,232304534,255688308
32768,2,2,2136851398,64,17,144940366,138631911,144940366
32768,2,2,2137170339,56,15,154415765,156775912,156775912
32768,2,2,2138407894,56,15,175457664,169587640,175457664
32768,2,2,2142290803,40,11,203046403,219361767,219361767
32768,2,2,2144043197,52,14,188156626,195754090,195754090
32768,2,2,2144876756,48,13,215508849,231715832,231715832
32768,2,2,2149137914,52,14,214855116,231342918,231342918
32768,2,2,2151352032,64,17,231723577,208170616,231723577
