n,k,i,p,m,r,t0,t1,t
1024,2,2,1006546,44,12,224494242,248357711,248357711
1024,2,2,1363685,48,13,151630454,155581776,155581776
1024,2,2,1619030,44,12,206688070,215944834,215944834
1024,2,2,1690430,48,13,247875219,224469342,247875219
1024,2,2,1729509,52,14,143275379,134168606,143275379
1024,2,2,2315456,48,13,204670130,200180922,204670130
1024,2,2,2806533,36,10,216250405,211406126,216250405
1024,2,2,5378000,48,13,224404929,248494853,248494853
1024,2,2,5996707,44,12,206219664,216077794,216077794
1024,2,2,6351322,40,11,155120981,158148714,158148714
1024,2,2,6550589,52,14,223844701,248291154,248291154
1024,2,2,6875233,52,14,158969298,166279433,166279433
2048,2,2,15186,48,13,207048395,219337656,219337656
2048,2,2,1682479,56,15,157622952,162419946,162419946
2048,2,2,172748,40,11,247853975,227587738,247853975
2048,2,2,2092701,48,13,224089506,248244024,248244024
2048,2,2,2576248,48,13,154316866,147215808,154316866
2048,2,2,2700101,48,13,212062908,207262432,212062908
2048,2,2,4805739,48,13,156915003,135862092,156915003
2048,2,2,593263,56,15,224328397,217662023,224328397
2048,2,2,6132768,44,12,176439261,170370310,176439261
2048,2,2,816003,48,13,223808381,251446376,251446376
2048,2,2,846657,52,14,206308873,219528974,219528974
2048,2,2,873173,60,16,208664986,224456688,224456688
4096,2,2,1022108,52,14,200118606,192607128,200118606
4096,2,2,1089751,56,15,205987397,219171892,219171892
4096,2,2,1117334,48,13,204496485,224639601,224639601
4096,2,2,1129439,48,13,135754597,154795081,154795081
4096,2,2,16909,52,14,223767815,248002757,248002757
4096,2,2,2101291,44,12,215574988,211323338,215574988
4096,2,2,337972,52,14,155460163,162613524,162613524
4096,2,2,652901,44,12,157912994,162781605,162781605
4096,2,2,791742,48,13,248161371,224663270,248161371
4096,2,2,80343,60,16,249176585,225796447,249176585
4096,2,2,86247,52,14,206341099,219297564,219297564
4096,2,2,92458,52,14,158209490,157709217,158209490
8192,2,2,132477,64,17,224436963,248213022,248213022
8192,2,2,151264,56,15,211052462,219238248,219238248
8192,2,2,2320020,56,15,224769206,248668710,248668710
8192,2,2,236358,60,16,157093315,136245751,157093315
8192,2,2,257366,64,17,224049885,248125680,248125680
8192,2,2,261066,52,14,218529437,231525251,231525251
8192,2,2,671771,52,14,162928446,169657947,169657947
8192,2,2,717288,56,15,168678481,164611190,168678481
8192,2,2,722384,52,14,211447773,219767739,219767739
8192,2,2,747866,52,14,205896245,219224569,219224569
8192,2,2,789008,64,17,169937749,167133242,169937749
8192,2,2,79403,56,15,248671289,225078917,248671289
16384,2,2,132344,52,14,199961686,207748167,207748167
16384,2,2,188062,52,14,142488109,138775255,142488109
16384,2,2,203571,60,16,219614158,212759994,219614158
16384,2,2,25243,52,14,163996166,168384762,168384762
16384,2,2,303445,64,17,219910922,243911624,243911624
16384,2,2,313009,56,15,166060856,162678352,166060856
16384,2,2,43989,60,16,208530768,232532552,232532552
16384,2,2,499629,48,13,210942726,219607955,219607955
16384,2,2,5066,60,16,223629082,255255153,255255153
16384,2,2,625123,64,17,188250286,208062112,208062112
16384,2,2,77229,56,15,159286205,167442186,167442186
16384,2,2,93144,56,15,167588857,164196857,167588857
32768,2,2,22622,68,18,146359279,143032797,146359279
32768,2,2,29758,64,17,215466980,231885946,231885946
32768,2,2,35831,68,18,243457354,231762117,243457354
32768,2,2,36092,68,18,215730437,231832822,231832822
32768,2,2,369605,76,20,170709414,164769659,170709414
32768,2,2,42097,68,18,232379219,256619590,256619590
32768,2,2,43028,60,16,163417434,162212526,163417434
