n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
1024,32,32,4291919128,992,9,1279172514,1276277695,1281569016,1285153911,1290865018,1287468448,1285990774,1282464276,1290240445,1286743006,1279336239,1285692335,1275416940,1281917744,1272011507,1269011311,1274914198,1276884039,1283913605,1284822836,1279515889,1272465918,1281644827,1273006954,1291767925,1284302669,1286407604,1275939678,1285326021,1291260128,1305035875,1293763259,1305035875
1024,32,32,4293097254,3100,26,1282507091,1280064036,1277327174,1285684250,1283498434,1278033745,1286060710,1283037738,1280709242,1276923017,1282016019,1272678885,1265461338,1281821671,1277660405,1277879388,1271217682,1265233566,1268730387,1284111656,1272181968,1276660906,1272571708,1276917846,1271732441,1280930002,1289452049,1262856075,1272902692,1284441661,1277691925,1289980936,1289980936
1024,32,32,4293212403,1860,16,1278909187,1275851945,1273393150,1272552946,1279729666,1278865117,1275155135,1274732754,1272990171,1278958340,1275973334,1270271850,1269000720,1266626471,1261129796,1273448124,1273850860,1267679147,1262256933,1269640729,1267280067,1275927324,1260602662,1254093554,1269438254,1284203329,1273242102,1287906339,1278259788,1285440835,1280054682,1274721685,1287906339
1024,32,32,4293612808,4588,38,1237539138,1234546443,1232181223,1229080303,1228845895,1233985705,1230794264,1237815149,1206662763,1237669749,1233066625,1232513515,1227782966,1228992724,1222934428,1216250885,1224898119,1228880568,1221240691,1235594121,1234581012,1231611018,1227602827,1223771222,1232829739,1238969741,1245571299,1230793864,1216540384,1226581320,1240237134,1228595994,1245571299
2048,32,32,4290610259,2852,24,298456130,293350945,301652372,296246613,268722606,290258265,302696621,299611697,297008333,294201952,283304494,277191711,298321718,292905787,301199511,295830365,291894804,279017589,284376965,271340511,290554263,295500038,292414402,284605084,282865941,301301059,292817606,274623197,287683479,289761895,267862244,296819263,302696621
2048,32,32,4291561671,744,7,290974560,284332249,287716983,294497770,295573979,292260042,292674174,292417308,287427836,288251531,283635903,292475123,299863049,296955421,280458824,294530837,291613598,281602079,285528846,292351385,291034195,296856265,292045442,290173444,282261902,287562519,295731150,300286240,289825022,300283926,284522571,309697254,309697254
2048,32,32,4293605492,2604,22,291238706,286904762,295589319,291839525,294859508,291211588,288215587,285333090,294909260,291866993,291774880,287801949,289888509,285551931,279584786,275963430,283762402,278123256,285074944,282824333,289766789,281839132,293834956,279489315,293114219,299662939,288566727,286129204,300176629,286518106,298843279,292442212,300176629
2048,32,32,4294208739,2356,20,286347843,290956662,283434708,287445268,280536539,290048668,284683367,288748610,274545877,290527096,285417935,287896971,282548360,285148699,277939950,273853114,281693286,281311411,286049659,274269996,278898805,286082107,275474348,281964966,276286306,285388877,294158356,271886766,288752563,285063143,301602105,296773483,301602105
4096,32,32,4294274682,992,9,284177638,279022276,287652518,281956109,291150086,286927312,286935574,282841510,275140502,284195307,279134395,272049639,287297906,284168722,284148198,277155631,279899442,283526032,278636638,271638297,277188227,284751751,273957530,293994379,293034806,275324211,287110887,280380675,291014586,284576034,296721818,278594918,296721818
4096,32,32,4294500096,1612,14,300016124,303531306,300831884,306551886,307278518,304250292,304146027,300339239,301591449,294163757,297400024,294560108,289633402,298524867,289656679,285328332,314433369,310174048,310189052,306203789,299026192,292518083,303246161,296031057,307107831,295171076,290999345,302999740,307669385,304044729,318786470,313530037,318786470
4096,32,32,4294659606,4464,37,303221872,299977699,295913770,299885902,299606755,297953905,293928880,302662827,300490922,295672272,297532670,284845017,293407021,291150544,302665486,308178570,294139128,305284404,300027086,284117277,291181624,287588706,295554274,290186542,302216394,318494113,298988477,311458176,302828403,312258771,294878942,288694871,318494113
4096,32,32,4294906881,4588,38,286264347,288902917,285901031,292069027,277797275,287935084,288077678,283954807,291167858,282247070,291498536,286442685,281326334,288696877,277547613,281513023,296449668,283817684,291284728,293385323,288485454,279758655,293309319,288053701,281360286,276215912,297688751,288312336,297896303,295538163,284236121,288811728,297896303
8192,32,32,4294162827,4588,38,278624655,275737243,273141274,281637002,265935710,280740687,277060705,275474822,271965938,283905327,260981670,278000632,269291988,265245252,257345586,281317040,275771752,276658069,271167812,266643137,265098570,258926790,272795955,265355617,283699592,288067299,276051544,269852527,284458332,281616163,271074275,276102524,288067299
8192,32,32,4294322287,4092,34,293205877,290101758,287731465,285295878,280075041,294482062,291351268,288995627,286078237,269914445,281856377,277788022,273234121,293324811,287980704,290787714,285413048,287270973,277706474,292189581,286562633,289868729,280064851,283623812,297633160,287164025,292841725,281085975,286677861,291964501,279271816,275285519,297633160
8192,32,32,4294768693,3596,30,323000588,317352420,314405213,320009118,320337745,317969129,317001808,322384488,319466554,316889341,314079972,320363570,309680549,318243266,316280676,327803194,318017035,307671592,300780343,319539784,313536135,309291976,316721880,313284927,325791018,311414783,317665677,301405773,326837801,308385583,320098116,311436628,327803194
8192,32,32,4294862649,1116,10,302678084,300210918,293912611,297517273,287540822,304332134,301098189,299209894,296275568,302876568,299322850,299261679,295270148,287216098,295088736,290888599,294830479,290293320,284717828,283517398,284326414,291334514,296911529,291231219,278127656,294887292,304128318,286086127,307286067,296467162,303235308,293182074,307286067
16384,32,32,4294577522,4092,34,301729345,307818188,304703071,298976782,304511297,307561515,304572335,300520323,291234687,293100655,281154373,287113893,300514378,295553989,288394125,300337126,312668018,309356052,307215742,304271408,286719913,300470909,293202495,280219816,305970233,295048971,303727963,287367446,302819632,291103245,312022155,295119674,312668018
16384,32,32,4294705051,1116,10,303349433,300451133,297817241,294849300,296696568,303728625,299997939,293806301,288099881,292468340,307656418,303652850,282646565,284404780,311996317,287857785,307760376,296946762,293072284,289787647,301348039,295049128,291096850,289156880,288530694,302766045,294791160,306695015,305080211,293966348,299774897,311819451,311996317
16384,32,32,4294826353,1488,13,299597816,302973288,299218286,295296540,303762730,300329479,298022948,294539280,303828653,298627886,294041055,299406218,285955521,297699065,292773860,291455535,296536221,292741966,294015763,289112718,298746169,285873285,286004194,290751409,293325600,297271367,306189464,289356562,311905075,306113379,297139548,300753279,311905075
16384,32,32,4294836707,1984,17,333792900,332280723,328372984,337716799,337056184,333813902,330261879,328912542,334505069,327402467,330812299,330037082,335118439,332806824,327352819,321736659,328748407,336986523,333441086,328404529,336001410,331242099,329019308,324690228,323261689,341658985,347232831,353945832,346295573,364829490,336647397,342043946,364829490
32768,32,32,4294562958,4712,39,312601752,308247463,305315470,309199005,314098020,309841752,309878663,305805960,310835699,307934868,305304879,302558488,302881950,306635506,299189470,294960957,300608164,309964791,304585011,295767804,300499869,305693448,296833492,292734243,319134613,301158339,313210595,307797374,308138335,323180448,318242667,313894804,323180448
32768,32,32,4294724458,3720,31,278701573,275616220,273226754,269839687,253895151,266061335,257740294,279783246,261889850,276672616,274300021,270788895,280306328,276277007,276117528,272084588,275671829,263972406,278844653,272157594,268221274,266839085,262817274,254460584,271234148,265468542,284386336,266700423,279605662,270210747,279859573,280975950,284386336
32768,32,32,4294845230,4092,34,306702258,304255501,309847487,301703131,309595984,305872051,302753850,298764049,308943287,298987513,290487205,303148096,296127146,311738945,314988314,309417475,300776401,298451730,293583339,305831437,309950108,302016844,308733935,308442827,317890756,308963523,315157964,306689360,308255268,326311469,319849835,313770071,326311469
