n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
1024,32,32,2076123815,4588,38,282669099,287776883,285651792,291369603,291944668,288452888,284530138,290134574,287023309,284720733,282054026,294670385,292367965,288458076,270608681,284342050,280196066,278711385,283472658,275869980,289600203,284450971,282305813,277035325,293263536,299457891,279698834,286080711,301581063,290485101,288819291,294796464,301581063
1024,32,32,2125685627,5456,45,318422621,313691844,321614577,316280045,322230405,318825364,303100845,315703551,319329342,315769372,307890626,312705092,327957280,324563817,324527936,320791256,312746180,304420774,316338040,316633979,309733344,309841771,312614754,306106749,326591963,322861341,315947565,310930190,333080731,327093896,321324681,315576994,333080731
1024,32,32,2177853843,2976,25,295682854,287576802,299758986,300177723,295658939,303554255,285094972,292676679,294855728,274209191,288587391,300506257,296507925,304043113,300544500,298597209,294063255,291051273,286379779,307515223,303947663,300852721,297468166,290249678,312984307,301585361,308814680,295221084,303810530,298421278,308632027,294349188,312984307
1024,32,32,2197159873,5084,42,298022367,294920308,292653226,289705186,280487794,296564948,286980310,292678585,280115285,275945831,300975373,285348406,267830714,296713052,294307603,287585322,294249049,293731227,289793737,289969858,297932963,290051087,283165728,279441222,283474176,279209627,291444013,301401665,298264094,290175289,286753275,299081098,301401665
2048,32,32,2105549628,868,8,299648739,294398360,291675862,297229559,300226484,296814729,296643024,292869477,290104462,298592103,294660849,294044524,292203352,289001407,287189830,291477200,298660629,287212460,281919837,273459197,294779609,286384381,297833323,290636871,303360324,288001200,298166281,292540987,286981478,295002687,307471586,299558946,307471586
2048,32,32,2122613812,1612,14,300457630,295043360,297898959,303721151,291293998,297674305,294687479,301295293,294042855,297931133,292073999,286401202,285451981,307812118,297395023,302605097,292775266,290804006,304894221,300068016,293658893,290988308,285439210,300277760,303884622,297799006,308664183,288183079,279599568,304381699,295158286,298953239,308664183
2048,32,32,2134862286,3968,33,311240437,303195285,305300023,309028873,314725623,306307141,315403239,312311372,309958159,306607740,298259213,301164431,294660212,302413447,295126801,306563493,315969654,311771633,311676769,307626106,304912415,302666766,310452896,298799521,311276332,295632521,302468118,308065324,315171772,303483153,318763241,308461399,318763241
2048,32,32,2197044586,5456,45,322615576,316878152,322903175,319896003,307206802,314490744,319139720,324827526,314217860,305654302,324302955,319388874,314648358,307571281,311465143,319515075,328622582,323155383,321985882,315372763,307706840,320308198,325119023,317302358,326368869,336512297,312220027,316582395,325533369,319903948,304249651,297003030,336512297
4096,32,32,2137948233,4588,38,315383588,315107548,311450076,318494028,319614013,316580429,314146847,311068640,304449588,307642741,299212775,318382280,315549345,312926784,310153249,313072910,301633147,310605835,302852090,315717124,307226919,309823068,314493864,319047319,323024619,315333762,310286675,302295134,309903225,317803824,305421777,322816248,323024619
4096,32,32,2163778013,4340,36,273657562,282618348,279637159,277197446,285755256,282011993,281974719,277940855,279720273,278057697,274285975,283004933,272727308,277044785,269128296,265715231,263781758,274648272,265619249,280453364,275323765,278886346,282808738,270932745,276668508,270725071,281045535,285697187,275216058,287395784,274394175,291801726,291801726
4096,32,32,2179386426,992,9,305241700,311141585,308042346,301984095,290585624,311779020,306376914,308806393,302665970,301309376,307215191,303491612,310717163,307478321,304900286,301104885,297581134,309763309,305452918,298901096,300198161,308303524,297737727,305203471,290125081,302590991,295128076,308586810,317886110,314684761,308131371,303694842,317886110
4096,32,32,2183676249,3720,31,306405158,302619841,306485773,309963336,303744988,312394377,308053318,308103743,287570884,293252636,281398383,297246871,291849391,317067685,313138419,312863944,308830968,309343606,304945065,301287024,298309218,300493441,310018104,310110730,295289088,319172421,296291447,306788648,303491870,316258334,309871044,317927843,319172421
8192,32,32,2120638991,4588,38,295233288,286822799,292271634,289873128,295094256,292269277,289791131,286834283,291842202,301702582,286985221,297257466,283476773,297502055,281022094,293363063,282996565,295087099,290243772,286729999,293045439,288677832,285926697,282099223,300604526,300436220,292999548,289977832,281837688,298549559,291708866,287621403,301702582
8192,32,32,2127393881,4712,39,316753608,313644869,311327684,308604426,309424672,319825973,315664799,315521804,311682952,296499807,323104622,318564093,301439561,317946248,307366816,313141736,288870217,299181087,311906843,303711303,309839252,305613687,302388119,316402668,300401610,307216309,320342456,314240646,308231849,321865982,314940259,299044987,323104622
8192,32,32,2136986534,1116,10,289177460,294065989,297408702,293072733,293620819,302880640,299437300,297073846,280008001,295303918,293682778,287118766,278153593,274382809,270860542,284970821,294589207,304805367,300652712,300501889,296473782,286124688,290073071,282180890,291392956,303681211,296978160,307547079,288173867,301624404,278509761,297277875,307547079
8192,32,32,2172842040,744,7,280160090,286160594,283261134,290065300,290311347,287455838,285011767,281955277,279820648,283750004,273235020,287555809,279872885,268386993,295680164,292976320,290567888,287821164,287724942,282960566,278847849,290173423,295950603,283457384,274264502,281232128,293174856,287848367,282858693,294662979,298241824,288757318,298241824
16384,32,32,2121833191,2480,21,269261059,275279247,272267247,266618823,297904768,292198842,286148167,290362260,286154238,282208189,274305700,293597997,286884941,280846396,286721398,293414132,297862756,298696794,293380890,291755858,290135004,297649900,287065927,294959392,303069059,310414287,285103932,295007222,304885706,290900191,301194339,295323488,310414287
16384,32,32,2145975095,3844,32,296477173,301665007,300727866,297176994,301114625,297576392,295382740,285578209,292603421,293711158,283646750,289736350,282110570,302049945,297975209,297862152,293897328,291533654,288280587,294987584,288017148,295337960,292229362,284333858,305173767,298697280,290643977,300163903,293927276,290330533,283001594,275716797,305173767
16384,32,32,2154018711,1984,17,265556752,271263984,263912138,269408188,282732342,269877465,274349182,273513612,271870811,284736140,284785928,277364293,292327821,289272197,287596600,274152971,280270691,295120539,291992217,289659698,284696751,288752188,292960198,283591812,287910388,294522560,299568962,278500593,283258659,296646917,289327292,286226800,299568962
16384,32,32,2154082833,1736,15,286121986,274508103,290816810,287779098,285234042,282051929,278743818,283468325,272048319,291741092,288633270,286251515,282526125,281961672,282548420,278651721,286600423,274966084,275398904,271130030,281465174,276900857,269866172,290446026,282781573,288036616,276279049,271882880,293753236,290701928,279068492,283796298,293753236
32768,32,32,2138417252,2480,21,303284675,300195624,297571424,294291749,300246804,303600726,300279143,295903400,298101069,288742376,285033867,288875916,293821992,301114086,295943519,309916083,305235623,305421628,302793647,301280912,292178747,295932815,299382181,298032151,311574147,294004291,306209739,301048156,294703879,291098303,307823781,300772182,311574147
32768,32,32,2146136408,4836,40,299509197,297420509,293986896,302302352,299481806,296969900,294029241,307210268,293540922,298619615,289536897,302697988,310136534,296760033,305865877,305911337,301865768,299193071,292761275,291638154,285436424,286523781,289191028,295142487,290054690,299131405,303433232,287291398,320663966,304650551,315777820,310287171,320663966
32768,32,32,2160080674,3100,26,292822573,295545068,303061520,300016839,299794594,286882780,289112983,281137539,293387993,303840439,300840472,298445681,295599751,282476083,291807473,302322321,279300582,286531601,299358192,293924063,293856872,288855018,286483294,281121636,292793157,298808685,299663753,290313028,304664835,292929463,284689262,296205551,304664835
32768,32,32,2161668858,7192,59,540027825,537071405,534342391,531591083,538760081,531458476,534205812,541842944,538443589,537639469,533444115,541917061,537615208,537454234,533103718,521274609,525437873,537315915,531420100,533224646,527220646,532505015,539835925,530649889,538613701,546575732,537243415,533056778,531620341,537986244,526738195,521478642,546575732
65536,32,32,2129102197,3224,27,295465915,302389287,301790869,297825484,305213115,286077543,301575316,294679978,305524142,298588738,273524959,282614365,296260557,302497733,297086328,305501031,300073385,290218513,290520358,305320016,294992330,287347931,296508371,300618791,301163725,286661223,299543982,291762716,315148933,296413729,300922835,306602827,315148933
65536,32,32,2147346416,1984,17,281210490,277836665,284904019,274021559,287379568,283342721,291760364,287458278,272962110,281607165,276825840,269516124,277400402,289703107,282390193,286803571,284798216,282083084,279070962,270449223,274465034,284561386,280714460,272194384,293935044,282011403,278737157,290709308,294262235,278805858,290879132,283452717,294262235
65536,32,32,2151679857,5704,47,285953793,280403182,277929607,283958181,285937530,280708296,289175409,283781158,284106359,280078608,288321937,284128747,264654565,278934689,271436040,260183885,276046791,281283821,277245110,270081282,278091198,275141591,271388816,282636224,287877671,278086154,277569978,295693849,289112073,289788842,284213652,275264801,295693849
65536,32,32,2154939680,4092,34,294680428,290852856,295314426,299817297,297529644,292222562,294627255,284993606,289353724,284730015,289593920,281171095,299473216,281103864,293911908,302407718,297583155,285096188,301535022,297343285,293490715,298253630,296455261,290349679,298587596,282135609,275453660,291647847,304810259,294935995,311254406,301185864,311254406
131072,32,32,2142092800,6076,50,302987331,299623704,297579551,299569652,302055019,299268879,296831772,294010118,294899046,301917215,290686140,292846289,288008333,286479561,297454392,280777835,302122640,307843991,286178042,304900407,298661373,294285029,291107522,300321893,291034764,296017338,299112246,291260702,290121927,303596110,308487340,302940617,308487340
131072,32,32,2143891995,4464,37,275825217,271897504,279552405,276238217,281055790,274767266,278531785,268935721,263663233,270076805,277560040,272941718,283938429,280314175,280515811,276401251,265879504,270089299,287971392,282292858,275749103,280119453,268905981,276196319,287735844,276023023,291832091,288163847,282031213,284078825,272556896,279508331,291832091
131072,32,32,2149500878,3968,33,301379175,301079427,306522935,305557114,280766747,305431819,296673036,307585123,292738330,304407640,301101267,302512734,299019658,301579959,293997575,289400123,313684063,309650067,309548138,305398443,289224128,296528346,281722331,275432159,299561846,308116158,313763320,298728706,303355394,318296843,313027222,307423092,318296843
131072,32,32,2157824471,2356,20,307221368,303906652,303461606,299736712,289841140,280016788,309656683,305327107,305373616,301349804,303643231,306979482,303601985,299735574,290416796,297889794,295840127,290070442,303470646,297937624,277538700,303232499,292147999,303359177,296717750,305984740,302644656,295539420,314671727,311653052,303206930,307704047,314671727
262144,32,32,2144367402,2480,21,279993843,277362132,283029115,276762646,279896021,276838518,274133988,270570960,278289074,270646609,266227956,273338372,289197936,285534769,282407129,280915571,269655527,280860946,272250578,276622052,278920303,275737420,275502190,267388615,277737336,290852531,274143166,287337893,273342173,267881702,289143740,283674788,290852531
262144,32,32,2146095590,5208,43,285711640,280392515,283337020,289261671,287395358,283279476,291669691,287452096,293884310,290745968,279681649,288208290,274026592,285387328,286276982,279186587,274111148,283218969,285506254,273375690,278312099,281944741,284722949,289092687,292592278,280679192,289453461,305134709,289951705,304122794,293586617,302135943,305134709
262144,32,32,2149005540,5456,45,314021843,308457485,305346869,296463202,318910877,315778619,313296818,309762225,301381113,321624287,317201349,300059035,317334379,296574939,313269313,306495602,309406171,314767053,306201617,314930573,305863919,309041303,297057619,303597008,315494967,310497450,300414382,291635513,322133839,324556462,314506042,311123533,324556462
262144,32,32,2149200874,3968,33,287657621,281916189,285222529,291021610,290200057,287393067,284837166,281885670,273252984,290187636,287905974,277727075,280572725,281436831,267805423,287765698,295652194,292391163,292839448,290022057,281051293,286889053,287426972,277010090,294716321,288407027,281983555,276321067,295939561,289878510,283384516,273139865,295939561
524288,32,32,2143456795,2852,24,306030082,300468793,303212783,291165238,290633801,286875485,286375801,301613676,313479374,288592973,309367263,298453561,309328149,305228918,283984990,278159913,291696476,303561879,302205076,298250535,306739290,301906659,297245622,295012329,290831134,302842828,295629299,309005439,296824009,301774370,287940184,311438558,313479374
524288,32,32,2146781809,2232,19,274704969,280320719,273342494,278447869,306245574,309518555,303884903,301057310,301406472,301154843,289014996,292368632,300548095,297500774,295123685,292316261,311527340,308608148,292025353,298521695,303742752,299162128,296033034,299448336,304832910,319609080,312767465,307797702,311192580,301720126,312539137,297722628,319609080
524288,32,32,2147180515,3348,28,286499996,290482001,284978367,280592328,299348147,294989597,294868256,292761976,287090803,289947246,283196206,289638051,285971091,281178835,277141493,302081101,298774477,296571506,293238286,284490467,292433464,287640442,279585343,297995373,307245714,300658450,286535263,279131278,295087551,296006651,290920516,283529080,307245714
524288,32,32,2148287663,3100,26,309197351,318613891,313289975,316099139,303466767,299300521,293362113,311756117,307502884,299278056,314572978,311757064,320191160,316970570,287592614,310100511,315622550,312338479,309783286,306455267,312922628,305529968,309178326,301814442,301991232,314675818,311418807,299373101,321002542,310658277,316825104,305174791,321002542
1048576,32,32,2145467637,5208,43,263347891,260208125,259701675,256775667,280070247,277208153,274707552,271630840,282303833,292530495,284893578,288140607,280115327,283609572,278163607,286800912,281175475,283254196,296115449,288880109,292182249,290386728,300726806,295236731,299991919,302637563,290581215,286505752,298023436,285195631,298915324,289380933,302637563
1048576,32,32,2147331670,1984,17,295683271,292645268,301959769,298493292,303068872,299183315,298771985,294297128,294587494,296018455,291558481,301528115,289150019,305700280,301730091,297490419,299252326,295298171,288588586,310068264,305873097,298384287,293386983,286814944,310286237,317668981,302289487,298858480,310442582,301486110,311312707,298709540,317668981
1048576,32,32,2148511274,4836,40,301013510,306915735,304018043,297904035,309020667,304839966,304754143,294273405,285567351,304830762,298015066,301005735,297805405,291505342,294444973,288889342,304373548,304360462,297994008,294005201,278044241,285559583,300738811,291593389,302046317,300798718,297164657,314823471,297522426,302941406,293651645,287028952,314823471
1048576,32,32,2148519512,2976,25,305163561,298788402,301864669,296096091,307145319,303952559,303970059,291456391,299944777,288657495,296282406,292526293,290188972,300325965,302954655,292558504,311934681,309010680,306602162,303784203,295959103,299257809,304001657,299749156,306613689,313316428,296033476,303747727,312931463,308062200,298939737,305664657,313316428
2097152,32,32,2145326917,2480,21,307331409,311380299,314802881,311354816,308254921,295730650,308864574,317931266,313342534,313408734,300423878,308032982,295377196,311173378,309156705,303013726,314822342,320041059,317086425,314659148,311827901,306614084,309204669,311222420,331693240,323495198,317122607,311282110,310494597,327127836,315566692,321560528,331693240
2097152,32,32,2146404785,7316,60,304405476,310710919,307661706,314714147,316493820,313196328,310894391,308019781,313113316,317499606,313230685,309231177,307254368,301404805,302737379,303869070,299304196,308602488,295981806,298520650,309093602,300739556,312296113,304444026,310617795,314831896,310753753,303147551,303963796,306450953,317829663,300555379,317829663
