n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
1024,32,32,116622,6944,57,308844508,312660838,306882662,304123726,311634766,308852633,303660120,306557824,307238114,303608919,310836368,307384385,297189555,295347393,306919970,301900798,300584351,289487447,297057316,293446249,307313256,313629098,308972977,301187885,301536429,315815087,302235316,306929934,295672301,314833630,308829542,322107976,322107976
1024,32,32,4258139,4836,40,307590164,303970573,304810317,300670920,308555234,305192806,302953081,300129157,306999619,305740665,304513375,302895642,297226125,302437357,298973833,295860385,291778224,305140223,294777861,291274901,297551541,306263758,301745249,294168393,303241325,299782006,292398937,290196148,305438742,315340942,311444471,300217067,315340942
1024,32,32,775699,3472,29,300791893,290755435,293918929,297558130,297397549,293641085,297538484,301745011,292447771,301355966,299282618,306675082,288994003,304176140,298715438,287702670,295403282,291740194,283202789,294080820,284706787,289573261,297500007,292971562,301245063,306037302,293592416,290060665,304168949,299174142,295645282,289234428,306675082
1024,32,32,839240,1364,12,291697328,288593150,286286637,283679666,293857779,281025773,288044381,284081584,291224023,288113744,287418938,282722458,276014174,295912861,292245794,290393825,289792187,286719415,294738606,282891081,282059242,279124718,290462057,289568658,292511025,280786308,287760977,300033828,288393828,303057475,296435391,284624011,303057475
2048,32,32,1726022,2604,22,275279785,287836162,291080446,285649510,281726162,290803162,285149369,287261516,280797107,283482848,275162674,288827978,286077869,294692767,278317740,286814271,290455156,281835258,280169120,290160892,277294083,286163068,272595935,293158695,288377020,277986804,284961880,296974687,293318519,292622475,283479953,279379680,296974687
2048,32,32,311733,4960,41,293274909,289716962,286415252,283960723,296530405,293301084,291064291,288181287,286763680,294845027,291419960,291104358,287777924,283952158,275945458,282075057,278602111,285599817,290272115,284239617,292552932,289495525,284978846,281393037,294512904,293258309,301784223,285919967,281345725,291657606,282393570,287445461,301784223
2048,32,32,426515,3720,31,289231684,294973151,291984288,285714301,296200953,293081894,290659706,287952974,287852885,295038207,291806834,291835256,290804536,285885827,286778091,276689796,280410228,284902212,272896618,264266104,279150748,284440603,294282365,288049228,286499995,291827455,303854490,299680893,299595794,294674946,291241109,308820018,308820018
2048,32,32,565454,1240,11,270331124,270411875,273954906,266302126,271233734,266644658,275513597,271402409,267355334,255951910,262600163,266089416,252360228,256702924,264958379,260327484,281926101,273329196,277750227,277695707,268903571,273708423,261654684,265906082,283850970,277247701,271695767,279084806,267618407,267167417,261030475,277644061,283850970
4096,32,32,1195955,4340,36,293351927,293338238,289471162,297383052,300867941,291843079,296961192,294098162,292217563,285986845,290480010,288519699,286561422,292242905,285209743,281587841,279954448,303502865,299364372,299360065,295507513,289161681,281972285,288430704,291103327,296660845,284908695,303818591,299075371,282917244,295288759,288998664,303818591
4096,32,32,2520349,3224,27,286514813,283557312,283331659,279519507,283914238,267250759,279778843,280385541,287238463,284151143,272864173,283795262,272661979,260243738,277127484,280740608,285418973,274894284,291331458,280839691,288382877,279772250,285960555,282582978,275617103,288344413,296457390,281200945,295577976,284560146,277751664,289089514,296457390
