n,k,i,p,m,r,t0,t1,t2,t3,t
1024,4,4,4283994475,108,10,175571415,183062439,171269019,164650660,183062439
1024,4,4,4288217761,96,9,162366125,178539397,175278482,167511852,178539397
1024,4,4,4290316736,84,8,188909061,200477137,186996266,197059702,200477137
1024,4,4,4291102175,132,12,161915310,174575086,183405186,174279558,183405186
1024,4,4,4292309468,108,10,195109350,186203226,192574330,204674468,204674468
1024,4,4,4292374732,120,11,174437749,158924232,170756814,163803183,174437749
1024,4,4,4293010685,108,10,172649609,169875297,163715590,180228868,180228868
1024,4,4,4293446385,108,10,170525182,184964314,176041803,164693412,184964314
1024,4,4,4293753310,108,10,197597835,199635750,205229547,191066312,205229547
1024,4,4,4293979605,156,14,170406243,188058289,169984563,183269387,188058289
1024,4,4,4294045286,120,11,171629327,179608538,183310129,167850779,183310129
2048,4,4,4291084376,144,13,168345488,180738841,174488559,190076853,190076853
2048,4,4,4293133456,108,10,178412951,192153147,183153424,171562538,192153147
2048,4,4,4293372828,132,12,191282151,185080499,180080895,195624810,195624810
2048,4,4,4293859189,168,15,175918544,180330882,167864420,172869673,180330882
2048,4,4,4293883264,108,10,177593361,184491934,192444012,172265624,192444012
2048,4,4,4293974478,120,11,179008791,171844901,167252151,160350224,179008791
2048,4,4,4294214193,156,14,171732592,184496675,177737474,189483687,189483687
2048,4,4,4294476594,132,12,165703915,174343217,162709443,182158577,182158577
2048,4,4,4294542477,108,10,166051852,177931190,172257143,183831978,183831978
2048,4,4,4294722616,108,10,177998737,178017152,170209266,165136818,178017152
2048,4,4,4294900522,132,12,186607951,188772267,178318168,172844793,188772267
4096,4,4,4291330803,132,12,198868473,188050841,195769589,184086801,198868473
4096,4,4,4292702740,132,12,179572161,172919319,162569960,170320283,179572161
4096,4,4,4293241716,144,13,199983637,193621805,207789225,193199725,207789225
4096,4,4,4293479790,108,10,172632057,169305808,163093646,187780570,187780570
4096,4,4,4293562114,132,12,169807452,176154827,182471076,188830757,188830757
4096,4,4,4293601814,144,13,197438646,190882151,182996157,179393676,197438646
4096,4,4,4293934531,192,17,184622394,176363289,191217949,169376713,191217949
4096,4,4,4294170451,108,10,170463721,182052025,188444809,176875963,188444809
4096,4,4,4294720034,132,12,185051575,176755714,173288962,165445497,185051575
4096,4,4,4294721156,120,11,188455868,193978122,174823072,169246750,193978122
4096,4,4,4294912780,144,13,182194297,169558250,176234605,184671590,184671590
8192,4,4,4294051404,204,18,186598208,173222728,180304217,167795409,186598208
8192,4,4,4294615194,156,14,182099852,169944202,162732041,174346691,182099852
8192,4,4,4294666843,144,13,181594755,170450990,165670255,179065853,181594755
8192,4,4,4294697984,144,13,177770188,185242384,171603617,167182699,185242384
8192,4,4,4294753699,156,14,174591585,182703990,186702373,171138684,186702373
8192,4,4,4294782900,108,10,178496641,173911075,175904180,184147591,184147591
8192,4,4,4294826880,144,13,186178789,188555197,177841086,172077937,188555197
8192,4,4,4294828035,144,13,177530437,186681915,192395083,181582304,192395083
8192,4,4,4294846224,180,16,179047551,196587356,172277952,189280762,196587356
8192,4,4,4294901459,180,16,182037234,169942044,166603247,176658065,182037234
8192,4,4,4294956008,180,16,175981681,181988273,170257513,189011900,189011900
16384,4,4,4294327358,168,15,200903431,192208631,183357210,177829212,200903431
16384,4,4,4294395009,168,15,177078761,189013468,184361091,196701480,196701480
16384,4,4,4294412486,180,16,169753081,175693091,162383920,180864648,180864648
16384,4,4,4294705563,180,16,194293968,187777803,203509839,178895447,203509839
16384,4,4,4294793834,168,15,191442165,186015321,180047171,178836092,191442165
16384,4,4,4294815481,168,15,186991087,182110762,169221669,176594450,186991087
16384,4,4,4294846109,180,16,181267554,169630248,173794537,162348886,181267554
16384,4,4,4294906956,144,13,171757570,165551172,160315088,179095793,179095793
16384,4,4,4294915984,144,13,180336224,176737952,170176922,164885461,180336224
16384,4,4,4294917108,180,16,179938592,183640244,173038894,167893298,183640244
16384,4,4,4294933444,180,16,171995261,183628858,179678170,166506601,183628858
32768,4,4,4294398359,204,18,182418310,172096484,179183277,167757815,182418310
32768,4,4,4294555966,180,16,181611578,192693594,172227885,163683210,192693594
32768,4,4,4294712727,168,15,187396762,182826082,200491325,179123645,200491325
32768,4,4,4294890353,204,18,183027990,182336859,170931928,175981235,183027990
32768,4,4,4294892399,144,13,167415967,176576795,185441312,161052727,185441312
32768,4,4,4294902487,180,16,182546443,190064835,195361885,175962428,195361885
32768,4,4,4294936933,192,17,196573223,179872323,205083129,190346617,205083129
32768,4,4,4294943647,180,16,182941448,196994457,192798167,177402832,196994457
32768,4,4,4294949304,168,15,185035515,178202626,195915323,203510747,203510747
32768,4,4,4294951041,144,13,179047431,169829451,176329801,188469358,188469358
32768,4,4,4294964321,168,15,170510924,186982913,195132886,179515179,195132886
65536,4,4,4294846404,204,18,183362217,195115813,181853719,193479864,195115813
65536,4,4,4294883694,204,18,173244042,185627247,177474974,166269709,185627247
65536,4,4,4294905523,156,14,185883518,180435959,174543783,169026579,185883518
65536,4,4,4294905708,168,15,165310702,183479160,177716454,171823152,183479160
65536,4,4,4294929151,216,19,179350231,183557296,167472807,171956648,183557296
65536,4,4,4294932756,216,19,182938375,176174886,188425938,170015452,188425938
65536,4,4,4294943620,168,15,181887185,194940466,191242770,205339658,205339658
65536,4,4,4294954001,216,19,158278429,177875028,169196475,167412928,177875028
65536,4,4,4294957306,180,16,178202795,192482020,184414591,196007117,196007117
