n,k,i,p,m,r,t0,t1,t2,t3,t
1024,4,4,1971383878,108,10,166759902,179149428,171477590,184330277,184330277
1024,4,4,2067159741,108,10,179005070,167231474,159516008,171850350,179005070
1024,4,4,2073539884,132,12,174781425,179573330,163914774,168166264,179573330
1024,4,4,2084941198,180,16,185770619,175091103,190829858,180531799,190829858
1024,4,4,2170059686,156,14,178540063,187849917,191494350,174911171,191494350
1024,4,4,2177394780,108,10,176615086,178117713,170420541,186725063,186725063
1024,4,4,2198744699,84,8,184732170,180311426,161043462,167692642,184732170
1024,4,4,2212913656,120,11,200587881,196987610,190421413,184682187,200587881
1024,4,4,2247570425,96,9,183005109,177328600,188017158,171945717,188017158
2048,4,4,2110239798,120,11,205138004,210790994,221484636,202993039,221484636
2048,4,4,2110786804,120,11,188499138,180865770,172523288,166513038,188499138
2048,4,4,2126971141,108,10,177556303,185405455,190048357,175432883,190048357
2048,4,4,2136819577,132,12,171581417,183508138,176598536,189750343,189750343
2048,4,4,2152120961,168,15,179694201,183891324,174943284,167021485,183891324
2048,4,4,2152402600,168,15,171633941,165986197,183387873,177899903,183387873
2048,4,4,2199691707,96,9,182807043,190952711,195077303,179559976,195077303
2048,4,4,2205876591,156,14,158686255,163928056,175442899,171766255,175442899
2048,4,4,2217531023,84,8,187643680,181441268,176618853,170548120,187643680
4096,4,4,2091176035,168,15,191886751,175992384,183942644,167945097,191886751
4096,4,4,2091648271,168,15,193354599,175743656,189647771,182481768,193354599
4096,4,4,2102852848,168,15,192504342,186744978,198952574,182479331,198952574
4096,4,4,2115463160,204,18,186114029,193231107,198959429,181975532,198959429
4096,4,4,2126094021,132,12,176824564,186871511,170541561,178383681,186871511
4096,4,4,2132321756,132,12,163546559,178187967,169968226,180569322,180569322
4096,4,4,2138366925,192,17,192382403,168324479,176068737,187972525,192382403
4096,4,4,2140439877,180,16,169098271,179919694,175509635,163635706,179919694
4096,4,4,2158733332,120,11,165844578,172376349,183799708,180412108,183799708
8192,4,4,2120580189,204,18,171306473,178312661,183383245,165781262,183383245
8192,4,4,2134262265,204,18,170479741,178065798,158960238,163205936,178065798
8192,4,4,2144681825,108,10,186334506,180734292,195165005,177240078,195165005
8192,4,4,2156198329,192,17,200495137,188949778,190702736,198054212,200495137
8192,4,4,2165869397,132,12,169754477,190755525,185608202,180376268,190755525
8192,4,4,2166129231,144,13,167166886,185004165,161071901,179803438,185004165
8192,4,4,2166263431,108,10,187648368,182463921,172625081,197388768,197388768
8192,4,4,2171978323,132,12,176728743,171636440,165724953,184492319,184492319
8192,4,4,2179594335,156,14,167541916,191206127,176152449,185135595,191206127
16384,4,4,2119681377,216,19,174005856,185658741,191756407,182694968,191756407
16384,4,4,2127911142,132,12,175999616,182483077,162243615,164361069,182483077
16384,4,4,2136919436,132,12,183031171,179042199,172278393,167465815,183031171
16384,4,4,2150038594,168,15,179461978,165607695,181106237,171948070,181106237
16384,4,4,2151675026,192,17,167950148,163701084,174630912,179759458,179759458
16384,4,4,2159394695,204,18,170500527,165206905,177879779,189745848,189745848
16384,4,4,2161712234,180,16,187416592,205052080,196776844,181637229,205052080
16384,4,4,2171242459,180,16,183678031,166545170,179783204,173709208,183678031
16384,4,4,2174775071,240,21,169027663,176533949,181320837,167846352,181320837
32768,4,4,2131743261,168,15,182105147,166363786,178674514,195777742,195777742
32768,4,4,2136111667,252,22,179964557,175873824,163899827,168415742,179964557
32768,4,4,2141418869,204,18,178303786,187037973,174598073,168325846,187037973
32768,4,4,2141480217,192,17,175312697,182226329,185519847,169668828,185519847
32768,4,4,2143214545,228,20,179556220,185697779,175350080,167743639,185697779
32768,4,4,2148314913,228,20,197713121,194209850,186240162,182856961,197713121
32768,4,4,2150223325,180,16,190469152,206859210,205976459,196767677,206859210
32768,4,4,2162408508,168,15,177418723,178018725,170010019,190175022,190175022
32768,4,4,2163113065,216,19,183443496,179654427,172898287,168112821,183443496
65536,4,4,2135155143,204,18,179441906,185583156,172163364,167432213,185583156
65536,4,4,2141224466,168,15,196672438,192316863,186167096,205133398,205133398
65536,4,4,2144551644,180,16,183788567,178340009,190662084,199293094,199293094
65536,4,4,2146262832,240,21,195438078,181908180,171012752,188493088,195438078
65536,4,4,2149013682,156,14,186179550,203486385,195534462,180818148,203486385
65536,4,4,2152885233,216,19,178064024,187902937,192526495,176740511,192526495
65536,4,4,2153007854,228,20,186782429,170872980,176034267,184288353,186782429
65536,4,4,2155046312,192,17,190330504,175273210,181554678,169550693,190330504
65536,4,4,2163758674,216,19,178688796,193880838,190713644,183530290,193880838
131072,4,4,2136897095,240,21,194426693,178675524,190965656,184527078,194426693
131072,4,4,2143678115,168,15,190872948,180298401,188301587,196782226,196782226
131072,4,4,2144727678,264,23,193450568,187116499,180189842,199172413,199172413
131072,4,4,2144812605,216,19,206960115,212866118,201360417,195906007,212866118
131072,4,4,2145656984,252,22,187842097,183198219,195245389,199310851,199310851
131072,4,4,2146277235,204,18,191560198,172467448,181992444,185956987,191560198
131072,4,4,2149018690,204,18,175054589,164086098,186750121,173922928,186750121
131072,4,4,2151984236,228,20,166627461,189644365,171771054,179810527,189644365
131072,4,4,2153659342,228,20,191782802,185358618,173970608,180755869,191782802
262144,4,4,2143429604,252,22,205184955,190065915,196086410,201542330,205184955
262144,4,4,2143433644,228,20,198457189,183200159,193565067,192452843,198457189
262144,4,4,2145012560,192,17,205268645,200291541,193144111,188937778,205268645
262144,4,4,2145798979,252,22,182613627,195098223,199586271,188010245,199586271
