n,k,i,p,m,r,t0,t1,t2,t3,t
1024,4,4,114646,132,12,177814927,183778710,172820525,167854167,183778710
1024,4,4,1548996,144,13,191499834,184983513,179710988,173416714,191499834
1024,4,4,1577309,108,10,191788280,186228176,197860626,182516007,197860626
1024,4,4,1892300,156,14,165482823,172073095,178465444,160856038,178465444
1024,4,4,2254142,108,10,182502729,179199673,171833368,187927879,187927879
1024,4,4,2555980,168,15,164459798,176569948,171514693,183627654,183627654
1024,4,4,3138544,180,16,162826981,174770025,166862635,178541843,178541843
1024,4,4,5447490,156,14,168678202,163760286,183358618,175933762,183358618
1024,4,4,65608,168,15,194680965,186554313,183338627,175478391,194680965
1024,4,4,740540,132,12,186887358,180962498,174525877,168743701,186887358
1024,4,4,7791817,120,11,168715425,186340056,176238731,182002091,186340056
2048,4,4,1686903,180,16,179819484,164767919,174861901,168982648,179819484
2048,4,4,233803,156,14,176570670,193647926,187450241,168752886,193647926
2048,4,4,293855,144,13,189862590,200424965,198757162,187186754,200424965
2048,4,4,336319,132,12,181726778,189818253,176622165,169876277,189818253
2048,4,4,3823200,156,14,174737144,162893355,180877907,168947671,180877907
2048,4,4,409381,156,14,168131298,162245166,159362889,179634396,179634396
2048,4,4,4549547,156,14,177020281,184708493,171406301,189180536,189180536
2048,4,4,45817,132,12,179330648,174017879,170523820,186453860,186453860
2048,4,4,4870395,120,11,169512545,175377330,158456489,166422432,175377330
2048,4,4,6455903,168,15,187164663,175335993,180556306,170062875,187164663
2048,4,4,816749,156,14,189030950,173808539,172892983,183800905,189030950
4096,4,4,1071000,204,18,180794256,187325975,171663651,162696441,187325975
4096,4,4,1111516,192,17,188117820,193419737,181773132,176805362,193419737
4096,4,4,1270061,204,18,164854995,176543140,170166861,181503501,181503501
4096,4,4,1305691,132,12,174075436,180268159,163101634,168573221,180268159
4096,4,4,1352496,156,14,188908765,184791487,174263651,181690616,188908765
4096,4,4,1539519,168,15,175231293,181847537,169842295,164514529,181847537
4096,4,4,201278,192,17,184998983,179975597,175028283,167538799,184998983
4096,4,4,3430532,216,19,165272855,177563628,176097221,184446534,184446534
4096,4,4,781114,192,17,191958862,176314333,180851158,188275284,191958862
4096,4,4,860473,228,20,179583949,166207946,158624721,170422915,179583949
4096,4,4,95924,204,18,169942439,182337470,179488244,165244852,182337470
8192,4,4,103300,168,15,160413988,174591409,180362755,167373463,180362755
8192,4,4,117784,216,19,181212759,187869851,178501164,170651862,187869851
8192,4,4,141985,216,19,181734042,177119080,188705755,172238656,188705755
8192,4,4,154732,168,15,168914949,175324486,179849431,164321246,179849431
8192,4,4,1654374,156,14,174665399,168107679,225430203,210505473,225430203
8192,4,4,208825,192,17,180283591,175158198,187431237,192491136,192491136
8192,4,4,311454,192,17,175230768,181683377,190251477,169857987,190251477
8192,4,4,393117,168,15,205389090,203244732,195586113,191274914,205389090
8192,4,4,673577,156,14,169177896,177609168,166452630,194594492,194594492
8192,4,4,72609,156,14,166022641,181512539,178371352,169958037,181512539
8192,4,4,751379,216,19,174862124,179370894,169026251,163878662,179370894
16384,4,4,118624,216,19,178246807,166136407,183410234,171730237,183410234
16384,4,4,135633,192,17,172378346,167534492,183726749,180137668,183726749
16384,4,4,152990,180,16,185071233,171039422,164411872,178447158,185071233
16384,4,4,17686,156,14,176537898,195929634,188310320,184004105,195929634
16384,4,4,194545,192,17,187165332,175659143,186013523,171449512,187165332
16384,4,4,20188,216,19,174818846,185268176,182549807,171226805,185268176
16384,4,4,219081,192,17,199985917,180064723,192805553,185590052,199985917
16384,4,4,284597,180,16,175595202,181750198,187873296,170882744,187873296
16384,4,4,300450,168,15,187577309,183297143,199314900,195057108,199314900
16384,4,4,457860,216,19,181801456,171572495,188900418,164238738,188900418
16384,4,4,53004,192,17,186284847,191791741,176387971,167486690,191791741
32768,4,4,185666,168,15,190895629,185783466,180316518,197656302,197656302
32768,4,4,197360,180,16,171455621,192704350,185599535,178583448,192704350
32768,4,4,20061,228,20,181972427,170249453,175931424,163159288,181972427
32768,4,4,25286,168,15,167638239,179639522,163675937,175638448,179639522
32768,4,4,305331,204,18,198619605,204269948,193832604,189423584,204269948
32768,4,4,58503,204,18,177122969,171454193,165536782,184914922,184914922
32768,4,4,58929,204,18,176961636,169164083,180139328,163725071,180139328
32768,4,4,7490,228,20,188057913,180285846,173122165,168017331,188057913
32768,4,4,76154,216,19,166079634,174657789,185926256,178684320,185926256
32768,4,4,80965,228,20,170298538,182080966,175379408,187001723,187001723
32768,4,4,8787,180,16,185011381,182011414,191715236,175332065,191715236
65536,4,4,10246,192,17,196796528,192246487,176368145,169643037,196796528
65536,4,4,113271,180,16,179871178,171130574,175138551,163685879,179871178
65536,4,4,177076,228,20,187085295,182890254,172024328,176949232,187085295
65536,4,4,21727,240,21,178139413,166568096,170239951,173998307,178139413
65536,4,4,27998,192,17,200278284,192548380,180752072,185981028,200278284
