n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
1024,8,8,4274665091,308,12,257491443,254525603,254276024,246536845,243392988,243355247,239731362,249466808,257491443
1024,8,8,4285828248,392,15,254448055,277125660,273445210,263296088,274557914,271825915,271676561,266155983,277125660
1024,8,8,4288968751,392,15,275066264,267796895,257250207,250683961,274735637,280661191,268178610,274438212,280661191
1024,8,8,4289825311,336,13,250932752,262795876,245652282,258805918,263809954,256177450,261050089,267227143,267227143
1024,8,8,4289885507,308,12,259312172,254134489,270320795,272723312,266481020,259441669,271225848,264439959,272723312
1024,8,8,4292671577,336,13,302296384,307056119,313926041,300235302,312653754,312012754,316858183,307355087,316858183
1024,8,8,4293730779,420,16,262489556,270929761,250830807,257969949,238350638,263965622,256712162,252992495,270929761
1024,8,8,4294428177,476,18,266985506,258051542,266651987,260716222,273336367,259041290,253724256,257826330,273336367
1024,8,8,4294513107,196,8,236568424,247068934,256980112,260789144,259169193,248293295,258271708,252696103,260789144
1024,8,8,4294565891,196,8,263931615,259766465,252551733,248125722,250916278,264135632,259503924,247893208,264135632
2048,8,8,4290104786,336,13,248985303,246274120,262027822,257305210,239455634,260360432,252072501,263332769,263332769
2048,8,8,4291992038,336,13,255095561,253699943,237986969,243023568,251026107,248257509,244011171,254982520,255095561
2048,8,8,4292286580,392,15,250635928,251385829,263764898,256283571,244754826,239468062,251692658,244331504,263764898
2048,8,8,4294287031,336,13,270784113,276225869,266870002,285397134,281062942,277738734,273744339,266806042,285397134
2048,8,8,4294303649,616,23,231187047,248194674,238310878,223558215,258911413,250892101,258875994,247730049,258911413
2048,8,8,4294305783,448,17,260622841,248735984,254607358,240563610,264491797,257470382,251498008,241792219,264491797
2048,8,8,4294442817,308,12,268439792,257701122,267944232,277801284,272326866,264196182,257917385,269173988,277801284
2048,8,8,4294503654,168,7,268489779,284712909,279191141,273823385,267461105,263871007,256171025,248763077,284712909
2048,8,8,4294797029,280,11,258024734,261071717,253561133,248800601,242769470,246408454,251981608,259084261,261071717
2048,8,8,4294827020,252,10,245827821,251655271,242498964,237717608,254359998,236408346,247528115,241001286,254359998
4096,8,8,4291050292,308,12,263008257,259589540,252950964,257219584,273985602,268939842,262281868,250489545,273985602
4096,8,8,4291974797,364,14,297304831,279234289,294670136,287309657,297477364,286933420,285956768,295648641,297477364
4096,8,8,4293574076,336,13,238214880,246582105,235171469,227551795,249109140,249480808,243195734,239252996,249480808
4096,8,8,4293977584,448,17,236127775,242287413,256527842,261348434,247791545,253662990,244154100,260483776,261348434
4096,8,8,4294313294,420,16,245245281,241866917,254049018,258761094,241752203,258356671,247535042,256128602,258761094
4096,8,8,4294416155,252,10,268890406,246948455,258918959,251792313,264430063,269899879,263115071,258088179,269899879
4096,8,8,4294423205,364,14,247548424,266824921,259819860,269121280,255746255,264309005,261116400,256432545,269121280
4096,8,8,4294499368,252,10,253286590,249915957,259675617,243061830,264608649,244161978,254091075,261258616,264608649
4096,8,8,4294611873,252,10,258351206,254856746,243432204,247173454,254587685,246972227,254678999,243327800,258351206
4096,8,8,4294881552,252,10,273048945,279021385,261641802,267984607,281154649,264030741,270143795,278047108,281154649
