n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
1024,8,8,2044448397,476,18,278683419,260971241,272638804,267468008,279600769,267060508,278934089,272278045,279600769
1024,8,8,2075280183,560,21,242228278,256726050,264201737,238716884,254780689,248331100,243113994,256152555,264201737
1024,8,8,2109731893,308,12,256267346,242091744,254291714,246252504,252451658,246122679,242568021,257102224,257102224
1024,8,8,2141413506,28,2,244456044,238381562,232646798,230136508,247315463,235926427,247795572,240735230,247795572
1024,8,8,2144543285,364,14,292551093,289789076,277939269,282123100,284798719,283887441,274946280,281397080,292551093
1024,8,8,2163695522,532,20,277393897,271047742,262999290,259851417,270921142,269121870,258498498,264027542,277393897
1024,8,8,2179007806,308,12,263399047,255574579,243968725,249878226,255265295,254674852,247150014,243658765,263399047
1024,8,8,2232958147,308,12,248882093,244686520,258681906,251671755,239983426,241478384,249386778,237734366,258681906
1024,8,8,2243511745,196,8,280954933,290263346,276352984,275514578,284805948,285677960,274715203,280359889,290263346
1024,8,8,2270508696,588,22,270397057,268536210,255996582,261364999,278977402,272454045,278420190,267521807,278977402
2048,8,8,2062588941,224,9,246370036,238845840,235361081,258813951,254240019,260732040,247013482,252693203,260732040
2048,8,8,2073876354,420,16,240174849,256578840,251729239,247286142,256628444,246666119,254397084,242958558,256628444
2048,8,8,2113848634,364,14,261938769,257317721,270528874,252524648,264621262,260665959,251574528,257091740,270528874
2048,8,8,2127953072,252,10,270443218,250753845,256876544,264207372,268226396,273094672,259151113,262347261,273094672
2048,8,8,2134801505,364,14,251958233,265135855,247901748,266021837,258608131,253328805,264411348,245383216,266021837
2048,8,8,2135592890,308,12,259945680,252018685,244020462,240789423,259245772,249002403,261414042,255497069,261414042
2048,8,8,2136178842,280,11,260973468,254102970,262568796,250741392,242853904,262014922,250843125,254704102,262568796
2048,8,8,2159887358,476,18,263192267,266329139,256128755,251968650,238632507,262954365,254992737,248356944,266329139
2048,8,8,2200370209,420,16,260031487,246961802,236922589,253100179,250163226,256422182,261212279,249243646,261212279
2048,8,8,2215274668,728,27,247774949,252527240,260744423,267112488,270021358,270225315,263399701,259421462,270225315
4096,8,8,2132423245,392,15,263771262,248299347,240001309,256615215,263745891,261221775,255572827,251556867,263771262
4096,8,8,2135524734,588,22,266435398,254101021,272222997,260834987,272474497,258887061,271086140,263845041,272474497
4096,8,8,2142189931,392,15,272989250,275738172,287169804,272168352,283909293,252581257,270934735,260614968,287169804
4096,8,8,2142204297,364,14,272334873,270497969,274687402,263657869,267574611,262547929,255791392,262058035,274687402
4096,8,8,2146132157,532,20,259251166,264307623,253415141,250471350,246271885,263602631,257362675,252319152,264307623
4096,8,8,2149966327,532,20,271562376,274467569,276417369,257263003,262240017,270555546,266546760,277468889,277468889
4096,8,8,2188231086,392,15,251929287,233606677,244869551,239644993,247932274,244744952,239546532,237092458,251929287
4096,8,8,2188711358,308,12,260445656,265409472,250348294,262532677,253871859,260331394,254729347,251100794,265409472
4096,8,8,2208007220,308,12,275694471,258511397,251867491,267513414,266613306,255150080,267104492,259990928,275694471
4096,8,8,2230490226,308,12,246488949,234441852,229285764,239720166,250640692,248604468,238956352,229498619,250640692
8192,8,8,2139011740,560,21,258012191,254058778,247231800,243007557,252871507,250696686,241801243,250734500,258012191
8192,8,8,2141743672,420,16,259822344,253331013,260381096,265504197,248097508,258094624,252621151,248475680,265504197
8192,8,8,2142584051,448,17,272721084,295510961,284093998,283342150,289261166,280512714,273248011,275838045,295510961
8192,8,8,2144687862,308,12,262071208,258757899,254457909,248383869,270679486,259387707,271656800,265322848,271656800
8192,8,8,2151741569,336,13,248282462,235378663,247580050,241773557,229911771,239809892,236819172,246816088,248282462
8192,8,8,2158843560,672,25,269841856,269108364,259796539,256529979,267594087,268466103,255107995,259865535,269841856
8192,8,8,2160677492,224,9,270726163,261208816,249845175,255881549,264214622,261415991,250569527,256236288,270726163
8192,8,8,2161033668,504,19,248667972,255691140,258529568,246631834,238767088,249869667,257705809,249807536,258529568
8192,8,8,2173054127,588,22,279220501,267221874,273612687,278633624,262615767,283411132,273820079,277567686,283411132
8192,8,8,2173799069,364,14,267790532,260836660,272701529,255000456,263959307,248213713,262813805,258746793,272701529
16384,8,8,2107397146,252,10,262182105,272637149,267987191,255581371,274100093,268390459,251192164,260046042,274100093
16384,8,8,2137238509,476,18,263732042,251735590,266719244,248562250,259964992,260334269,255174233,267720496,267720496
16384,8,8,2137540863,448,17,245480049,237073932,258213616,249980024,252153839,251104489,244811744,243536564,258213616
16384,8,8,2142118803,392,15,259355909,247013898,253301343,265857158,260802266,259586293,247199795,252594564,265857158
16384,8,8,2152132346,420,16,265948273,270324487,268906122,260746899,254950647,265764275,254329725,258110896,270324487
16384,8,8,2152742197,448,17,282747513,271001697,277521747,285749718,265738569,281413126,269951339,264174380,285749718
16384,8,8,2155789243,420,16,239141094,246435789,251199797,233526512,251594565,237750111,250408468,243568210,251594565
16384,8,8,2158961482,336,13,238665001,250899722,242778668,254403711,253537161,243105730,252858780,242557825,254403711
16384,8,8,2166843744,336,13,247699525,240289315,246298808,234233721,229480704,234229254,246106096,240926406,247699525
16384,8,8,2171075871,280,11,223090073,254659961,253074488,244684381,235333215,253890999,249100408,246383924,254659961
32768,8,8,2133290406,560,21,260250428,259779885,248131065,240676751,252014758,254731419,251374596,262637042,262637042
32768,8,8,2135163401,392,15,266065232,258349743,252260371,246745548,264883384,256993784,265526680,253347841,266065232
32768,8,8,2136086520,616,23,274420088,260432969,267534935,255427304,271039244,261805560,253244446,242317820,274420088
32768,8,8,2142069100,560,21,253972656,243244841,250838458,239282833,254648888,256092873,246592744,241125318,256092873
32768,8,8,2144819882,476,18,265628996,253562386,260366712,249369966,267147054,264104700,269970764,262145052,269970764
32768,8,8,2145113911,336,13,289395123,285882260,282663710,289521337,273178668,278114879,281859064,293616273,293616273
32768,8,8,2148499268,364,14,265832415,271554209,257700160,254531699,265473136,254222925,264610044,257717194,271554209
32768,8,8,2154306381,476,18,267458332,263939917,256447318,251741258,268349403,278019193,274697488,263778335,278019193
32768,8,8,2157458006,336,13,234214316,245910571,251108114,240246178,253722344,251791311,241025008,247493806,253722344
32768,8,8,2158389168,672,25,261586190,252611092,243791790,236725743,261560645,245680144,259312028,252451190,261586190
65536,8,8,2134750241,588,22,283972236,267371671,283074899,272237200,281499674,276105735,284700237,277967012,284700237
65536,8,8,2138649067,336,13,262159778,252071425,258726503,246660676,254722565,252512580,245175480,240402069,262159778
65536,8,8,2140293535,476,18,252206419,255677608,263496930,261991341,249230590,251683357,240752734,246679178,263496930
