n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
1024,8,8,10505438,308,12,257270032,254230088,248193110,242950906,258017519,248035148,260012556,253596912,260012556
1024,8,8,1094202,196,8,249979752,243253027,232013350,252865074,240199568,242140168,245993731,254541604,254541604
1024,8,8,1380943,196,8,268768724,251964718,262018887,269656987,244538812,257616272,261279036,268207872,269656987
1024,8,8,2028806,532,20,258992589,247946001,264446470,252926096,262348403,262185234,257910034,255029351,264446470
1024,8,8,2144557,476,18,252137346,263915979,247000897,258191894,254053912,265909975,262955195,252044942,265909975
1024,8,8,2564851,448,17,252364484,267265884,258080756,244684036,250809604,239426655,254639973,244139509,267265884
1024,8,8,3551360,448,17,271337075,275819419,264211551,258297894,258213679,274321670,264484314,271790101,275819419
1024,8,8,6181447,476,18,306060839,286012257,299429792,292212205,302325920,297265673,289212741,293947843,306060839
1024,8,8,6693593,280,11,249196661,245687021,231989668,226168384,251898071,234705869,238072388,246355296,251898071
1024,8,8,961092,476,18,227963908,240331255,235046655,250622738,254286246,254023415,247164049,243863093,254286246
2048,8,8,1014431,560,21,270318963,271504846,275806206,244893006,261478746,265190765,252500060,262861914,275806206
2048,8,8,2081845,448,17,245812461,259361867,266741662,256688714,252267023,246099889,250407726,258438614,266741662
2048,8,8,228069,504,19,276721685,251853340,266744191,262149699,275677792,264032567,275531037,269028604,276721685
2048,8,8,2859140,280,11,237608465,221895629,248090791,233078765,253888545,229514269,246234897,238257381,253888545
2048,8,8,365703,588,22,270909472,260744825,253925583,265781203,272062973,268419977,263985985,259774154,272062973
2048,8,8,38144,448,17,255604917,248671957,232533033,225986942,243425723,254603512,247066741,251942622,255604917
2048,8,8,4815599,420,16,265158029,249734922,256563968,263276141,255869458,266424780,254350212,250446993,266424780
2048,8,8,6425991,448,17,250977749,244282592,230827318,229442577,251827862,242712125,241626608,251530944,251827862
2048,8,8,775937,392,15,262630752,263163303,252905930,260437178,248735119,249324775,261574358,256167342,263163303
2048,8,8,827232,308,12,271210181,258668671,267886939,255574803,268839484,255897440,268352737,261727372,271210181
4096,8,8,1039593,504,19,243251176,241843413,239294258,227666134,232426974,242473206,230598518,235512555,243251176
4096,8,8,1131223,448,17,271462937,264787969,283942146,288512243,272771507,277950837,252525661,260415625,288512243
4096,8,8,1295181,280,11,255763130,247536393,260229639,264131710,250324677,265526081,254947303,255357744,265526081
4096,8,8,1554935,364,14,246121196,261810954,250312885,256266589,258970923,252748960,248133249,259784040,261810954
4096,8,8,195309,448,17,249916780,238486669,234870126,247443119,250481194,246373906,239800687,250957238,250957238
4096,8,8,393285,504,19,244230999,255647630,261439060,249752376,264126637,262266385,253329877,256784775,264126637
4096,8,8,500207,364,14,292612335,276337038,283156600,289683688,286618474,281800013,270635631,274373553,292612335
4096,8,8,599591,504,19,262428597,247309475,252833257,260950219,252244749,276784239,267938463,259588473,276784239
4096,8,8,688635,532,20,252476108,235153443,247095514,244459825,246671690,233726357,251389630,242349920,252476108
4096,8,8,889312,448,17,240045848,250790867,264907210,272320464,258290419,262397011,265988644,272069016,272320464
8192,8,8,1326113,476,18,279814897,286357955,274897217,270975859,279863910,263666318,275441852,268494800,286357955
8192,8,8,1571415,392,15,258531151,270077441,254602279,266249894,271688041,266673304,262632399,258067896,271688041
8192,8,8,179219,336,13,243103955,246434697,234123216,248864050,238274991,241777125,236396320,232398445,248864050
8192,8,8,223950,420,16,253790617,259027670,245720632,238302719,250418477,246792781,258968920,252826042,259027670
8192,8,8,225804,448,17,301169549,289251026,306662868,289971173,295272902,304612072,301703817,299574431,306662868
8192,8,8,343369,448,17,266891692,266484548,251129901,257507323,252803804,269108329,257458715,260777774,269108329
8192,8,8,386029,560,21,263682266,250191348,256388549,267145561,263478694,246753354,258796178,253974855,267145561
8192,8,8,45163,364,14,287975167,284194712,281440024,273057941,285990637,285344366,274932150,278755678,287975167
8192,8,8,695273,392,15,275955520,280798236,270007074,264478463,279796907,266889515,271236021,279466810,280798236
8192,8,8,80001,448,17,277451200,269902668,274915304,263525069,280209217,263689767,281277567,272189154,281277567
16384,8,8,155151,560,21,284223113,268481358,278207660,286165076,286257915,292064650,278460932,281452053,292064650
16384,8,8,216867,504,19,249280172,259378382,255981689,267702812,261505110,256740855,246052473,253775149,267702812
16384,8,8,235490,420,16,250486861,271343893,263445048,256841768,259046983,243833338,267660700,253475696,271343893
16384,8,8,261873,420,16,279645339,264903663,271998787,276453146,260915506,266069339,272158213,278478915,279645339
16384,8,8,28541,448,17,276588640,268825678,259413979,252836804,266847684,265565296,276239314,271106876,276588640
16384,8,8,347699,448,17,253376434,244076392,241425343,232605724,255379872,251726737,241696761,247055945,255379872
16384,8,8,359132,420,16,241526935,244614360,233681779,231324583,241968492,241592983,230251299,234214571,244614360
16384,8,8,418238,560,21,252844639,250173330,241803839,238538533,250376330,236669931,243841566,248897464,252844639
16384,8,8,66164,504,19,257339847,246735195,241028063,254563051,255012328,248232654,259617767,244574048,259617767
16384,8,8,95598,504,19,241833253,258565021,239154254,249407563,250577224,250592201,239847853,243690321,258565021
32768,8,8,134764,364,14,245547369,262425283,251581095,266034165,268236574,258846465,255684579,267267038,268236574
32768,8,8,188674,560,21,237235087,245813622,250445357,259041401,261142352,254613213,250928338,262581181,262581181
32768,8,8,263070,588,22,245963971,239739683,262565711,246558217,263352914,259141569,254909071,249777163,263352914
32768,8,8,314682,588,22,251265690,270376252,264746894,251112983,274772694,261442412,254534263,271851265,274772694
32768,8,8,331332,504,19,292958662,304037089,293141497,288149761,299754680,282645883,295693742,291015857,304037089
32768,8,8,37698,364,14,256757092,264250673,252346529,245124332,262808116,262846944,251711737,256946723,264250673
32768,8,8,458835,476,18,270808933,257837407,266477190,260364867,255008169,256977243,248060783,240765114,270808933
32768,8,8,4962,504,19,258797159,257238478,267067435,250116889,256677044,254767243,243907311,249035156,267067435
32768,8,8,57726,560,21,267422883,263961866,257218325,251307163,260219773,255065784,248518321,246112029,267422883
32768,8,8,71192,588,22,276074018,286290751,273329839,280407417,268992171,267342422,263369274,275084123,286290751
65536,8,8,137425,532,20,271451053,256147986,263628803,252000840,244763894,261887870,266801775,274406153,274406153
65536,8,8,23379,448,17,286785548,279076338,286818665,275307089,290571718,295810722,283771700,282738038,295810722
65536,8,8,24090,728,27,268461026,261763414,273078267,256619626,252193654,269008761,263845104,260288137,273078267
65536,8,8,27916,532,20,261436507,266292547,257617538,253441108,246047542,256109692,250940796,262731146,266292547
65536,8,8,29588,476,18,246010348,259014824,242571548,254687461,258548807,251794758,259289956,248077720,259289956
65536,8,8,303553,476,18,259273862,274752256,271858797,264112450,270874681,264069889,270645907,261276611,274752256
65536,8,8,39183,616,23,240194541,234511492,259848141,246767736,255357923,250862925,243608758,239385688,259848141
65536,8,8,50340,392,15,257901488,257581296,255130977,267461318,249435447,241405140,255089862,249259935,267461318
65536,8,8,65623,644,24,269394821,279835606,280720289,257810938,267586092,272942927,278741909,267596186,280720289
65536,8,8,96200,588,22,274088415,253714090,265468241,270381237,261550714,259973451,266008662,274706317,274706317
131072,8,8,22886,532,20,229760928,237201409,231788638,246754263,243265415,232109749,248700210,238703972,248700210
131072,8,8,23741,392,15,266203489,274271177,278509871,284156867,271239030,275121451,266357608,261317362,284156867
131072,8,8,37386,644,24,268110347,269435230,279232651,263733816,268600161,281632893,262804131,277448439,281632893
131072,8,8,4524,616,23,272068940,278856769,266428666,261168909,277663102,258975485,277726558,263183824,278856769
131072,8,8,4640,644,24,248013472,256345117,239947788,243753650,252305038,238717872,250795190,242980317,256345117
131072,8,8,4919,532,20,255122350,250137228,246866486,240041926,258666373,242417515,248378928,256575684,258666373
131072,8,8,6802,504,19,284835686,300086414,291039863,279767311,295392917,289904373,275010369,281653687,300086414
131072,8,8,6894,420,16,247749887,247277673,259281384,240255727,252845864,248289976,236397192,241794521,259281384
131072,8,8,8046,560,21,266106726,249034186,242703321,255301616,262343108,251764929,245870170,236328093,266106726
131072,8,8,96779,616,23,246799743,260238844,254539433,242798379,255908480,242071592,247826334,255071487,260238844
262144,8,8,14039,812,30,281164690,264878432,275516499,280816181,256976120,273974333,278709442,286923803,286923803
262144,8,8,1666,784,29,261693475,257196770,253467233,246643468,261035438,271303599,252316178,245416557,271303599
262144,8,8,17294,644,24,269964320,261835560,266593140,279250552,283809111,271514149,282822703,277743018,283809111
262144,8,8,21271,700,26,300882339,286846872,281528097,294542376,292057084,282999640,294775002,286498753,300882339
262144,8,8,2506,840,31,263453212,272140952,248484973,258988525,269462984,261493845,267055358,274874797,274874797
262144,8,8,34806,616,23,265736648,259826710,271187550,256082004,275210491,273864703,264831565,261695458,275210491
262144,8,8,4971,672,25,277465592,275486796,268311176,262385664,266186731,281208306,277154337,273217045,281208306
262144,8,8,7035,532,20,254335388,245295012,273316798,263925048,274732566,254128077,261643883,268939386,274732566
262144,8,8,7233,672,25,257690992,249732801,267734033,262626997,275146523,264236473,260232927,272072139,275146523
262144,8,8,9897,476,18,270554435,263449513,277061278,259927661,269186494,272737223,262436344,266379682,277061278
524288,8,8,1076,868,32,267483407,282400439,273287634,284654363,283002340,274950046,279082355,270828667,284654363
524288,8,8,11550,672,25,272019957,261919896,253598153,265883117,261615493,274070963,265283473,274509915,274509915
524288,8,8,19717,868,32,284803100,277735897,284516390,292152213,279814790,282680651,274508127,278703112,292152213
524288,8,8,2822,616,23,275825590,272062190,258522887,252449361,275757952,274312191,263501287,266910841,275825590
524288,8,8,5541,644,24,275120047,277916232,270183672,266381203,286397546,267445011,274167217,264939119,286397546
524288,8,8,677,532,20,253816637,250554004,262337675,265802138,265149680,262870481,255163980,251222096,265802138
524288,8,8,7484,672,25,267374926,263958441,277050798,257475913,279481374,267011679,278239886,273996619,279481374
524288,8,8,7514,560,21,283101237,282213273,273555677,279167053,275899350,272346161,264932711,266939692,283101237
524288,8,8,8066,896,33,285822495,256713762,274265581,279754985,265291207,274129859,279057104,286754181,286754181
524288,8,8,906,532,20,289633435,300176368,304863529,289599868,293267166,310340273,304710377,295426864,310340273
1048576,8,8,1236,784,29,284573305,294712817,279760280,287957253,275083999,292084230,288071595,279306296,294712817
1048576,8,8,1695,560,21,289080925,295724062,302096008,298358898,310220097,285260343,296760338,290434369,310220097
1048576,8,8,202,644,24,298329346,283210640,295307798,287260453,288043465,301023229,296331058,284716565,301023229
1048576,8,8,2120,532,20,299408938,311203964,304166874,315536897,315141950,311462871,300046885,305181609,315536897
1048576,8,8,2282,644,24,312257487,310839454,309521694,302652086,297821589,302740093,286777215,294445742,312257487
1048576,8,8,2380,588,22,278325052,288044369,286507568,274908191,272132550,275498225,287286242,280819029,288044369
1048576,8,8,2787,644,24,299957151,312040059,322243028,308228338,321996620,307116825,315209712,300811667,322243028
1048576,8,8,4622,672,25,301320175,286311919,292410162,282400047,303742212,300499087,294024551,293664170,303742212
1048576,8,8,8667,504,19,309967025,315484247,304013371,299741366,308190486,312276970,301533863,298283891,315484247
1048576,8,8,957,588,22,291235837,285856704,283193943,275178088,295756921,281996796,291401196,280020922,295756921
2097152,8,8,1061,504,19,350592698,337938424,343489060,360860666,336959550,364545901,354338692,349333234,364545901
2097152,8,8,1703,812,30,361375976,350956688,350191060,344059991,334020135,332394045,348596559,342520295,361375976
2097152,8,8,198,896,33,347183615,355674461,360789799,344327663,363045390,353067456,358398309,365030102,365030102
2097152,8,8,2162,784,29,321916636,316079165,310233724,323534997,328149196,309525196,314225885,322930930,328149196
2097152,8,8,6979,812,30,317331898,327006521,330347021,322031118,338533623,317285129,328163538,321498348,338533623
2097152,8,8,771,532,20,332037435,317288710,326780763,310033805,322124678,322399778,317732100,330095727,332037435
2097152,8,8,776,756,28,340285524,350967859,339344031,346018638,335033687,337036648,330191294,323438665,350967859
2097152,8,8,824,644,24,348133257,346751823,349320981,339189283,357357265,354646509,350211790,347428694,357357265
2097152,8,8,844,728,27,346736243,351160805,362839119,359819278,359112100,339396612,346463245,356428171,362839119
2097152,8,8,979,840,31,349633941,332144338,343283469,339189411,352434465,354322969,345988803,347049169,354322969
4194304,8,8,105,700,26,441566784,431150417,426960772,439465438,435611186,430526252,441813626,428328849,441813626
4194304,8,8,1314,644,24,420100353,430745531,438311957,428985104,417605787,434045314,422761734,428149885,438311957
4194304,8,8,1370,588,22,423971587,415489956,400112611,410422007,416872001,424274805,410490176,402875959,424274805
4194304,8,8,1433,840,31,433289386,426731431,414397527,419228791,419133777,430341799,417025777,429710088,433289386
4194304,8,8,155,700,26,424280825,416570024,423796795,431582736,412299516,416528247,412882098,423953790,431582736
4194304,8,8,3083,868,32,427735009,421139016,415136786,404986728,434463665,430958848,427308599,423181559,434463665
4194304,8,8,39,672,25,426051244,416411000,423506541,412391082,428130024,419857966,416177109,408087241,428130024
4194304,8,8,494,812,30,464456536,450993968,461666609,446893369,470745959,466938100,462853164,471640978,471640978
4194304,8,8,90,756,28,432082530,426279458,435577202,430647355,419116358,421209638,430481733,424989629,435577202
4194304,8,8,942,588,22,403102718,414916535,410672466,399352871,416786712,402595980,413791635,409721163,416786712
8388608,8,8,0,588,22,618686174,619857362,614779050,609580284,603948259,605016601,616995258,610401849,619857362
8388608,8,8,1175,644,24,595251060,607409488,611015346,599483702,610115745,610527552,599117697,603271093,611015346
8388608,8,8,1409,588,22,613841465,616689163,606273246,611778959,613209765,605322562,603069189,602030886,616689163
8388608,8,8,163,728,27,594434768,614658448,599229797,602640266,607227186,611701530,607017274,617678447,617678447
8388608,8,8,204,700,26,610768823,610367718,619510782,613873750,602938260,626274709,623390868,616843147,626274709
8388608,8,8,37,728,27,596689910,603304469,617223389,613048191,616041688,605806680,600339167,612465785,617223389
8388608,8,8,456,616,23,600175463,592522979,582905680,607846177,600650343,595632294,589807115,586254567,607846177
8388608,8,8,529,672,25,611720394,605135285,613570601,602016320,594286166,603130516,610520072,599536491,613570601
8388608,8,8,81,784,29,608052990,598765541,615875639,591797613,613296228,599662795,613642530,605408422,615875639
8388608,8,8,94,616,23,647910674,639050679,649979470,633668020,636121476,651746271,641959069,651411433,651746271
16777216,8,8,14,980,36,1001310573,1010236146,1019764041,995377415,1022490843,1011014782,1014493118,1022880179,1022880179
16777216,8,8,218,672,25,1005729520,991246572,1002101461,995162038,1006275744,993532710,1000374773,986002519,1006275744
16777216,8,8,342,868,32,1004271079,997572570,996248661,1009281229,988567250,1000354100,984685388,996546245,1009281229
16777216,8,8,408,672,25,986684545,1003249759,999445018,991738611,1002293609,998460481,1012325234,1008958462,1012325234
16777216,8,8,450,980,36,1015326123,1006652866,1006759867,994985688,1002662727,988002279,1003848416,995538418,1015326123
16777216,8,8,4,812,30,1015312747,1031020387,1023491443,1010428479,1036563844,1021959281,1031289840,1025322089,1036563844
16777216,8,8,55,728,27,995486656,983289549,988795469,977945324,1010773899,1007839112,998733970,994267498,1010773899
16777216,8,8,558,980,36,1007129390,1016829340,999332810,1023248949,1026255164,1022619635,1014022670,1018292996,1026255164
16777216,8,8,673,672,25,1003724750,985495718,997197254,991435221,1003012362,1001580797,990823217,996168840,1003724750
16777216,8,8,80,924,34,1023231387,1017652813,1012153015,1030621061,1004391321,1021685950,1016833553,1009660396,1030621061
33554432,8,8,131,784,29,1818355961,1814694077,1830338743,1827107096,1800720714,1825480436,1810981534,1819910493,1830338743
33554432,8,8,145,1008,37,1816088552,1819985292,1801400696,1807868598,1796762522,1812179089,1814055652,1808182951,1819985292
33554432,8,8,180,1036,38,1830020097,1819488436,1838846687,1826946360,1841171926,1830262324,1839899509,1836473066,1841171926
33554432,8,8,270,812,30,1824918551,1819869065,1834775216,1816584311,1827682084,1824294909,1817069074,1812589944,1834775216
33554432,8,8,29,868,32,1863625432,1869264688,1870653346,1859221542,1851807887,1866978601,1857711134,1861799428,1870653346
33554432,8,8,31,756,28,1827766399,1822094991,1812936355,1807311924,1811580571,1804210595,1800015365,1811470001,1827766399
