n,k,i,p,m,r,t,T
1024,2,1024,4276091211,50,11,295145,405161
1024,2,1024,4282358259,45,10,277549,349484
1024,2,1024,4282989924,20,5,239944,298616
1024,2,1024,4283869173,30,7,368526,427001
1024,2,1024,4287710128,35,8,227089,285852
1024,2,1024,4288167783,30,7,201217,273322
1024,2,1024,4289133788,40,9,273040,349500
1024,2,1024,4289492300,35,8,289261,348308
1024,2,1024,4290609929,40,9,385187,491251
1024,2,1024,4290887308,25,6,149602,208712
1024,2,1024,4291530759,25,6,211774,282614
1024,2,1024,4291856097,25,6,219271,291615
1024,2,1024,4291889983,40,9,257482,340187
1024,2,1024,4291893433,40,9,326521,409362
1024,2,1024,4292830299,35,8,228257,287213
1024,2,1024,4293509993,30,7,278283,347360
1024,2,1024,4293908293,25,6,200402,259496
1024,2,1024,4294338740,15,4,343495,402053
1024,2,1024,4294372711,55,12,368275,444700
1024,2,1024,4294471849,55,12,350609,422157
2048,2,2048,4286346535,50,11,243223,371023
2048,2,2048,4290240508,30,7,265817,359501
2048,2,2048,4290520023,40,9,354905,479423
2048,2,2048,4290580480,35,8,385363,486970
2048,2,2048,4291864838,55,12,416221,528700
2048,2,2048,4292032483,30,7,356499,437239
2048,2,2048,4292425102,50,11,509136,602546
2048,2,2048,4292708168,35,8,203770,285533
2048,2,2048,4293010708,40,9,298907,380013
2048,2,2048,4293122364,75,16,3220596,3320515
2048,2,2048,4293523173,15,4,176006,258109
2048,2,2048,4293830732,35,8,222663,317997
2048,2,2048,4294072910,35,8,311663,413887
2048,2,2048,4294291015,50,11,334229,425922
2048,2,2048,4294403976,40,9,229387,311783
2048,2,2048,4294503482,40,9,287511,426766
2048,2,2048,4294629684,35,8,240874,324026
2048,2,2048,4294676875,55,12,278020,376984
2048,2,2048,4294721163,75,16,459831,540212
2048,2,2048,4294805776,55,12,249675,331958
4096,2,4096,4291397314,20,5,295740,420784
4096,2,4096,4292292892,40,9,260653,388148
4096,2,4096,4293280860,40,9,356479,501690
4096,2,4096,4293340220,50,11,436691,579538
4096,2,4096,4294035597,50,11,415514,559046
4096,2,4096,4294107988,35,8,697232,858368
4096,2,4096,4294301420,45,10,310982,435774
4096,2,4096,4294374703,60,13,362812,487925
4096,2,4096,4294391406,30,7,219891,363608
4096,2,4096,4294403658,35,8,432635,611357
4096,2,4096,4294432278,55,12,428839,588769
4096,2,4096,4294626021,55,12,353889,479979
4096,2,4096,4294662002,50,11,439932,597703
4096,2,4096,4294663112,40,9,348343,472739
4096,2,4096,4294682944,55,12,331409,459578
4096,2,4096,4294699802,15,4,243956,394304
4096,2,4096,4294703275,50,11,300699,427317
4096,2,4096,4294729643,50,11,518631,642038
4096,2,4096,4294745672,20,5,408331,586400
4096,2,4096,4294939789,40,9,1647158,1823882
8192,2,8192,4293225453,55,12,469278,716986
8192,2,8192,4293333643,45,10,432705,656206
8192,2,8192,4293354902,60,13,385605,633792
8192,2,8192,4293677121,60,13,654421,904253
8192,2,8192,4293698424,25,6,199329,429913
8192,2,8192,4293965494,85,18,398445,627278
8192,2,8192,4294037035,65,14,521535,735141
8192,2,8192,4294219652,60,13,372510,582493
8192,2,8192,4294476175,45,10,742980,981156
8192,2,8192,4294525114,45,10,404230,631643
8192,2,8192,4294652331,55,12,348943,607527
8192,2,8192,4294711623,50,11,616904,877306
8192,2,8192,4294753126,30,7,282782,497191
8192,2,8192,4294765644,40,9,477018,807545
8192,2,8192,4294776004,50,11,381179,607903
8192,2,8192,4294860855,60,13,354457,566818
8192,2,8192,4294863164,50,11,396343,607116
8192,2,8192,4294887566,20,5,238969,463955
8192,2,8192,4294890668,55,12,436649,647678
8192,2,8192,4294963889,55,12,402428,652227
16384,2,16384,4293772203,55,12,1146639,1587945
16384,2,16384,4293772283,45,10,665420,1080645
16384,2,16384,4294250567,55,12,704155,1099085
16384,2,16384,4294406500,70,15,760463,1164733
16384,2,16384,4294636420,60,13,657242,1096579
16384,2,16384,4294752060,25,6,288468,682830
16384,2,16384,4294789386,40,9,446783,860465
16384,2,16384,4294815766,55,12,525804,927762
16384,2,16384,4294828628,35,8,858513,1257058
16384,2,16384,4294833687,45,10,620437,1033481
16384,2,16384,4294843746,65,14,789102,1216648
16384,2,16384,4294884577,60,13,662637,1143946
16384,2,16384,4294915074,50,11,365329,767246
16384,2,16384,4294929056,55,12,657690,1081427
16384,2,16384,4294936156,40,9,513895,941188
16384,2,16384,4294950337,25,6,428303,834460
16384,2,16384,4294953800,40,9,564635,962344
16384,2,16384,4294958206,55,12,626173,1035795
16384,2,16384,4294963706,50,11,483659,907220
16384,2,16384,4294963783,20,5,445710,840947
32768,2,32768,4294227443,65,14,686450,1444382
32768,2,32768,4294526335,30,7,624822,1364970
32768,2,32768,4294668683,50,11,608921,1349252
32768,2,32768,4294713447,55,12,2105989,2869437
32768,2,32768,4294747274,70,15,1052170,1798896
32768,2,32768,4294754503,50,11,454619,1208755
32768,2,32768,4294793250,70,15,859501,1599950
32768,2,32768,4294831983,45,10,708658,1456797
32768,2,32768,4294834710,70,15,688102,1427463
32768,2,32768,4294864919,55,12,1879251,2653961
32768,2,32768,4294867266,60,13,1319883,2134192
32768,2,32768,4294868991,45,10,734995,1464496
32768,2,32768,4294876610,40,9,2854391,3605907
32768,2,32768,4294901044,50,11,786466,1558752
32768,2,32768,4294911252,50,11,1148610,1936581
32768,2,32768,4294913755,65,14,881393,1654668
32768,2,32768,4294915820,45,10,1001901,1764075
32768,2,32768,4294915964,45,10,526705,1271173
32768,2,32768,4294917101,30,7,826295,1567533
32768,2,32768,4294938555,65,14,1261428,2003744
65536,2,65536,4294617969,75,16,860957,2309799
65536,2,65536,4294750474,80,17,1489373,2963301
65536,2,65536,4294766952,60,13,1759968,3249996
65536,2,65536,4294807519,65,14,1760513,4598397
65536,2,65536,4294829581,65,14,1678748,3182698
65536,2,65536,4294834792,60,13,2383695,3867242
65536,2,65536,4294854275,50,11,1282386,2749921
65536,2,65536,4294872332,45,10,1436723,2923434
65536,2,65536,4294880103,70,15,1839457,3279027
65536,2,65536,4294898188,70,15,1458821,2902647
65536,2,65536,4294900837,90,19,1855589,3361247
65536,2,65536,4294906608,70,15,1397920,2877467
65536,2,65536,4294912519,55,12,1729624,3160050
65536,2,65536,4294915030,40,9,1932554,3381937
65536,2,65536,4294919998,20,5,1032180,2482088
65536,2,65536,4294923478,70,15,2324959,3783376
65536,2,65536,4294939952,60,13,1166846,2612303
65536,2,65536,4294940305,50,11,1262354,2741200
65536,2,65536,4294948277,65,14,1698458,3164156
65536,2,65536,4294967150,50,11,1488615,2933004
131072,2,131072,4294862620,60,13,1601963,4382177
131072,2,131072,4294898634,70,15,1474424,4310309
131072,2,131072,4294914330,75,16,15456067,18313628
131072,2,131072,4294928834,45,10,1685295,4505404
131072,2,131072,4294932397,75,16,8430593,11227713
131072,2,131072,4294933115,25,6,2011161,4858524
131072,2,131072,4294943892,45,10,2306678,5205826
131072,2,131072,4294943936,60,13,3096562,5979999
131072,2,131072,4294946250,55,12,4540339,7348911
131072,2,131072,4294946819,80,17,3219459,5991127
131072,2,131072,4294947323,60,13,6296802,9119436
131072,2,131072,4294947653,75,16,3792495,6643527
131072,2,131072,4294949837,55,12,2390247,5221152
131072,2,131072,4294952735,85,18,3791122,6629525
131072,2,131072,4294954514,75,16,2942876,5823488
131072,2,131072,4294961337,65,14,1743133,4582604
131072,2,131072,4294962401,45,10,2229779,5060762
131072,2,131072,4294963947,50,11,2661461,5477253
131072,2,131072,4294965053,40,9,2955773,5782606
131072,2,131072,4294965706,55,12,3144193,5974582
262144,2,262144,4294921519,50,11,27201703,32840312
262144,2,262144,4294931299,80,17,4360810,9980192
262144,2,262144,4294931551,85,18,28944663,34513875
262144,2,262144,4294932009,55,12,28464264,33974788
262144,2,262144,4294932555,90,19,3140198,8690262
262144,2,262144,4294933820,55,12,4572538,10120754
262144,2,262144,4294935775,45,10,2927614,8455170
262144,2,262144,4294944733,95,20,7139552,12761808
262144,2,262144,4294945606,70,15,3739980,9292947
262144,2,262144,4294947662,80,17,4863257,10476010
262144,2,262144,4294953100,60,13,4291561,9915801
262144,2,262144,4294954420,35,8,2699105,8360919
262144,2,262144,4294958764,75,16,5466753,10990706
262144,2,262144,4294959870,75,16,3060622,8649569
262144,2,262144,4294960153,80,17,4696873,10264809
262144,2,262144,4294961776,65,14,3041065,8651877
262144,2,262144,4294965112,85,18,27245656,32805696
262144,2,262144,4294966111,70,15,6583044,12212781
262144,2,262144,4294966321,75,16,7219268,12741908
262144,2,262144,4294967184,50,11,29643416,35204198
524288,2,524288,4294929930,55,12,14272829,25327223
524288,2,524288,4294937740,80,17,33326664,44330124
524288,2,524288,4294942408,55,12,38716926,49655255
524288,2,524288,4294950446,80,17,4675278,15870940
524288,2,524288,4294951295,80,17,42128456,53154310
524288,2,524288,4294953026,65,14,29995562,41053359
524288,2,524288,4294954996,80,17,5312040,16521565
524288,2,524288,4294956462,65,14,8993003,20029657
524288,2,524288,4294957126,90,19,6637271,17732779
524288,2,524288,4294958535,45,10,7621272,18826129
524288,2,524288,4294958713,75,16,11212151,22371795
524288,2,524288,4294959283,90,19,15183244,26340184
524288,2,524288,4294959914,75,16,11413760,22535941
524288,2,524288,4294960050,90,19,31198258,42214499
524288,2,524288,4294962349,60,13,7833963,18864205
524288,2,524288,4294962769,70,15,14287211,25479913
524288,2,524288,4294962939,60,13,24728977,35793323
524288,2,524288,4294963953,75,16,9587094,20762230
524288,2,524288,4294966782,110,23,8631083,19820330
524288,2,524288,4294966914,60,13,26986422,38027109
1048576,2,1048576,4294961297,80,17,16479882,59152653
