n,k,i,p,m,r,t,T
1024,2,512,2044963653,50,11,260883,335901
1024,2,512,2109864682,70,15,627684,711462
1024,2,512,2116764510,65,14,380713,451479
1024,2,512,2119706429,70,15,603813,688612
1024,2,512,2135646183,50,11,338028,397241
1024,2,512,2147099434,55,12,590021,649328
1024,2,512,2152331663,60,13,452176,530278
1024,2,512,2154264658,75,16,331912,389927
1024,2,512,2157244293,65,14,258895,334318
1024,2,512,2173941728,65,14,283263,343309
1024,2,512,2175708392,65,14,277510,370564
1024,2,512,2180570757,70,15,322689,384217
1024,2,512,2188749913,55,12,457264,531154
1024,2,512,2196667512,85,18,422249,484349
1024,2,512,2198161579,55,12,295154,383959
1024,2,512,2200612765,70,15,367380,473710
1024,2,512,2204528818,50,11,304950,364266
1024,2,512,2209635760,90,19,311028,371778
1024,2,512,2215994272,70,15,269547,340713
1024,2,512,2220558115,45,10,389320,461305
2048,2,1024,2055968996,80,17,325776,430714
2048,2,1024,2068859240,70,15,285111,366563
2048,2,1024,2078916422,85,18,315470,400128
2048,2,1024,2086849052,85,18,321584,402237
2048,2,1024,2100462539,95,20,513441,608583
2048,2,1024,2113056351,85,18,560323,671455
2048,2,1024,2122452345,60,13,474484,587503
2048,2,1024,2126945547,70,15,300436,405085
2048,2,1024,2130386233,115,24,639139,720278
2048,2,1024,2143315561,65,14,321123,419895
2048,2,1024,2144261749,70,15,602218,696606
2048,2,1024,2146500100,75,16,337413,419323
2048,2,1024,2158877533,90,19,445721,548909
2048,2,1024,2161927549,75,16,293745,375461
2048,2,1024,2171011809,65,14,355793,451138
2048,2,1024,2175801565,95,20,331356,424948
2048,2,1024,2178191964,50,11,359947,441992
2048,2,1024,2189250429,65,14,268428,348597
2048,2,1024,2202770681,85,18,557736,648204
2048,2,1024,2264316442,80,17,395468,476224
4096,2,2048,2095377664,85,18,427032,570971
4096,2,2048,2114629803,45,10,620630,766238
4096,2,2048,2115046271,90,19,581316,738690
4096,2,2048,2118767551,50,11,4912497,5052752
4096,2,2048,2119699469,80,17,539666,676249
4096,2,2048,2120958593,90,19,432085,569777
4096,2,2048,2124683403,70,15,391291,519340
4096,2,2048,2126491016,65,14,426889,551640
4096,2,2048,2127199173,100,21,499876,682837
4096,2,2048,2139115660,75,16,429440,557024
4096,2,2048,2142409253,55,12,354623,480563
4096,2,2048,2149014837,95,20,662783,853422
4096,2,2048,2151687228,70,15,469741,614449
4096,2,2048,2159766664,90,19,408096,533277
4096,2,2048,2167085827,105,22,621506,779369
4096,2,2048,2172084919,60,13,408233,564874
4096,2,2048,2175213451,75,16,343236,469039
4096,2,2048,2177533555,120,25,439919,595827
4096,2,2048,2196924097,95,20,411261,537268
4096,2,2048,2212616074,70,15,358101,483822
8192,2,4096,2105252198,90,19,579912,798324
8192,2,4096,2112679618,110,23,618019,830979
8192,2,4096,2113213850,85,18,524232,745902
8192,2,4096,2116138360,130,27,588505,797327
8192,2,4096,2116461483,90,19,554330,773795
8192,2,4096,2124315679,75,16,439660,671503
8192,2,4096,2127680794,50,11,431711,656035
8192,2,4096,2132261281,80,17,482142,706261
8192,2,4096,2143505159,75,16,529206,757699
8192,2,4096,2145411470,60,13,450087,700428
8192,2,4096,2145686397,80,17,477346,707183
8192,2,4096,2151387495,35,8,648809,921686
8192,2,4096,2154439578,60,13,402663,631262
8192,2,4096,2158117428,85,18,663551,907138
8192,2,4096,2158222002,60,13,645202,933332
8192,2,4096,2158544665,100,21,897392,1134045
8192,2,4096,2158904849,45,10,399522,629266
8192,2,4096,2165419641,70,15,481601,694984
8192,2,4096,2180343689,35,8,406796,651603
8192,2,4096,2187484778,110,23,512313,735673
16384,2,8192,2127956277,100,21,687143,1096444
16384,2,8192,2137793926,90,19,687420,1078533
16384,2,8192,2139916277,85,18,1324436,1755416
16384,2,8192,2142545298,85,18,1254070,1656524
16384,2,8192,2143573791,95,20,773298,1167566
16384,2,8192,2147974590,95,20,680567,1071788
16384,2,8192,2148748311,95,20,645357,1036280
16384,2,8192,2151923969,55,12,673105,1065191
16384,2,8192,2152007118,90,19,709718,1107802
16384,2,8192,2155423861,65,14,1156508,1570138
16384,2,8192,2157042388,90,19,647932,1061955
16384,2,8192,2157634408,110,23,725798,1127711
16384,2,8192,2159357062,120,25,1378471,1811149
16384,2,8192,2162271517,100,21,783523,1194390
16384,2,8192,2162341875,45,10,604321,998795
16384,2,8192,2163004199,105,22,583460,992167
16384,2,8192,2167770830,90,19,1445620,1880067
16384,2,8192,2167970600,80,17,651643,1075307
16384,2,8192,2169130726,90,19,1239380,1651223
16384,2,8192,2175335357,105,22,688721,1089698
32768,2,16384,2129293863,110,23,1922632,2690227
32768,2,16384,2131321265,115,24,1065783,1874612
32768,2,16384,2133694981,100,21,1807615,2646401
32768,2,16384,2134337404,105,22,1200436,1943940
32768,2,16384,2139847570,110,23,1001409,1731083
32768,2,16384,2141871155,75,16,1062011,1799194
32768,2,16384,2144531062,100,21,1019679,1781502
32768,2,16384,2145604839,75,16,4552479,5305454
32768,2,16384,2146180833,105,22,1290014,2035749
32768,2,16384,2146520298,130,27,1494990,2240266
32768,2,16384,2147524945,90,19,2038302,2811267
32768,2,16384,2149022933,110,23,970466,1718549
32768,2,16384,2151054296,105,22,1127546,1922252
32768,2,16384,2151468145,125,26,976748,1749904
32768,2,16384,2152523885,100,21,3224255,4101045
32768,2,16384,2156546522,65,14,895947,1630167
32768,2,16384,2159152072,85,18,2347212,3122597
32768,2,16384,2160378453,85,18,1098886,1856349
32768,2,16384,2162967482,95,20,997791,1785016
32768,2,16384,2167459732,105,22,897252,1640342
65536,2,32768,2134784136,130,27,1796922,3321004
65536,2,32768,2138939805,110,23,1399626,2891047
65536,2,32768,2140717929,130,27,3139074,4599973
65536,2,32768,2143892387,120,25,1572033,3066473
65536,2,32768,2144578134,145,30,2409538,3926801
65536,2,32768,2144777185,85,18,2304061,3746916
65536,2,32768,2145660524,150,31,2308646,3749661
65536,2,32768,2149233572,95,20,4771665,6217767
65536,2,32768,2149294714,115,24,1620387,3062552
65536,2,32768,2151281264,85,18,3481559,5269490
65536,2,32768,2151401058,110,23,1684591,3169505
65536,2,32768,2151715451,120,25,1658311,3130804
65536,2,32768,2152005202,125,26,1641177,3097807
65536,2,32768,2158578747,85,18,1618620,3083016
65536,2,32768,2158742339,95,20,1301641,2742263
65536,2,32768,2158795210,105,22,3207638,4641356
65536,2,32768,2159780820,100,21,2289610,3741527
65536,2,32768,2160476228,75,16,1429768,2908317
65536,2,32768,2161319188,70,15,1870466,3348559
65536,2,32768,2162807663,100,21,1939699,3377334
131072,2,65536,2132232718,120,25,3324098,6216554
131072,2,65536,2133169445,110,23,3890422,6753633
131072,2,65536,2133356642,120,25,4070248,6935194
131072,2,65536,2134852157,105,22,3654307,6517717
131072,2,65536,2135824603,70,15,2589765,5463196
131072,2,65536,2137848672,135,28,2910226,5743931
131072,2,65536,2139116991,150,31,5370063,8199631
131072,2,65536,2140011844,110,23,6667125,9482419
131072,2,65536,2140808293,145,30,2997829,5823760
131072,2,65536,2141806999,105,22,3293821,6143100
131072,2,65536,2144328251,65,14,3002896,5866843
131072,2,65536,2145042414,115,24,3431473,6291077
131072,2,65536,2145888050,105,22,4660622,7560629
131072,2,65536,2145914030,90,19,3086495,5905303
131072,2,65536,2146740566,105,22,8617757,11437984
131072,2,65536,2146811581,145,30,4998250,7819106
131072,2,65536,2146888200,100,21,9719735,12553857
131072,2,65536,2149855668,110,23,3424584,6277386
131072,2,65536,2151526415,140,29,5630309,8464417
131072,2,65536,2155085778,125,26,4241173,7105584
262144,2,131072,2142603904,120,25,6486200,12044527
262144,2,131072,2142696676,145,30,6253800,11874702
262144,2,131072,2142776904,75,16,6241342,11956537
262144,2,131072,2143124453,55,12,6031253,11635723
262144,2,131072,2143308953,105,22,11674361,17291938
262144,2,131072,2144623827,120,25,28428229,33988650
262144,2,131072,2145250276,190,39,27403081,33014714
262144,2,131072,2145742743,145,30,5625228,11241490
262144,2,131072,2146368743,110,23,6640715,12229076
262144,2,131072,2146616605,155,32,11263546,16860196
262144,2,131072,2147933201,115,24,32371675,38066493
262144,2,131072,2148476594,130,27,6187526,11788413
262144,2,131072,2148978531,140,29,6539120,12240391
262144,2,131072,2149779004,130,27,5797700,11414220
262144,2,131072,2150089650,130,27,10026671,15511718
262144,2,131072,2150228788,135,28,13820336,19330764
262144,2,131072,2151507235,100,21,4762546,10351430
262144,2,131072,2152815896,215,44,10328738,15873622
262144,2,131072,2153718216,115,24,29593096,35180295
262144,2,131072,2154046032,120,25,12722596,18247196
524288,2,262144,2142584398,145,30,16638018,27764044
524288,2,262144,2145304398,105,22,37402637,48402492
524288,2,262144,2146280162,100,21,36107577,47186882
524288,2,262144,2146961260,130,27,15758268,26836015
524288,2,262144,2147017142,155,32,35616516,46754836
524288,2,262144,2147232576,125,26,40880748,51886934
524288,2,262144,2147922139,80,17,28576882,39606249
524288,2,262144,2148394543,70,15,13591613,24644787
524288,2,262144,2148896005,145,30,35412596,46441684
524288,2,262144,2148930684,120,25,14305658,25454885
524288,2,262144,2149019292,145,30,9461999,20699897
524288,2,262144,2149442372,130,27,908348769,919366058
524288,2,262144,2149668295,140,29,45831464,56973328
524288,2,262144,2151334956,150,31,36361125,47418246
524288,2,262144,2151361376,120,25,13607348,24885965
524288,2,262144,2151520870,95,20,34246334,45359526
524288,2,262144,2151602595,120,25,19801202,30973596
524288,2,262144,2152291083,140,29,18788094,29964780
524288,2,262144,2152918920,75,16,35639312,46738923
524288,2,262144,2154281529,90,19,33411538,44543597
1048576,2,524288,2142648619,130,27,55105414,78496102
1048576,2,524288,2144580100,145,30,86328415,111481752
1048576,2,524288,2144932255,120,25,71357027,114341053
1048576,2,524288,2145117100,105,22,23005935,45750640
1048576,2,524288,2145933857,95,20,67654756,110376754
1048576,2,524288,2146898871,175,36,93852838,116595796
1048576,2,524288,2146976063,135,28,37090310,60011237
1048576,2,524288,2147085194,135,28,21687763,64478284
1048576,2,524288,2147729648,95,20,21908027,64594623
1048576,2,524288,2147744152,140,29,34334100,60626110
1048576,2,524288,2148216108,150,31,74829832,117540164
1048576,2,524288,2148478201,145,30,25029370,47684159
1048576,2,524288,2148501429,80,17,47995769,70804575
1048576,2,524288,2148816521,160,33,73238165,100312892
1048576,2,524288,2148849473,95,20,25720931,68427506
1048576,2,524288,2148863848,160,33,20272155,63032047
1048576,2,524288,2149987202,170,35,38811962,61728303
1048576,2,524288,2150396885,100,21,23344001,46210109
1048576,2,524288,2150487294,145,30,65979168,108640660
1048576,2,524288,2152328190,145,30,21667799,44420165
2097152,2,1048576,2144311352,165,34,147235067,212065250
2097152,2,1048576,2144685751,150,31,123599803,169331451
2097152,2,1048576,2145675519,90,19,95353648,139937395
2097152,2,1048576,2145977440,115,24,109682736,169446111
2097152,2,1048576,2146069615,115,24,138389156,202656001
2097152,2,1048576,2146673778,145,30,121580977,166299480
2097152,2,1048576,2146730314,145,30,184990301,249916707
2097152,2,1048576,2146790006,140,29,122697428,187362899
2097152,2,1048576,2146827695,145,30,91224875,160141794
2097152,2,1048576,2146880904,215,44,130878452,195831919
2097152,2,1048576,2147072084,205,42,135191780,199924526
2097152,2,1048576,2147423080,165,34,178816169,243124233
2097152,2,1048576,2147655858,125,26,136085573,180554223
2097152,2,1048576,2147684937,95,20,125452921,175252669
2097152,2,1048576,2147703930,125,26,128979000,173613902
2097152,2,1048576,2147822899,195,40,72561655,117507165
2097152,2,1048576,2148474929,150,31,217504480,264452768
2097152,2,1048576,2148983543,105,22,41735417,87085459
2097152,2,1048576,2149045727,110,23,57896844,102778024
2097152,2,1048576,2149072917,170,35,87202767,132474017
4194304,2,2097152,2145693411,170,35,120466255,209349803
4194304,2,2097152,2146321282,190,39,240163042,420658651
4194304,2,2097152,2146666906,115,24,145007360,245642477
4194304,2,2097152,2146676868,145,30,280776622,371729540
4194304,2,2097152,2146685075,140,29,157566383,246124896
4194304,2,2097152,2146742201,110,23,323339188,412934718
4194304,2,2097152,2146964901,155,32,158216639,275140172
4194304,2,2097152,2147205085,115,24,220838859,401443757
4194304,2,2097152,2147244579,110,23,95086585,183913394
4194304,2,2097152,2147348860,150,31,226698274,386528525
4194304,2,2097152,2147569751,135,28,141234722,229557198
4194304,2,2097152,2147654401,90,19,91372892,181179414
4194304,2,2097152,2147733387,150,31,111420057,231973112
4194304,2,2097152,2147985655,120,25,96503719,185686055
4194304,2,2097152,2148015759,140,29,253599712,344478905
4194304,2,2097152,2148061266,140,29,231961792,412221965
4194304,2,2097152,2148159213,185,38,294925753,411338825
4194304,2,2097152,2148527919,140,29,137030420,255987164
4194304,2,2097152,2149337546,80,17,156850179,336579395
4194304,2,2097152,2149379565,200,41,134617218,223515377
8388608,2,4194304,2146143862,170,35,198577447,374276714
8388608,2,4194304,2146236035,115,24,260114033,449277941
8388608,2,4194304,2146592128,160,33,270946175,595891594
8388608,2,4194304,2147027040,110,23,225611544,401843836
8388608,2,4194304,2147132805,160,33,276908099,617216809
8388608,2,4194304,2147196723,135,28,246829418,424879977
8388608,2,4194304,2147223714,180,37,503481395,842912374
8388608,2,4194304,2147373769,160,33,658976834,835125558
8388608,2,4194304,2147527549,125,26,214292393,446604128
8388608,2,4194304,2147766442,170,35,247390981,424164558
8388608,2,4194304,2147768895,160,33,249533316,425250704
8388608,2,4194304,2147784745,135,28,695409965,1013771629
8388608,2,4194304,2147885467,155,32,430760669,769259546
8388608,2,4194304,2147901317,120,25,503088026,842124117
8388608,2,4194304,2147931402,120,25,520197586,696063384
8388608,2,4194304,2148172841,100,21,185884141,362499788
8388608,2,4194304,2148222485,155,32,226231546,403735061
8388608,2,4194304,2148440882,145,30,491437494,830882517
8388608,2,4194304,2148452678,160,33,510887088,849828916
8388608,2,4194304,2148630123,100,21,225550386,402870560
16777216,2,8388608,2146826794,115,24,829191472,1523259584
16777216,2,8388608,2146848814,130,27,355772456,705807682
16777216,2,8388608,2146849718,110,23,291944417,673674891
16777216,2,8388608,2146916596,200,41,1296631924,1989921303
16777216,2,8388608,2147099685,145,30,343262006,767939765
16777216,2,8388608,2147231583,135,28,432329739,925838782
16777216,2,8388608,2147260215,125,26,765475850,1142026385
16777216,2,8388608,2147387454,165,34,917272719,1269731925
16777216,2,8388608,2147392390,215,44,508193678,857734784
16777216,2,8388608,2147395773,225,46,2981432634,3657772311
16777216,2,8388608,2147500837,110,23,831580023,1525366631
16777216,2,8388608,2147520936,190,39,1358601546,2051919230
16777216,2,8388608,2147570843,130,27,387089103,737538988
16777216,2,8388608,2147690064,175,36,493700104,1129665150
16777216,2,8388608,2147754172,190,39,1069667197,1754196787
16777216,2,8388608,2147920679,145,30,534472070,1163842101
16777216,2,8388608,2147939299,190,39,1060179224,1740586071
16777216,2,8388608,2148182345,200,41,882052589,1569909274
16777216,2,8388608,2148218240,165,34,590104970,939105415
16777216,2,8388608,2148329457,195,40,578268412,983131195
33554432,2,16777216,2146862031,230,47,2446023766,3818585399
33554432,2,16777216,2146900995,150,31,3889558713,4699642699
33554432,2,16777216,2147004990,175,36,1218663742,2067299089
33554432,2,16777216,2147129515,215,44,1234798985,1934290802
33554432,2,16777216,2147391627,200,41,1445399792,2837532482
33554432,2,16777216,2147418760,180,37,1024955177,2315505192
33554432,2,16777216,2147442924,185,38,979496461,2383771647
33554432,2,16777216,2147516415,160,33,1903316336,3308420397
33554432,2,16777216,2147519580,195,40,2174609521,3096738341
33554432,2,16777216,2147634205,230,47,2679777428,4067457330
33554432,2,16777216,2147654030,145,30,877342341,1645456125
33554432,2,16777216,2147654914,200,41,1093125782,1862423250
33554432,2,16777216,2147683034,180,37,839073278,1597548999
33554432,2,16777216,2147718452,155,32,1757162650,3149050581
33554432,2,16777216,2147880786,215,44,2549005317,3937463647
33554432,2,16777216,2147895871,165,34,1021602197,1788933330
33554432,2,16777216,2147902177,165,34,1571912476,2935752767
33554432,2,16777216,2147956300,145,30,829274139,1857224228
33554432,2,16777216,2148262919,170,35,1664038093,3063860843
33554432,2,16777216,2148392646,225,46,1409057414,2112764579
67108864,2,33554432,2147037039,200,41,2181917575,3657195440
67108864,2,33554432,2147167389,180,37,3461660496,5340398607
67108864,2,33554432,2147241343,155,32,2596422036,4123962644
67108864,2,33554432,2147253808,170,35,3160962636,5931551398
67108864,2,33554432,2147413167,180,37,2841217068,5613513710
67108864,2,33554432,2147436176,150,31,3308461209,6078634523
67108864,2,33554432,2147441562,230,47,3931934623,6269414927
67108864,2,33554432,2147452469,195,40,4014581221,6595536498
67108864,2,33554432,2147512515,180,37,2413314085,5193009440
67108864,2,33554432,2147546010,165,34,2521413111,4811720699
67108864,2,33554432,2147587990,145,30,3703795666,6495425048
67108864,2,33554432,2147647630,255,52,2197538167,3703339679
67108864,2,33554432,2147680803,205,42,1891613796,3424732935
67108864,2,33554432,2147719855,155,32,3975585510,6684560148
67108864,2,33554432,2147727791,155,32,3629011781,5135931280
67108864,2,33554432,2147757699,205,42,2531171858,4829604151
67108864,2,33554432,2147774145,135,28,3711992306,6488899428
67108864,2,33554432,2147849040,180,37,3377028060,6152582450
67108864,2,33554432,2147882459,150,31,1721886462,3120113985
67108864,2,33554432,2148099616,105,22,1940743990,4724555356
134217728,2,67108864,2147214416,180,37,7304428471,12081953727
134217728,2,67108864,2147240837,280,57,9417246324,14168817723
134217728,2,67108864,2147253553,190,39,7814885331,11885658065
134217728,2,67108864,2147327394,215,44,6035386127,10787825417
134217728,2,67108864,2147360216,150,31,7272757557,12852908515
134217728,2,67108864,2147403852,145,30,8437774603,13608116513
134217728,2,67108864,2147451214,130,27,4602139795,7910551963
134217728,2,67108864,2147471974,225,46,3912346968,6704310832
134217728,2,67108864,2147556885,170,35,10601771914,15576974931
134217728,2,67108864,2147558804,180,37,6368692733,9455085919
134217728,2,67108864,2147576118,165,34,6018690395,11072999150
134217728,2,67108864,2147576605,145,30,5515533275,11081735797
134217728,2,67108864,2147604622,175,36,5739437976,10496298143
134217728,2,67108864,2147618933,180,37,3105488696,6287173275
134217728,2,67108864,2147626097,175,36,4157769832,7886586954
134217728,2,67108864,2147639765,240,49,8662725024,14242911218
134217728,2,67108864,2147650800,140,29,5590721427,11149150880
134217728,2,67108864,2147651113,190,39,2846371168,6106794552
134217728,2,67108864,2147686343,195,40,11006763538,16055734648
134217728,2,67108864,2147741332,170,35,4444728362,9982889614
268435456,2,134217728,2147289749,170,35,6585392543,12185027947
268435456,2,134217728,2147300420,135,28,5047886306,10627177987
268435456,2,134217728,2147326717,180,37,10779605289,20251717795
268435456,2,134217728,2147394772,150,31,6183483224,11780800348
268435456,2,134217728,2147409046,175,36,15567820989,25797205818
268435456,2,134217728,2147423784,215,44,16938951271,27277566438
268435456,2,134217728,2147437197,155,32,11353105825,21687528480
268435456,2,134217728,2147449265,170,35,6660963483,12242784260
268435456,2,134217728,2147457409,210,43,20223561493,31425089547
268435456,2,134217728,2147515219,160,33,16128773287,27354200974
