n,k,i,p,m,r,t,T
1024,32,1,10914366,1085,8,95160488,95211188
1024,32,1,11664760,1085,8,128029715,128082797
1024,32,1,1342819,1240,9,97860467,97918847
1024,32,1,16554588,1085,8,104428833,104474277
1024,32,1,1664083,1240,9,109176759,109229599
1024,32,1,168330,1240,9,112961895,113008529
1024,32,1,1923496,1550,11,123295527,123342656
1024,32,1,1995150,930,7,119084257,119147680
1024,32,1,2295368,1240,9,103112548,103171619
1024,32,1,2499097,1085,8,97760014,97813039
1024,32,1,271247,930,7,90273882,90327835
1024,32,1,2976750,930,7,98833794,98900762
1024,32,1,3873736,1395,10,96903165,96972914
1024,32,1,4842387,1085,8,98978045,99043488
1024,32,1,632147,1085,8,128502814,128573520
1024,32,1,672061,2015,14,128749834,128812268
1024,32,1,7446086,775,6,120071997,120117610
1024,32,1,77764,1240,9,100130957,100178984
1024,32,1,8797275,1550,11,104181562,104245925
1024,32,1,8885249,1085,8,97977197,98043173
2048,32,1,1006985,1240,9,93794666,93849482
2048,32,1,1105130,1395,10,115371989,115419819
2048,32,1,1213749,930,7,92186212,92232857
2048,32,1,1287298,1085,8,112005301,112056840
2048,32,1,1307500,1085,8,110031900,110098771
2048,32,1,1408713,1395,10,113725272,113788739
2048,32,1,1551039,1085,8,86494210,86559607
2048,32,1,1588006,1705,12,83810573,83866767
2048,32,1,2143,1395,10,99971495,100080679
2048,32,1,2315126,1085,8,96529312,96607470
2048,32,1,2644151,1705,12,99579602,99651339
2048,32,1,2672709,1085,8,112117091,112183339
2048,32,1,34407,930,7,112417481,112477127
2048,32,1,3457705,930,7,96789421,96842698
2048,32,1,425188,1395,10,107719143,107766928
2048,32,1,4909190,1860,13,92703716,92761636
2048,32,1,6463629,1550,11,112416104,112463134
2048,32,1,6974469,1395,10,86092556,86147156
2048,32,1,83965,1705,12,122411516,122479376
2048,32,1,98647,1395,10,138854393,138919157
4096,32,1,1112133,1240,9,128186585,128241710
4096,32,1,1193535,2015,14,114274452,114336651
4096,32,1,1201727,1395,10,106262743,106324090
4096,32,1,187555,2325,16,129111050,129181429
4096,32,1,1949730,2790,19,107639112,107706363
4096,32,1,2317210,1240,9,118769235,118852198
4096,32,1,2393595,1705,12,121702052,121768133
4096,32,1,376590,775,6,121608914,121665345
4096,32,1,376816,1240,9,115705668,115774418
4096,32,1,39259,1550,11,110278945,110328228
4096,32,1,4192614,1395,10,98693720,98743367
4096,32,1,462665,775,6,135894862,135951076
4096,32,1,53500,1085,8,120188403,120264084
4096,32,1,5379948,1705,12,93697257,93747313
4096,32,1,55861,1550,11,93315582,93369552
4096,32,1,6619145,1550,11,117693099,117743074
4096,32,1,664085,1550,11,104799839,104873159
4096,32,1,812740,1085,8,97116894,97186411
4096,32,1,880715,1550,11,94620498,94682152
4096,32,1,950543,2015,14,101893333,101956658
8192,32,1,1054204,1705,12,103018938,103078769
8192,32,1,1159994,930,7,138418528,138477726
8192,32,1,137916,1705,12,110895740,110956948
8192,32,1,150320,1085,8,91067834,91122447
8192,32,1,1675358,1705,12,111958281,112035304
8192,32,1,251579,1705,12,98591252,98649708
8192,32,1,260671,1085,8,109323319,109372917
8192,32,1,282548,1705,12,112878333,112950899
8192,32,1,32404,930,7,103434975,103514381
8192,32,1,351912,1085,8,106077615,106130073
8192,32,1,379405,1085,8,97040060,97106182
8192,32,1,390407,1395,10,95774058,95843996
8192,32,1,399722,1240,9,109094998,109184782
8192,32,1,433076,1550,11,117183968,117255189
8192,32,1,548095,1550,11,99899315,99992879
8192,32,1,6118,1240,9,114724463,114802373
8192,32,1,712886,1240,9,92708996,92760524
8192,32,1,731613,1240,9,118069304,118121399
8192,32,1,835451,1085,8,133654526,133723746
8192,32,1,883937,1395,10,94375098,94445833
16384,32,1,15342,1395,10,118031628,118098072
16384,32,1,193408,1550,11,110588295,110653001
16384,32,1,229356,1240,9,103020167,103081688
16384,32,1,244612,2015,14,97594712,97674164
16384,32,1,262536,2325,16,123642072,123719926
16384,32,1,28883,1395,10,88522500,88600464
16384,32,1,30848,1550,11,109793126,109852704
16384,32,1,308570,1550,11,97751932,97829242
16384,32,1,332574,1240,9,91856148,91933417
16384,32,1,357457,1550,11,107819970,107899274
16384,32,1,478014,1550,11,92354646,92426856
16384,32,1,484640,2015,14,88652640,88751688
16384,32,1,55533,775,6,110538864,110605540
16384,32,1,55798,1705,12,118596166,118676519
16384,32,1,60193,775,6,92911218,93020515
16384,32,1,65635,1705,12,117933400,117996676
16384,32,1,775444,1550,11,115951515,116016990
16384,32,1,794097,1395,10,108615702,108687977
16384,32,1,86487,1395,10,101344825,101410729
16384,32,1,90944,1395,10,117221612,117279033
32768,32,1,111169,930,7,123978941,124059551
32768,32,1,121633,2480,17,109127389,109213703
32768,32,1,125404,1860,13,121452842,121535010
32768,32,1,126269,1860,13,112160433,112266312
32768,32,1,12776,1860,13,127731039,127831509
32768,32,1,142212,1860,13,111439778,111525676
32768,32,1,14730,1860,13,96518327,96617186
32768,32,1,19542,930,7,91790654,91880570
32768,32,1,202415,1550,11,109582601,109680862
32768,32,1,218451,1395,10,130778407,130879914
32768,32,1,239200,1860,13,107439313,107541180
32768,32,1,244453,1860,13,112336757,112427531
32768,32,1,2604,1240,9,111200261,111257600
32768,32,1,2932,1860,13,113227623,113308257
32768,32,1,38053,1085,8,104959624,105040459
32768,32,1,39546,2170,15,108264390,108372090
32768,32,1,57876,1860,13,111932072,112036155
32768,32,1,68104,2015,14,104969841,105071441
32768,32,1,73005,620,5,111708022,111835431
32768,32,1,80123,1550,11,99174545,99278525
65536,32,1,10449,1705,12,108264012,108388767
65536,32,1,10868,1395,10,111868990,112000395
65536,32,1,120827,1395,10,108591625,108728254
65536,32,1,121830,1085,8,108949361,109087443
65536,32,1,16790,1860,13,85769377,85905914
65536,32,1,1708,1860,13,101847842,101991254
65536,32,1,182040,1860,13,118641343,118785972
65536,32,1,21215,2945,20,95787636,95918201
65536,32,1,26503,1240,9,116422530,116579141
65536,32,1,26775,1705,12,119245598,119390817
65536,32,1,34623,1550,11,115963237,116091388
65536,32,1,36059,2480,17,219631912,219764742
65536,32,1,36594,1550,11,107560648,107760935
65536,32,1,48982,2480,17,107053360,107195788
65536,32,1,63619,2015,14,107199953,107331112
65536,32,1,6838,2015,14,107145635,107276896
65536,32,1,7605,930,7,91010686,91154359
65536,32,1,79274,2790,19,109623878,109753645
65536,32,1,92178,1705,12,107577348,107739324
65536,32,1,95654,930,7,113614378,113758594
131072,32,1,11929,2480,17,112454073,112672835
131072,32,1,12625,2325,16,103616665,103842859
131072,32,1,13473,1240,9,123631590,123846973
131072,32,1,15525,1085,8,115241066,115458525
131072,32,1,18487,1395,10,99262890,99493980
131072,32,1,2069,1550,11,96938327,97157408
131072,32,1,2615,1860,13,95297322,95533744
131072,32,1,26652,2015,14,104041875,104271404
131072,32,1,33708,2945,20,104241971,104501614
131072,32,1,34387,1860,13,102681707,102944503
131072,32,1,42702,2790,19,99784146,100005227
131072,32,1,52042,2635,18,102215857,102442435
131072,32,1,53048,2015,14,122037830,122247593
131072,32,1,5706,1240,9,122563595,122720811
131072,32,1,57970,2170,15,105613662,105844353
131072,32,1,5840,1550,11,91841731,92135020
131072,32,1,67401,2325,16,119315178,119534899
131072,32,1,84655,2325,16,118759213,118977553
131072,32,1,84897,1395,10,108429374,108662945
131072,32,1,87871,1860,13,101087456,101304899
262144,32,1,11457,1860,13,86694136,87103544
262144,32,1,12311,1705,12,90838172,91246847
262144,32,1,1423,2170,15,100050624,100460912
262144,32,1,16661,2015,14,123628138,124024513
262144,32,1,17174,3100,21,100211891,100627154
262144,32,1,1719,2015,14,115530659,115923904
262144,32,1,1891,1395,10,105092643,105500341
262144,32,1,2071,1705,12,125243107,125643811
262144,32,1,21491,1550,11,94118288,94529186
262144,32,1,22646,1705,12,100530754,100975861
262144,32,1,30757,2170,15,99089067,99489311
262144,32,1,3180,2170,15,107092575,107486208
262144,32,1,3332,2015,14,111879994,112280857
262144,32,1,40015,2170,15,112974109,113369067
262144,32,1,41159,2480,17,107096938,107508401
262144,32,1,5068,1240,9,106420700,106818485
262144,32,1,61465,1860,13,95458604,95867601
262144,32,1,7091,2170,15,140335987,140737496
262144,32,1,7129,1550,11,93770059,94194011
262144,32,1,7996,1860,13,96683746,97084560
524288,32,1,14433,1705,12,90792374,91540646
524288,32,1,1533,2170,15,114164084,114905756
524288,32,1,1585,2325,16,122616252,123359895
524288,32,1,15941,2790,19,100067209,100844130
524288,32,1,1812,2635,18,93957342,94700751
524288,32,1,2426,1395,10,117932416,118676869
524288,32,1,2633,2480,17,99353370,100100296
524288,32,1,3241,2790,19,111059705,111804605
524288,32,1,3495,1860,13,89909740,90648965
524288,32,1,3616,1395,10,105830381,106579287
524288,32,1,3836,1395,10,88315219,89057222
524288,32,1,5249,1240,9,96775118,97538971
524288,32,1,5826,2480,17,116224582,116960556
524288,32,1,584,1395,10,108489863,109243170
524288,32,1,6311,2170,15,107663218,108257389
524288,32,1,8235,2015,14,116744523,117487621
524288,32,1,8528,3100,21,97994426,98745395
524288,32,1,8647,1860,13,135977392,136528375
524288,32,1,9366,2170,15,111703066,112448089
524288,32,1,9444,2635,18,129937636,130677607
1048576,32,1,1169,1240,9,112698894,114173905
1048576,32,1,1693,1550,11,113474054,114938680
1048576,32,1,1734,1395,10,92816919,94252616
1048576,32,1,2033,2325,16,117527925,118964861
1048576,32,1,225,3100,21,93829239,95654778
1048576,32,1,3446,2945,20,104811413,106181594
1048576,32,1,3927,2170,15,101175021,102665864
1048576,32,1,4341,1705,12,97059894,98087400
1048576,32,1,44,2945,20,104367165,105839094
1048576,32,1,4841,1860,13,118810383,120152826
1048576,32,1,4994,2790,19,103068475,104378888
1048576,32,1,530,3100,21,117821291,119091997
1048576,32,1,5403,1240,9,109474061,110949891
1048576,32,1,5655,2170,15,117426907,118807524
1048576,32,1,597,2635,18,124504336,125819562
1048576,32,1,63,2790,19,101531839,102993601
1048576,32,1,7626,1395,10,122692212,124143399
1048576,32,1,7775,2635,18,111191922,112631922
1048576,32,1,842,2325,16,98876243,100331287
1048576,32,1,848,2325,16,136397377,137842575
2097152,32,1,1323,2635,18,118353637,121156391
2097152,32,1,1598,2325,16,135063477,137505180
2097152,32,1,180,2170,15,116267241,119098378
2097152,32,1,194,1550,11,102002546,105055269
2097152,32,1,2024,2325,16,119201201,122064584
2097152,32,1,230,4030,27,94395240,97199854
2097152,32,1,270,1860,13,106138080,108940235
2097152,32,1,270,1860,13,109635549,111994679
2097152,32,1,2713,2945,20,133112115,135452452
2097152,32,1,2835,1860,13,104047032,106895232
2097152,32,1,3506,2325,16,124827384,127664347
2097152,32,1,362,2015,14,100971433,104084986
2097152,32,1,3628,3255,22,114392103,117162991
2097152,32,1,3688,1550,11,93549551,96475575
2097152,32,1,4179,2015,14,116084587,118454807
2097152,32,1,4382,2635,18,99067237,101886437
2097152,32,1,4656,1550,11,90799574,93614989
