n,k,i,p,m,r,t,T
1024,1,1,10963352,0,12,98172,224581
1024,1,1,11117941,0,7,51722,172140
1024,1,1,1180538,0,9,58465,162496
1024,1,1,1375543,0,11,69020,190126
1024,1,1,165894,0,8,95231,194183
1024,1,1,2081816,0,7,81254,181576
1024,1,1,3575581,0,7,53591,174684
1024,1,1,3702789,0,11,60460,167693
1024,1,1,6369190,0,10,71469,185238
1024,1,1,810890,0,5,82156,185170
2048,1,1,1080839,0,12,144051,294513
2048,1,1,1228073,0,9,119583,388597
2048,1,1,1286799,0,5,66722,219658
2048,1,1,226729,0,8,101762,258432
2048,1,1,3953635,0,13,99968,287019
2048,1,1,4088976,0,11,90913,236263
2048,1,1,421798,0,8,82006,227064
2048,1,1,489504,0,8,94702,250181
2048,1,1,74627,0,12,143960,319562
2048,1,1,895443,0,11,128107,267087
4096,1,1,1213303,0,13,160364,392721
4096,1,1,148926,0,6,111390,370277
4096,1,1,1583435,0,8,125652,358759
4096,1,1,3381997,0,10,154810,382191
4096,1,1,3546,0,11,135705,388210
4096,1,1,370726,0,8,154333,392019
4096,1,1,410370,0,8,143244,368549
4096,1,1,522087,0,10,235035,462713
4096,1,1,584548,0,10,167818,423857
4096,1,1,59786,0,13,180101,425136
8192,1,1,107255,0,16,403245,811266
8192,1,1,114477,0,12,243398,682724
8192,1,1,1425706,0,12,381273,830027
8192,1,1,148215,0,11,248880,693745
8192,1,1,1524826,0,10,444601,1085005
8192,1,1,299982,0,8,319985,762450
8192,1,1,492801,0,9,316391,734515
8192,1,1,60493,0,16,333760,747713
8192,1,1,820569,0,6,174257,612697
8192,1,1,93966,0,12,195676,610503
16384,1,1,152159,0,11,754487,1503162
16384,1,1,235140,0,7,465973,1227280
16384,1,1,26771,0,14,435014,1260598
16384,1,1,332537,0,8,444864,1221262
16384,1,1,34558,0,9,491698,1272319
16384,1,1,51185,0,7,543288,1298402
16384,1,1,53777,0,12,513489,1298650
16384,1,1,71537,0,10,630761,1387620
16384,1,1,84343,0,12,520290,1269517
16384,1,1,98355,0,12,629892,1390972
32768,1,1,121766,0,13,1309852,2782821
32768,1,1,153969,0,11,1002022,2456390
32768,1,1,176888,0,14,1388857,2879603
32768,1,1,202214,0,12,1033912,2499298
32768,1,1,43397,0,10,926267,2358917
32768,1,1,45266,0,18,1669653,3169485
32768,1,1,46853,0,8,1185050,2652838
32768,1,1,667943,0,8,640461,2084490
32768,1,1,69540,0,11,706387,2131073
32768,1,1,92228,0,10,936915,2384072
65536,1,1,11026,0,9,1914433,4709529
65536,1,1,13850,0,8,1857768,4674351
65536,1,1,207419,0,14,2253067,5094871
65536,1,1,22923,0,12,2075105,4887330
65536,1,1,264537,0,10,2282301,5150211
65536,1,1,27688,0,13,3022090,5811587
65536,1,1,40866,0,11,1310052,4141569
65536,1,1,51461,0,13,2216233,5028396
65536,1,1,53559,0,10,2605827,5453608
65536,1,1,76268,0,8,1171486,3998746
131072,1,1,13035,0,11,4339658,9961475
131072,1,1,20413,0,10,5044712,10607331
131072,1,1,2922,0,9,2450315,7998580
131072,1,1,30471,0,11,4117078,9584079
131072,1,1,34503,0,16,5244014,10734668
131072,1,1,3707,0,12,3955522,9483234
131072,1,1,45374,0,10,4447359,10048638
131072,1,1,61543,0,13,3481085,9075198
131072,1,1,71638,0,20,4541327,10184211
131072,1,1,7178,0,13,2513742,8043242
262144,1,1,10828,0,18,11597575,22697093
262144,1,1,10994,0,11,5098921,15910160
262144,1,1,11815,0,20,12277768,23358956
262144,1,1,1372,0,14,5696832,16691603
262144,1,1,17531,0,14,8848215,19903313
262144,1,1,18455,0,8,4556407,15614113
262144,1,1,28699,0,13,7873891,18860606
262144,1,1,3135,0,14,5645807,16714717
262144,1,1,376,0,18,9861288,20866460
262144,1,1,5359,0,15,16047099,26995477
524288,1,1,11215,0,13,46598775,69038180
524288,1,1,11443,0,15,11455001,33915445
524288,1,1,13965,0,16,16921511,39266443
524288,1,1,1947,0,10,12864009,35439313
524288,1,1,27936,0,10,11208879,57550026
524288,1,1,3719,0,16,21930858,44490235
524288,1,1,3999,0,10,10421405,32954503
524288,1,1,4217,0,17,42050271,64333257
524288,1,1,5854,0,14,22883372,45306534
524288,1,1,8081,0,14,12851434,35366806
1048576,1,1,101,0,16,52361587,96314076
1048576,1,1,1040,0,13,62483679,120314662
1048576,1,1,1226,0,13,45412536,89639623
1048576,1,1,2124,0,21,90653044,158616951
1048576,1,1,2496,0,15,34264214,78648355
1048576,1,1,3184,0,19,51378605,95877390
1048576,1,1,3877,0,12,85593447,153674213
1048576,1,1,4033,0,11,41514147,85841085
1048576,1,1,6532,0,16,63263563,127231309
1048576,1,1,7562,0,12,82237566,150144269
2097152,1,1,1047,0,14,37381113,133879722
2097152,1,1,1293,0,17,61782760,150048877
2097152,1,1,1475,0,18,61080747,148745965
2097152,1,1,1746,0,18,68330078,157213922
2097152,1,1,2039,0,10,94196591,253092481
2097152,1,1,2184,0,18,146944095,326106749
2097152,1,1,2260,0,20,88801735,175795906
2097152,1,1,4103,0,9,40342399,127696661
2097152,1,1,503,0,15,50820044,138664468
2097152,1,1,5861,0,26,142307923,301268429
4194304,1,1,1154,0,20,304162623,644736355
4194304,1,1,1303,0,18,101939795,277716589
4194304,1,1,1514,0,14,238932490,579539475
4194304,1,1,153,0,19,143125390,317733231
4194304,1,1,2,0,22,556474545,873424906
4194304,1,1,442,0,14,176941506,350240470
4194304,1,1,584,0,21,296574098,637360135
4194304,1,1,763,0,15,156612168,493220123
4194304,1,1,82,0,12,180509004,396993960
4194304,1,1,925,0,12,194443859,367945202
8388608,1,1,1127,0,12,499481884,1168702816
8388608,1,1,140,0,13,266256367,946733718
8388608,1,1,152,0,24,308140269,654055933
8388608,1,1,1976,0,22,574573271,1263570615
8388608,1,1,252,0,17,532911287,1099508231
8388608,1,1,254,0,13,285789777,974097969
8388608,1,1,381,0,15,256341347,669751887
8388608,1,1,46,0,16,419826237,766669705
8388608,1,1,777,0,15,305253692,652929532
8388608,1,1,777,0,27,297956142,645470785
16777216,1,1,120,0,22,1142507541,2481176079
16777216,1,1,123,0,18,769240035,2126085343
16777216,1,1,148,0,18,497414297,1532946992
