n,k,i,p,m,r,t,T
1024,4,1024,4283844732,105,8,640730,702497
1024,4,1024,4284719696,180,13,990677,1053656
1024,4,1024,4286340153,90,7,589611,685573
1024,4,1024,4289248899,135,10,1037094,1121783
1024,4,1024,4292028396,105,8,552516,626973
1024,4,1024,4292716525,90,7,529673,621047
1024,4,1024,4294070541,135,10,690485,768503
1024,4,1024,4294482466,120,9,931243,1002970
1024,4,1024,4294698773,120,9,590559,668989
1024,4,1024,4294719447,135,10,500782,571354
2048,4,2048,4286347459,195,14,740489,819674
2048,4,2048,4290920967,120,9,718724,804948
2048,4,2048,4292720454,150,11,577362,653062
2048,4,2048,4292832533,105,8,705115,788898
2048,4,2048,4293253166,135,10,553673,635602
2048,4,2048,4293374420,150,11,936837,1012105
2048,4,2048,4293935903,135,10,513037,597824
2048,4,2048,4294640594,90,7,599093,684596
2048,4,2048,4294781327,150,11,987262,1065428
2048,4,2048,4294903941,135,10,737489,812478
4096,4,4096,4290463506,165,12,677777,778480
4096,4,4096,4291519175,105,8,788812,892774
4096,4,4096,4291582877,165,12,711011,815342
4096,4,4096,4293617501,105,8,588199,692536
4096,4,4096,4293821707,60,5,436710,541544
4096,4,4096,4293855683,210,15,873200,970171
4096,4,4096,4293862352,135,10,644631,746460
4096,4,4096,4294308417,255,18,1060518,1158233
4096,4,4096,4294692927,180,13,841914,948731
4096,4,4096,4294953784,120,9,635847,735627
8192,4,8192,4292864156,105,8,1133494,1305612
8192,4,8192,4293785366,105,8,651310,797526
8192,4,8192,4294065125,120,9,576298,716987
8192,4,8192,4294204390,150,11,643365,822941
8192,4,8192,4294246060,120,9,554252,702161
8192,4,8192,4294298529,135,10,1373489,1523686
8192,4,8192,4294369561,150,11,720105,861152
8192,4,8192,4294635736,135,10,1187588,1347548
8192,4,8192,4294857121,105,8,514380,664021
8192,4,8192,4294905300,195,14,600181,739920
16384,4,16384,4294467898,210,15,743001,973627
16384,4,16384,4294522735,90,7,542072,764188
16384,4,16384,4294669448,210,15,810405,1045104
16384,4,16384,4294753912,135,10,693861,919625
16384,4,16384,4294771294,255,18,841952,1102908
16384,4,16384,4294818434,180,13,679535,906030
16384,4,16384,4294896725,90,7,569771,795208
16384,4,16384,4294903714,180,13,850182,1073349
16384,4,16384,4294913152,165,12,769232,1001064
16384,4,16384,4294914488,165,12,779727,1007175
