n,k,i,p,m,r,t,T
1024,8,512,2129117424,525,16,59185707,59251143
1024,8,512,2144324450,385,12,62278868,62374601
1024,8,512,2156931014,350,11,70567229,70638030
1024,8,512,2164690326,385,12,55336813,55405944
1024,8,512,2213877407,525,16,56704688,56776842
1024,8,512,2214623352,385,12,57399281,57461200
1024,8,512,2230950069,490,15,53227589,53297065
1024,8,512,2232579621,385,12,91629274,91695755
1024,8,512,2237542011,280,9,59507023,59668098
1024,8,512,2240126074,385,12,69703614,69805080
2048,8,1024,2057784747,595,18,62166938,62241608
2048,8,1024,2138268932,700,21,93990163,94050909
2048,8,1024,2146353557,525,16,57238109,57314752
2048,8,1024,2161638621,630,19,53684109,53763558
2048,8,1024,2173836936,315,10,58714053,58783949
2048,8,1024,2180729793,280,9,60258127,60387297
2048,8,1024,2185569310,420,13,54449470,54523986
2048,8,1024,2194357317,455,14,73754385,73825757
2048,8,1024,2200388470,700,21,77508086,77584184
2048,8,1024,2236597067,315,10,58648905,58724953
4096,8,2048,2100722008,735,22,71291914,71367936
4096,8,2048,2122520012,735,22,54598232,54695230
4096,8,2048,2129829189,560,17,74803621,74903912
4096,8,2048,2135335143,595,18,50743922,50894647
4096,8,2048,2144744349,420,13,81272698,81349086
4096,8,2048,2147300663,525,16,53368647,53447901
4096,8,2048,2148497069,770,23,74810240,74886745
4096,8,2048,2152278930,595,18,60506414,60614799
4096,8,2048,2154646474,630,19,52609009,52714298
4096,8,2048,2166775622,630,19,53102741,53183484
8192,8,4096,2118451810,595,18,70102151,70354924
8192,8,4096,2126787065,490,15,60209771,60308832
8192,8,4096,2130829057,455,14,73113380,73213544
8192,8,4096,2136190587,490,15,53569749,53674378
8192,8,4096,2145250322,735,22,58270374,58370014
8192,8,4096,2150177812,455,14,58112236,58207726
8192,8,4096,2159169801,595,18,58002825,58106489
8192,8,4096,2176172725,560,17,74678388,74771564
8192,8,4096,2190897205,455,14,52744756,52838776
8192,8,4096,2193749368,385,12,75820707,75915825
16384,8,8192,2123727931,875,26,53359878,53502790
16384,8,8192,2139713115,630,19,70115178,70260071
16384,8,8192,2141337380,385,12,59278379,59429390
16384,8,8192,2141537389,630,19,82892884,83027032
16384,8,8192,2149389915,385,12,65265461,65409817
16384,8,8192,2151677011,665,20,67668421,67818466
16384,8,8192,2154348752,595,18,56649999,56851343
16384,8,8192,2156105872,875,26,58198731,58347804
16384,8,8192,2156773187,490,15,73010134,73158528
16384,8,8192,2157258579,735,22,58861042,58997185
32768,8,16384,2125875979,735,22,61033011,61258123
32768,8,16384,2140239805,665,20,58807795,59029838
32768,8,16384,2140827877,875,26,65137059,65357594
32768,8,16384,2141880061,700,21,60140998,60374743
32768,8,16384,2142331577,770,23,81314509,81535201
32768,8,16384,2142844179,840,25,52951060,53180630
32768,8,16384,2143441635,700,21,75478335,75706313
32768,8,16384,2143728261,770,23,58345083,58572467
32768,8,16384,2145775616,560,17,61819542,62046627
32768,8,16384,2177891733,210,7,69061729,69291200
65536,8,32768,2134794027,560,17,83413500,83826840
65536,8,32768,2140541071,945,28,89267331,89685019
65536,8,32768,2140716954,700,21,62715742,63125838
65536,8,32768,2141854869,980,29,58088500,58563865
65536,8,32768,2142794888,910,27,53107596,53526287
65536,8,32768,2147692149,595,18,70526111,70944478
65536,8,32768,2148721213,735,22,80934383,81336949
65536,8,32768,2151687963,700,21,62344155,62769969
65536,8,32768,2152396704,665,20,60432795,60840699
65536,8,32768,2155306557,805,24,73262203,73663156
131072,8,65536,2135968568,1015,30,53247809,54640573
131072,8,65536,2144513692,875,26,60393281,61408537
131072,8,65536,2145206453,910,27,66147624,66941776
131072,8,65536,2145255149,420,13,61750500,62496114
131072,8,65536,2148289948,805,24,53969677,54720069
131072,8,65536,2150329547,805,24,87719397,88462717
131072,8,65536,2151045257,770,23,60523519,61264551
131072,8,65536,2152702000,665,20,60110588,61324989
131072,8,65536,2152717386,805,24,59060953,59822628
131072,8,65536,2153457034,875,26,57422267,58233597
262144,8,131072,2137543223,700,21,59393268,60826649
262144,8,131072,2140442274,840,25,76531570,77978653
262144,8,131072,2145360149,735,22,75563034,77000982
262144,8,131072,2145672086,1015,30,63236581,64696597
262144,8,131072,2146194648,735,22,61700131,63135634
262144,8,131072,2148896924,665,20,84166865,85598988
262144,8,131072,2149783868,1050,31,62468554,64611582
262144,8,131072,2151881831,665,20,51542358,53621867
262144,8,131072,2152057459,805,24,58737315,60373777
262144,8,131072,2154349808,805,24,58324099,59787976
524288,8,262144,2142501706,1085,32,64686906,68246049
524288,8,262144,2145325351,1155,34,57520274,60775584
524288,8,262144,2145467329,1085,32,61666695,64481749
524288,8,262144,2145897858,840,25,85334020,88517825
524288,8,262144,2147361045,1155,34,57829773,60730547
524288,8,262144,2147886263,840,25,65450254,68192192
524288,8,262144,2149487411,980,29,61216657,64019059
524288,8,262144,2149567808,700,21,81619655,84440267
524288,8,262144,2151562899,875,26,62002796,64834481
524288,8,262144,2153783613,735,22,59966815,62775555
1048576,8,524288,2144641654,1050,31,70843501,77019136
1048576,8,524288,2146334742,1295,38,90406005,95861772
1048576,8,524288,2146350423,1155,34,65150828,70594326
1048576,8,524288,2147525633,910,27,72077977,77693678
1048576,8,524288,2147797531,1085,32,68711343,74226993
1048576,8,524288,2148098187,1015,30,87259289,92779953
1048576,8,524288,2148267542,665,20,71563743,77064985
1048576,8,524288,2149664426,805,24,67852010,73610434
1048576,8,524288,2149721824,770,23,64673385,70240818
1048576,8,524288,2150520377,1015,30,101306915,106925009
2097152,8,1048576,2144956921,980,29,82772007,93595245
2097152,8,1048576,2145818007,665,20,70117280,81841014
2097152,8,1048576,2146364985,1085,32,96505959,107342054
2097152,8,1048576,2146684676,1120,33,73295195,85000349
2097152,8,1048576,2147380351,875,26,64318528,75228405
2097152,8,1048576,2147799105,1085,32,82553408,93382822
2097152,8,1048576,2147956065,1155,34,73323159,85040223
2097152,8,1048576,2148198698,980,29,103712256,114735972
2097152,8,1048576,2148543483,980,29,75460853,86319814
2097152,8,1048576,2151018043,1015,30,94091839,104969144
4194304,8,2097152,2145276933,910,27,95426127,117892349
4194304,8,2097152,2146294370,840,25,102060449,124477860
4194304,8,2097152,2146661689,945,28,72021892,94941085
4194304,8,2097152,2146785379,1050,31,91166047,113474572
4194304,8,2097152,2147306482,945,28,86485700,108881193
4194304,8,2097152,2147386022,770,23,96901029,120156506
4194304,8,2097152,2147428849,1085,32,99033712,121496827
4194304,8,2097152,2147555998,875,26,85841315,108374691
4194304,8,2097152,2147889320,1120,33,87941415,110503358
4194304,8,2097152,2148297373,1085,32,91700470,114023743
8388608,8,4194304,2146563254,910,27,93748428,138236133
8388608,8,4194304,2146807925,1015,30,127989226,172116499
8388608,8,4194304,2147084419,945,28,116193287,160954838
8388608,8,4194304,2147094417,1120,33,131616862,175775007
8388608,8,4194304,2147406933,1330,39,154322987,198610006
8388608,8,4194304,2147750042,1015,30,166661253,210757125
8388608,8,4194304,2147838291,1085,32,118154638,162937847
8388608,8,4194304,2148607158,1155,34,146569080,191090927
8388608,8,4194304,2148817988,735,22,133874092,178522355
8388608,8,4194304,2149720995,945,28,135365507,179648399
16777216,8,8388608,2146594815,1085,32,169655800,257502354
16777216,8,8388608,2146654526,1155,34,216799712,304171578
16777216,8,8388608,2147136962,1225,36,209778137,297235796
16777216,8,8388608,2147170313,1015,30,172301283,259776887
16777216,8,8388608,2147491621,1470,43,171180310,259163008
16777216,8,8388608,2147540161,910,27,163855124,251165183
16777216,8,8388608,2147849071,1610,47,246097932,333942509
16777216,8,8388608,2147890594,1435,42,215692135,303109065
16777216,8,8388608,2147976391,1505,44,180850032,268827192
16777216,8,8388608,2148451871,840,25,219643757,307089762
33554432,8,16777216,2146840575,1295,38,333102452,507547319
33554432,8,16777216,2146863624,1085,32,390855872,565485258
33554432,8,16777216,2146980699,1225,36,299779222,474693182
33554432,8,16777216,2147285360,1120,33,311633650,486871154
33554432,8,16777216,2147297835,1365,40,334717704,508503313
33554432,8,16777216,2147330143,840,25,342032446,517105499
33554432,8,16777216,2147446512,1400,41,307397578,482396517
33554432,8,16777216,2147695020,1085,32,361823842,537089116
