n,k,i,p,m,r,t,T
1024,2,1024,4277723816,20,5,2553037,2608401
1024,2,1024,4281628248,40,9,399980,460840
1024,2,1024,4286686046,25,6,309399,368517
1024,2,1024,4289655683,40,9,358522,431949
1024,2,1024,4290584000,20,5,247546,308829
1024,2,1024,4292449188,35,8,317975,377815
1024,2,1024,4293750899,40,9,278124,336820
1024,2,1024,4294217275,30,7,392226,452333
1024,2,1024,4294294247,20,5,331030,391889
1024,2,1024,4294785229,50,11,340817,401611
2048,2,2048,4287231173,40,9,469955,554917
2048,2,2048,4289170943,55,12,407488,494863
2048,2,2048,4289692195,55,12,342492,439876
2048,2,2048,4291946098,20,5,247477,353622
2048,2,2048,4293603514,35,8,310974,394188
2048,2,2048,4293976762,50,11,1750572,1844356
2048,2,2048,4294188077,50,11,414197,494325
2048,2,2048,4294439657,30,7,288973,394713
2048,2,2048,4294522612,35,8,407595,490713
2048,2,2048,4294961911,35,8,277706,358705
4096,2,4096,4292503872,40,9,305458,431776
4096,2,4096,4292900342,30,7,780229,907288
4096,2,4096,4294383622,30,7,351208,481106
4096,2,4096,4294414843,30,7,376854,501631
4096,2,4096,4294455397,35,8,306767,439129
4096,2,4096,4294600150,45,10,484130,611282
4096,2,4096,4294682008,40,9,435130,563269
4096,2,4096,4294716576,30,7,4225828,4351679
4096,2,4096,4294756822,45,10,440957,565889
4096,2,4096,4294957915,35,8,341090,465649
8192,2,8192,4293700158,30,7,378124,587869
8192,2,8192,4294042788,40,9,442678,652529
8192,2,8192,4294198504,60,13,476471,690481
8192,2,8192,4294307752,45,10,360989,613427
8192,2,8192,4294500304,50,11,666672,905959
8192,2,8192,4294661658,70,15,490352,700370
8192,2,8192,4294806969,40,9,334985,566081
8192,2,8192,4294883784,60,13,343363,572810
8192,2,8192,4294886212,50,11,344413,580003
8192,2,8192,4294953367,75,16,531117,744238
16384,2,16384,4294182165,50,11,779325,1173608
16384,2,16384,4294452433,50,11,570620,991316
16384,2,16384,4294552368,75,16,643436,1068679
16384,2,16384,4294649848,35,8,381199,773104
16384,2,16384,4294718970,50,11,486236,883463
