n,k,i,p,m,r,t,T
1024,32,512,1983168691,2170,15,88880245,88927484
1024,32,512,2099144339,2170,15,113270424,113316213
1024,32,512,2160742910,2015,14,89372401,89418087
1024,32,512,2179804169,2325,16,121228416,121275165
1024,32,512,2183830936,1550,11,107428854,107475729
1024,32,512,2196904034,2635,18,98386639,98439695
1024,32,512,2199444864,1550,11,96206661,96258871
1024,32,512,2223737717,1705,12,101358845,101461299
1024,32,512,2255684864,2790,19,110055476,110106653
1024,32,512,2302389574,1550,11,103613944,103667312
2048,32,1024,2104198609,2480,17,125814882,125863100
2048,32,1024,2121884010,2635,18,93383143,93436201
2048,32,1024,2132384834,2325,16,97073950,97125917
2048,32,1024,2147291589,2945,20,130925250,130973646
2048,32,1024,2161268455,2325,16,94095500,94151785
2048,32,1024,2163811625,1550,11,102973726,103027983
2048,32,1024,2164349172,2015,14,116864686,116911682
2048,32,1024,2168467619,2170,15,97659357,97718786
2048,32,1024,2198874604,2635,18,118931832,118990318
2048,32,1024,2217489697,2790,19,111395383,111449942
4096,32,2048,2105794864,2325,16,96695626,96751868
4096,32,2048,2114251239,1395,10,112082575,112138460
4096,32,2048,2117028532,2945,20,100808678,100862698
4096,32,2048,2117412116,2480,17,106896060,106950396
4096,32,2048,2128192800,2790,19,118928076,118985092
4096,32,2048,2136669091,1550,11,105130148,105179132
4096,32,2048,2162548016,1395,10,105799551,105850560
4096,32,2048,2165678425,1860,13,102106836,102164622
4096,32,2048,2175489770,2635,18,94858873,94914303
4096,32,2048,2179453091,2945,20,120156976,120207183
8192,32,4096,2106535543,2480,17,114380973,114438829
8192,32,4096,2110325462,3565,24,98669636,98721964
8192,32,4096,2121643289,2015,14,106916914,106973881
8192,32,4096,2130988048,2325,16,120652975,120711702
8192,32,4096,2142935449,2170,15,89267898,89329920
8192,32,4096,2151771822,3100,21,117077758,117159275
8192,32,4096,2152071995,3565,24,90072630,90132337
8192,32,4096,2155731274,2170,15,103644201,103696684
8192,32,4096,2164959994,3255,22,117077917,117131791
8192,32,4096,2169920433,2635,18,110119569,110174071
16384,32,8192,2101221618,1860,13,114591161,114651591
16384,32,8192,2125545607,3720,25,91542115,91604424
16384,32,8192,2126104328,2480,17,99266746,99331532
16384,32,8192,2135450210,2790,19,115745733,115804220
16384,32,8192,2136184674,2945,20,92481954,92545751
16384,32,8192,2143407524,2790,19,108854166,108920315
16384,32,8192,2148262306,3410,23,121175123,121235736
16384,32,8192,2148573621,2790,19,103649005,103707663
16384,32,8192,2162216723,2480,17,115068301,115133052
16384,32,8192,2163132910,2325,16,111295938,111361758
32768,32,16384,2121538101,3100,21,114796070,114884657
32768,32,16384,2126220138,3875,26,131563695,131682495
32768,32,16384,2128804069,3100,21,96923738,97012856
32768,32,16384,2136472752,3255,22,122011406,122095770
32768,32,16384,2141531496,3100,21,113069561,113157015
32768,32,16384,2143101100,3720,25,116218168,116300509
32768,32,16384,2152915354,2480,17,101618513,101705576
32768,32,16384,2153350703,1705,12,102587191,102668346
32768,32,16384,2153794969,2945,20,102649345,102730053
32768,32,16384,2161879033,3410,23,103025016,103111283
