n,k,i,p,m,r,t,T
1024,8,1,12034651,315,10,83077982,83174506
1024,8,1,1605310,245,8,80771994,80821868
1024,8,1,1707982,210,7,55498202,55555870
1024,8,1,18115,280,9,69826298,69883873
1024,8,1,1942923,175,6,61002736,61058117
1024,8,1,2772884,315,10,53031449,53095508
1024,8,1,3672912,245,8,70096171,70146934
1024,8,1,4046289,175,6,62258632,62307545
1024,8,1,7804682,350,11,63268768,63391174
1024,8,1,8976042,315,10,56372600,56429787
2048,8,1,1085656,175,6,52130640,52189412
2048,8,1,1396478,315,10,59782682,59842691
2048,8,1,142172,315,10,56544379,56599351
2048,8,1,1721345,385,12,77518197,77575882
2048,8,1,1774540,280,9,82769764,82829931
2048,8,1,296832,350,11,78814042,78864772
2048,8,1,3011346,280,9,74521609,74582159
2048,8,1,3240099,350,11,57349044,57452989
2048,8,1,365443,210,7,73429491,73490297
2048,8,1,947138,245,8,57958208,58018686
4096,8,1,1228883,385,12,69553634,69619339
4096,8,1,1423029,280,9,62522277,62587046
4096,8,1,1491230,245,8,92176587,92233525
4096,8,1,235076,315,10,62114398,62211767
4096,8,1,2351353,385,12,81005670,81095764
4096,8,1,410222,350,11,79043362,79131152
4096,8,1,48957,140,5,59357742,59423178
4096,8,1,52854,245,8,70296429,70358887
4096,8,1,73457,315,10,59466205,59531406
4096,8,1,741981,175,6,52110610,52178008
8192,8,1,110004,210,7,63443505,63529742
8192,8,1,117180,315,10,80598318,80683888
8192,8,1,1288741,350,11,66058971,66147957
8192,8,1,139065,385,12,88409010,88491277
8192,8,1,180460,280,9,57828094,57908441
8192,8,1,201554,245,8,55763128,55851511
8192,8,1,494907,455,14,52348987,52436012
8192,8,1,606503,175,6,72090666,72177009
8192,8,1,718075,315,10,51906644,52056253
8192,8,1,76273,245,8,59414650,59499328
16384,8,1,13765,490,15,53257350,53388245
16384,8,1,165654,385,12,56696794,56824393
16384,8,1,235718,350,11,65727239,65856066
16384,8,1,296485,245,8,57037370,57162158
16384,8,1,299255,735,22,79458349,79607070
16384,8,1,462575,245,8,78789437,78919030
16384,8,1,50502,350,11,82843608,82972012
16384,8,1,507893,280,9,58530432,58662759
16384,8,1,524084,350,11,57344217,57542871
16384,8,1,532562,315,10,61951668,62205833
32768,8,1,102711,455,14,65944145,66236768
32768,8,1,11416,490,15,54709132,54926113
32768,8,1,158675,385,12,84664293,84876051
32768,8,1,162275,700,21,84045406,84282309
32768,8,1,211117,630,19,60110377,60327761
32768,8,1,353838,455,14,64896261,65106653
32768,8,1,44446,420,13,69051782,69268186
32768,8,1,578474,385,12,74030489,74240180
32768,8,1,64875,420,13,62651741,62869361
32768,8,1,707519,245,8,55690785,55909220
65536,8,1,114959,420,13,59838493,60230947
65536,8,1,122085,280,9,74697061,75096014
65536,8,1,217527,595,18,58031145,58429715
65536,8,1,21885,490,15,62051279,62463123
65536,8,1,242465,315,10,63377740,63771718
65536,8,1,41344,385,12,87045186,87446720
65536,8,1,47126,385,12,58100009,58502409
65536,8,1,62006,490,15,53473037,53877203
65536,8,1,81997,420,13,59879015,60296046
65536,8,1,85921,350,11,67257179,67661962
131072,8,1,10037,280,9,85644508,86382946
131072,8,1,11032,385,12,65713366,66460806
131072,8,1,1105,490,15,70895876,71639906
131072,8,1,11686,315,10,59996922,60742981
131072,8,1,15910,560,17,74584414,75315670
131072,8,1,182045,385,12,59332163,60111095
131072,8,1,2252,350,11,101000611,101738792
131072,8,1,4628,350,11,95250250,95995343
131072,8,1,66579,420,13,71999013,72724004
131072,8,1,7959,385,12,60975540,61709984
262144,8,1,1078,490,15,74223410,75691357
262144,8,1,17850,315,10,72589696,74037087
262144,8,1,21332,385,12,76265380,77702409
262144,8,1,3249,560,17,62984804,64425240
262144,8,1,40856,350,11,83483804,85000219
262144,8,1,46,385,12,60162303,61601176
262144,8,1,48572,525,16,87465722,88905870
262144,8,1,6113,420,13,60779172,62247716
262144,8,1,6431,630,19,64745751,66186064
262144,8,1,8365,385,12,63815354,65253963
524288,8,1,10395,280,9,67720139,70678578
524288,8,1,16951,490,15,91176550,94016301
524288,8,1,2546,560,17,59871290,62695148
524288,8,1,26,595,18,61955261,64757798
524288,8,1,3413,595,18,83366313,86201818
524288,8,1,3471,560,17,82797628,85633398
524288,8,1,3530,595,18,60445312,63306583
524288,8,1,387,700,21,87945840,90769840
524288,8,1,5077,665,20,56821110,59661076
524288,8,1,7304,420,13,62750883,65675607
1048576,8,1,1766,455,14,66093082,71683455
1048576,8,1,1853,455,14,65444872,71037116
1048576,8,1,284,455,14,110518376,116196831
1048576,8,1,308,560,17,90785393,96413985
1048576,8,1,338,490,15,60103244,65699040
1048576,8,1,3961,525,16,98115684,103817258
1048576,8,1,4284,560,17,59921988,65533712
1048576,8,1,4608,525,16,70376599,75928320
1048576,8,1,6188,455,14,73765484,79350770
1048576,8,1,7021,350,11,66036486,71648241
2097152,8,1,1008,665,20,70836717,81813894
2097152,8,1,1060,700,21,78101115,89171634
2097152,8,1,1399,420,13,73164883,84875892
2097152,8,1,1404,630,19,82690089,93798199
2097152,8,1,1716,560,17,66233778,77211702
2097152,8,1,1749,490,15,68088006,79477973
2097152,8,1,1962,630,19,76093284,87169332
2097152,8,1,336,420,13,58701953,69623103
2097152,8,1,4495,490,15,83880695,94764881
2097152,8,1,759,490,15,65922974,76983118
4194304,8,1,1401,490,15,80606943,103253514
4194304,8,1,1838,665,20,85924372,109112606
4194304,8,1,190,560,17,73505000,96941069
4194304,8,1,272,665,20,86643144,109273375
4194304,8,1,2736,490,15,104970726,127785867
4194304,8,1,47,385,12,77711309,100266463
4194304,8,1,49,805,24,81492520,104882418
4194304,8,1,56,665,20,101444604,124097792
4194304,8,1,689,840,25,89582112,112089008
4194304,8,1,877,210,7,82979564,105639177
8388608,8,1,1015,560,17,102434450,147263041
8388608,8,1,1977,350,11,97207157,141543141
8388608,8,1,264,490,15,107402487,152145510
8388608,8,1,497,385,12,102110800,146770742
8388608,8,1,529,455,14,106341286,150548964
8388608,8,1,545,735,22,99566376,143846726
8388608,8,1,62,490,15,100467604,144830272
8388608,8,1,709,280,9,114831947,159211948
8388608,8,1,72,630,19,122937965,167365943
8388608,8,1,969,700,21,126063921,171069213
16777216,8,1,102,525,16,106216875,194796630
16777216,8,1,14,385,12,123905022,211687791
16777216,8,1,180,700,21,150742033,238892414
16777216,8,1,184,665,20,156794824,244815739
16777216,8,1,258,630,19,152204638,239792418
16777216,8,1,28,455,14,145175594,233044665
16777216,8,1,28,490,15,126573436,214960482
16777216,8,1,525,455,14,121676665,211118468
16777216,8,1,533,560,17,129315664,218283370
16777216,8,1,919,665,20,127558940,215463459
33554432,8,1,118,490,15,242762388,417207275
33554432,8,1,120,630,19,202833211,377960642
33554432,8,1,187,560,17,149768764,325596468
33554432,8,1,3,525,16,202551286,376897301
33554432,8,1,46,735,22,168346404,344400852
33554432,8,1,507,595,18,191031959,366471643
33554432,8,1,631,980,29,271380518,445176670
33554432,8,1,64,595,18,159700301,335325554
33554432,8,1,67,490,15,230511419,405902952
33554432,8,1,75,630,19,153566916,328096560
67108864,8,1,120,525,16,206666999,554691449
67108864,8,1,13,980,29,390482124,739663087
67108864,8,1,156,560,17,321539477,669022094
67108864,8,1,24,700,21,275736457,624465461
67108864,8,1,4,385,12,301833857,649492992
67108864,8,1,4,735,22,347709883,696765200
67108864,8,1,49,770,23,341228723,687410467
67108864,8,1,49,805,24,353769461,700648045
67108864,8,1,69,735,22,342803750,691048176
67108864,8,1,89,630,19,214292566,564807916
134217728,8,1,10,770,23,518810406,1214310214
134217728,8,1,12,630,19,647919560,1343217599
134217728,8,1,26,805,24,639952603,1333795999
134217728,8,1,35,525,16,667215645,1363525477
134217728,8,1,37,910,27,957250823,1651064794
134217728,8,1,41,805,24,976501102,1671797707
134217728,8,1,5,420,13,531609669,1228065956
134217728,8,1,54,840,25,931866672,1623700283
134217728,8,1,6,560,17,340730983,1034297230
134217728,8,1,84,805,24,696852625,1392459719
268435456,8,1,13,700,21,1346501913,2728211842
268435456,8,1,20,665,20,945371043,2343495043
268435456,8,1,27,595,18,712990594,2105059061
268435456,8,1,37,875,26,1450204225,2847627917
268435456,8,1,48,665,20,914465768,2302171719
268435456,8,1,51,840,25,1272321266,2656834626
