n,k,u,m,r,t
1024,1,4283410003,0,1,170367296
1024,1,4284101878,0,1,162291496
1024,1,4285353166,0,1,141526572
1024,1,4287501974,0,1,158529979
1024,1,4287705252,0,1,157759109
1024,1,4290009091,0,1,142683095
1024,1,4291083558,0,1,174068389
1024,1,4293230163,0,1,158459595
1024,1,4294629515,0,1,143333373
1024,1,4294632670,0,1,161194195
2048,1,4288487147,0,1,154998424
2048,1,4292009817,0,1,144754261
2048,1,4293164253,0,1,159951910
2048,1,4293194128,0,1,164936088
2048,1,4293248894,0,1,148517513
2048,1,4293700418,0,1,159204194
2048,1,4294249448,0,1,146597793
2048,1,4294524300,0,1,161209399
2048,1,4294529917,0,1,148517696
2048,1,4294919340,0,1,148242130
4096,1,4293899029,0,1,144865333
4096,1,4294253572,0,1,147934967
4096,1,4294436283,0,1,145767943
4096,1,4294544946,0,1,153935760
4096,1,4294589763,0,1,164309688
4096,1,4294707891,0,1,125684331
4096,1,4294761995,0,1,145591065
4096,1,4294813578,0,1,151039123
4096,1,4294854575,0,1,150200297
4096,1,4294958211,0,1,164391049
8192,1,4294215841,0,1,158406481
8192,1,4294452298,0,1,122873661
8192,1,4294486177,0,1,146160997
8192,1,4294496094,0,1,146816303
8192,1,4294589744,0,1,154217568
8192,1,4294615452,0,1,162077922
8192,1,4294766911,0,1,156940569
8192,1,4294838479,0,1,149157240
8192,1,4294904774,0,1,158235140
8192,1,4294941432,0,1,148470714
16384,1,4294310972,0,1,174389674
16384,1,4294490743,0,1,163194647
16384,1,4294581442,0,1,152832452
16384,1,4294686279,0,1,154027202
16384,1,4294815686,0,1,146923737
16384,1,4294851898,0,1,136485744
16384,1,4294875433,0,1,144213201
16384,1,4294904174,0,1,151542591
16384,1,4294933883,0,1,121310057
16384,1,4294941844,0,1,162240192
32768,1,4294649687,0,1,158062815
32768,1,4294802404,0,1,164343804
32768,1,4294836185,0,1,162842546
32768,1,4294862844,0,1,150689839
32768,1,4294878959,0,1,150893313
32768,1,4294881605,0,1,168523933
32768,1,4294906866,0,1,157516513
32768,1,4294942064,0,1,158696901
32768,1,4294957686,0,1,148735088
32768,1,4294961382,0,1,163638514
65536,1,4294819928,0,1,164118268
65536,1,4294844587,0,1,159281553
65536,1,4294857332,0,1,158472435
65536,1,4294885372,0,1,155387471
65536,1,4294899984,0,1,155738289
65536,1,4294920712,0,1,136224038
65536,1,4294946180,0,1,163193623
65536,1,4294946520,0,1,170246793
65536,1,4294954414,0,1,167305480
65536,1,4294965968,0,1,155386280
131072,1,4294905947,0,1,147283552
131072,1,4294907973,0,1,179118789
131072,1,4294914035,0,1,177450803
131072,1,4294934617,0,1,148526403
131072,1,4294938892,0,1,132305212
131072,1,4294951228,0,1,147629962
131072,1,4294960966,0,1,171050780
131072,1,4294961753,0,1,156704700
131072,1,4294964326,0,1,164806524
131072,1,4294966523,0,1,158585047
262144,1,4294918805,0,1,162964602
262144,1,4294936228,0,1,149622765
262144,1,4294943874,0,1,171393464
262144,1,4294944028,0,1,157133301
262144,1,4294950568,0,1,200274665
262144,1,4294950704,0,1,161996994
262144,1,4294952416,0,1,170804611
262144,1,4294953331,0,1,172425979
262144,1,4294954006,0,1,154133965
262144,1,4294960954,0,1,166454332
524288,1,4294944680,0,1,182282912
524288,1,4294950313,0,1,170437853
524288,1,4294952297,0,1,182833168
524288,1,4294959023,0,1,179646802
524288,1,4294959120,0,1,176789579
524288,1,4294962645,0,1,231684342
524288,1,4294965404,0,1,191267794
524288,1,4294965915,0,1,172960106
524288,1,4294966202,0,1,164297986
524288,1,4294966353,0,1,161069740
1048576,1,4294960559,0,1,198997636
1048576,1,4294962739,0,1,208871904
1048576,1,4294963427,0,1,197065748
1048576,1,4294963747,0,1,235692330
1048576,1,4294964254,0,1,200244336
1048576,1,4294964903,0,1,301402928
1048576,1,4294965144,0,1,192794302
1048576,1,4294965601,0,1,292034222
1048576,1,4294966763,0,1,192454655
1048576,1,4294967181,0,1,203844489
2097152,1,4294963174,0,1,364867544
2097152,1,4294963306,0,1,231292146
2097152,1,4294963561,0,1,375863074
2097152,1,4294963644,0,1,236075090
2097152,1,4294964802,0,1,235407289
2097152,1,4294966571,0,1,242582782
2097152,1,4294966653,0,1,274332523
2097152,1,4294967012,0,1,225837442
2097152,1,4294967066,0,1,249167265
2097152,1,4294967210,0,1,227860829
4194304,1,4294964238,0,1,335062611
4194304,1,4294965016,0,1,339577072
4194304,1,4294965038,0,1,338633593
4194304,1,4294965970,0,1,415955137
4194304,1,4294966497,0,1,568585181
4194304,1,4294966831,0,1,350672910
4194304,1,4294966917,0,1,375759344
4194304,1,4294967084,0,1,342572703
4194304,1,4294967173,0,1,392115930
4194304,1,4294967210,0,1,555443664
8388608,1,4294966406,0,1,711656937
8388608,1,4294966619,0,1,903387220
8388608,1,4294966682,0,1,623142472
8388608,1,4294966885,0,1,571191891
8388608,1,4294966889,0,1,515588000
8388608,1,4294966891,0,1,547863121
8388608,1,4294967031,0,1,646917325
8388608,1,4294967040,0,1,591660480
8388608,1,4294967048,0,1,499210715
8388608,1,4294967067,0,1,502443175
16777216,1,4294966552,0,1,947507774
16777216,1,4294966569,0,1,850004090
16777216,1,4294966674,0,1,895590050
16777216,1,4294966966,0,1,910560598
16777216,1,4294967026,0,1,866021649
16777216,1,4294967044,0,1,1599920637
16777216,1,4294967067,0,1,899730368
16777216,1,4294967220,0,1,955546946
16777216,1,4294967268,0,1,1575694731
16777216,1,4294967285,0,1,1600445886
33554432,1,4294966702,0,1,1940494680
33554432,1,4294967069,0,1,2227551180
33554432,1,4294967118,0,1,1929282573
33554432,1,4294967122,0,1,2955938475
33554432,1,4294967200,0,1,2001656730
33554432,1,4294967209,0,1,1615457650
33554432,1,4294967210,0,1,2743436507
33554432,1,4294967221,0,1,2288078254
33554432,1,4294967272,0,1,1547717903
33554432,1,4294967277,0,1,2547770138
67108864,1,4294966934,0,1,4385646728
67108864,1,4294967117,0,1,2928605707
67108864,1,4294967128,0,1,4719693352
67108864,1,4294967220,0,1,5740059609
67108864,1,4294967222,0,1,5763684815
67108864,1,4294967258,0,1,4948021884
67108864,1,4294967275,0,1,4984357235
67108864,1,4294967287,0,1,3183784392
67108864,1,4294967289,0,1,5092597776
67108864,1,4294967295,0,1,4239698289
134217728,1,4294967156,0,1,10455960710
134217728,1,4294967200,0,1,10516053124
134217728,1,4294967268,0,1,9831605555
134217728,1,4294967273,0,1,5693120178
134217728,1,4294967274,0,1,10443803055
134217728,1,4294967285,0,1,10128353817
134217728,1,4294967285,0,1,10431454943
134217728,1,4294967286,0,1,10576314564
134217728,1,4294967287,0,1,6423416258
134217728,1,4294967288,0,1,10504173765
268435456,1,4294967249,0,1,21628576621
268435456,1,4294967264,0,1,21603939475
268435456,1,4294967271,0,1,18164563458
268435456,1,4294967271,0,1,21627512203
268435456,1,4294967281,0,1,20625191880
268435456,1,4294967285,0,1,11283888690
268435456,1,4294967288,0,1,18763867454
268435456,1,4294967290,0,1,19540268501
268435456,1,4294967294,0,1,21579771093
268435456,1,4294967295,0,1,15068201420
