n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
1024,16,4285500674,15,1,213346281,224496217,207024260,218408261,218149600,224866421,221599308,214474548,221688155,230658332,233864762,218784242,227844211,217871345,223796322,237032433,237032433
1024,16,4287231033,15,1,207178122,210336125,203320988,207071101,212835702,205959686,201875167,198984665,209010231,217162858,206316178,198536195,215869588,200465650,207231243,215256186,217162858
1024,16,4287553637,15,1,209853659,202628398,215405793,210231230,212609126,208509032,217192971,205746936,222987449,216527642,209276525,207413586,221642159,217377546,213657636,208290465,222987449
1024,16,4288792780,15,1,248163442,244611899,238684789,242641248,246046064,240786515,233592235,226907868,238395377,234379971,246290858,252256079,222730693,239264049,215594429,231685987,252256079
1024,16,4289699543,15,1,193740160,196716516,201493656,189508786,204071404,192069965,201973270,197427215,201929848,196666589,193914867,209782312,210991040,203132783,197343583,194587901,210991040
1024,16,4291902327,15,1,250479279,249770826,246839613,252840993,241939515,246202445,234045708,257878701,231900290,236883631,248487899,252207164,247264157,236218992,229426800,240267498,257878701
1024,16,4291957983,15,1,201433146,197300794,196338471,190585944,196486205,202342566,191790482,200767055,200369582,202586428,195654491,191790061,200127257,187968976,181511949,211011181,211011181
1024,16,4292239610,15,1,194174680,200381318,188658458,192300674,205398608,202773118,201824728,196461401,194492208,203281826,209670232,205589275,194186933,197851522,199327577,214264006,214264006
1024,16,4292448096,15,1,234061642,231064262,229115093,222719523,220252911,226087921,214364889,235152151,230458624,235174803,238415475,224537426,238764068,233814578,223093667,229321313,238764068
1024,16,4293846720,15,1,196590965,201148766,192768182,190014193,194221662,207515750,188019495,200662104,211862230,198390476,193458215,207022977,204690455,199270099,190523561,193725491,211862230
2048,16,4291865315,15,1,243693733,240692391,235694837,232540105,243576760,233650066,238474622,230586680,243038475,227327355,233887522,218874799,228376675,218474324,236410933,210427752,243693733
2048,16,4292663013,15,1,222335395,217374385,213794254,214271376,221650015,218646561,210029096,211564142,210499731,204927836,230811134,225423422,220371717,216997383,219224297,224011567,230811134
2048,16,4293384498,15,1,235039775,232447921,238281664,229127002,233689707,230178276,228268961,239791931,230073631,239917019,223373355,234618553,240028572,233592566,230415330,247856599,247856599
2048,16,4293492027,15,1,201078929,196388405,210133695,199888277,204484627,196480123,208836124,201309075,211213049,203011903,195156661,220111106,215091259,199216508,209516824,203189133,220111106
2048,16,4293744974,15,1,218819880,204775261,212146293,226404910,212190651,222425932,236990327,219245835,223017109,233688811,235884065,229786456,477910137,475916478,473758368,485156152,485156152
2048,16,4293922448,15,1,187349145,184854164,198601343,203167189,209559040,211632720,203435584,209761116,212613359,196820126,204517617,217735451,240830298,232456763,242613236,247715133,247715133
2048,16,4293972128,15,1,205524893,208156403,213432251,200970357,204333379,212586493,201227679,208106556,209571052,200682750,207318570,196072715,211999954,201482276,219146956,208236207,219146956
2048,16,4294067202,15,1,220677934,224958847,213751151,217474720,221108558,215143246,218950980,226310028,228114877,220158591,214537719,205911281,245346051,239085110,233591940,227537684,245346051
2048,16,4294332486,15,1,236056875,245782274,241383793,239683429,241692402,249946933,246221062,252895696,262612728,243948789,256611282,250653434,254497698,230932772,238143761,247200627,262612728
