n,k,u,m,r,t0,t1,t
1024,2,4273339323,1,1,153334877,155232440,155232440
1024,2,4286975777,1,1,163053511,159272453,163053511
1024,2,4287370828,1,1,207317480,215645121,215645121
1024,2,4288810539,1,1,212068226,205421438,212068226
1024,2,4288998300,1,1,212093790,205892681,212093790
1024,2,4291298158,1,1,151366048,163895616,163895616
1024,2,4292230987,1,1,171245185,165080989,171245185
1024,2,4293329703,1,1,200079505,194585795,200079505
1024,2,4293976334,1,1,157578248,155121739,157578248
1024,2,4294774529,1,1,224475906,217777384,224475906
2048,2,4287172479,1,1,212172906,205545187,212172906
2048,2,4289908519,1,1,153102998,158267528,158267528
2048,2,4291731704,1,1,199821995,194943038,199821995
2048,2,4291896629,1,1,211645989,206509378,211645989
2048,2,4292283654,1,1,212716499,206981332,212716499
2048,2,4292633769,1,1,155728575,159078465,159078465
2048,2,4292933209,1,1,160265040,164127078,164127078
2048,2,4293751861,1,1,166218024,157793776,166218024
2048,2,4293999545,1,1,166279278,171107736,171107736
2048,2,4294443854,1,1,164165441,173255910,173255910
4096,2,4292183642,1,1,187495785,182571385,187495785
4096,2,4292342114,1,1,146747014,154076947,154076947
4096,2,4293604025,1,1,165167136,157194139,165167136
4096,2,4293681866,1,1,155171177,160091063,160091063
4096,2,4293786180,1,1,162972069,170683879,170683879
4096,2,4294245453,1,1,212272248,206458357,212272248
4096,2,4294489150,1,1,212293470,204691248,212293470
4096,2,4294643359,1,1,149125185,155532150,155532150
4096,2,4294788988,1,1,145320111,155892314,155892314
4096,2,4294875541,1,1,212148830,206646059,212148830
8192,2,4293900567,1,1,155135554,149672170,155135554
8192,2,4294134614,1,1,171176281,167987609,171176281
8192,2,4294257819,1,1,153508999,167692378,167692378
8192,2,4294375015,1,1,207255500,216753770,216753770
8192,2,4294428620,1,1,169041131,173688516,173688516
8192,2,4294648713,1,1,166970166,163569347,166970166
8192,2,4294761179,1,1,170096260,165972951,170096260
8192,2,4294812911,1,1,223918138,216881181,223918138
8192,2,4294859649,1,1,203081423,219376399,219376399
8192,2,4294887792,1,1,166890867,161375719,166890867
16384,2,4294245989,1,1,159743008,149126559,159743008
16384,2,4294266672,1,1,206122101,219424622,219424622
16384,2,4294297379,1,1,148220534,160476699,160476699
16384,2,4294710348,1,1,156888958,152347671,156888958
16384,2,4294779410,1,1,147689020,149364784,149364784
16384,2,4294829550,1,1,156650039,160858740,160858740
16384,2,4294832667,1,1,215707572,215801037,215801037
16384,2,4294848828,1,1,157560784,162963456,162963456
16384,2,4294929149,1,1,159744310,154193484,159744310
16384,2,4294945003,1,1,147555323,153709395,153709395
32768,2,4294649908,1,1,159453976,172532152,172532152
32768,2,4294757271,1,1,155434234,152001694,155434234
32768,2,4294762094,1,1,155732671,159493636,159493636
32768,2,4294817054,1,1,161068183,165068826,165068826
32768,2,4294822650,1,1,211433281,219889997,219889997
32768,2,4294857024,1,1,160687455,159147199,160687455
32768,2,4294908734,1,1,158416950,165887358,165887358
32768,2,4294915407,1,1,175248606,173490466,175248606
32768,2,4294920212,1,1,171851111,176070188,176070188
32768,2,4294956912,1,1,176270619,169538892,176270619
65536,2,4294835271,1,1,169297051,176852589,176852589
65536,2,4294852804,1,1,158315705,163095484,163095484
65536,2,4294891785,1,1,153462853,153406484,153462853
65536,2,4294891851,1,1,161289422,169956941,169956941
65536,2,4294907726,1,1,165197467,162228314,165197467
65536,2,4294924707,1,1,153855965,146345242,153855965
65536,2,4294953770,1,1,165712858,159632115,165712858
65536,2,4294963382,1,1,171523989,163927661,171523989
65536,2,4294966378,1,1,172143083,178698551,178698551
65536,2,4294966609,1,1,174332680,168917061,174332680
131072,2,4294898860,1,1,151532052,158040709,158040709
131072,2,4294910679,1,1,185993161,207597116,207597116
131072,2,4294912160,1,1,158816383,152322381,158816383
131072,2,4294919643,1,1,163546101,167416145,167416145
131072,2,4294926225,1,1,186260941,191463905,191463905
131072,2,4294933754,1,1,149259347,156373680,156373680
131072,2,4294951535,1,1,156273602,164921935,164921935
131072,2,4294956049,1,1,163967563,158700307,163967563
131072,2,4294957666,1,1,165054876,169461764,169461764
131072,2,4294966301,1,1,157733097,166113947,166113947
262144,2,4294936971,1,1,177635933,179521592,179521592
262144,2,4294938066,1,1,160777896,168603647,168603647
262144,2,4294951289,1,1,161072253,153400551,161072253
262144,2,4294953769,1,1,161120293,159692009,161120293
262144,2,4294956858,1,1,164737489,168718837,168718837
262144,2,4294960389,1,1,229827940,256400079,256400079
262144,2,4294961447,1,1,167435733,164904061,167435733
262144,2,4294963100,1,1,152407794,150779945,152407794
262144,2,4294965015,1,1,233643549,212006560,233643549
262144,2,4294967148,1,1,165693917,160011465,165693917
524288,2,4294946275,1,1,165036564,164445943,165036564
524288,2,4294948750,1,1,168742421,166510959,168742421
524288,2,4294951561,1,1,175985642,172120729,175985642
524288,2,4294959151,1,1,162290593,166914113,166914113
524288,2,4294960684,1,1,179168399,175766406,179168399
524288,2,4294961198,1,1,172199850,167853092,172199850
