n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
1024,32,4275321993,31,1,204032455,208351680,209502216,241937466,246572398,250064438,246195815,241282004,241241059,236956714,247633138,243330535,250852853,244768666,240834454,235413395,232902944,239482794,220402384,232394944,242874767,226897190,238242216,248369478,244747749,248538777,252894156,237846741,236724821,239718727,230916420,247014345,252894156
1024,32,4283899220,31,1,213776099,208729374,212254956,208832521,203921449,197820080,213153810,209165525,205819352,245111077,244054234,240394212,240062413,246222831,244746107,241766469,243119642,241067858,240334287,240624588,234893852,232248135,234819638,242848892,247260356,238843151,244161658,232494702,242808576,232565950,228395663,241733420,247260356
1024,32,4288062773,31,1,198614467,193717545,198448071,202162780,198358591,202206555,195780646,206275039,199345393,208666802,197304250,196368411,233881526,232482847,228946427,228673752,233306141,223442290,230289560,222755891,215896096,229607779,220434782,223923365,232732676,235881454,222386654,234844746,242128999,235465610,240064011,251000454,251000454
1024,32,4288130534,31,1,190796841,188370800,185591435,190911167,197285097,187726267,193738359,192927031,189569763,223428461,220361811,220078562,231483131,224790535,232892866,227309116,230010505,224820144,227179209,229977018,220336471,209181432,214061700,216487662,227037218,228501500,220825304,218442789,228873530,215727159,231717939,236311743,236311743
1024,32,4288435004,31,1,241206166,238284309,235892335,233154135,242017616,238816131,236373174,235506845,228577308,227473064,233481045,221879750,238337532,232877204,235894029,241450782,240877349,225981928,235992003,232208153,234690881,229339973,242660599,246562404,227600281,221316052,239834690,233755714,226794136,234034987,241898071,221525532,246562404
1024,32,4292702122,31,1,203905471,199782984,200338924,212444171,207052976,211323210,196118415,200397154,201634335,203989632,198801806,210335853,197658270,202572816,210026865,244049548,226461581,221192834,223152175,228882862,233310031,239305264,239317716,235523518,242716023,233770815,229249124,211980215,234295242,237787007,242158869,292045527,292045527
1024,32,4293296334,31,1,225378624,222075480,220428921,217278596,225234187,225948356,213294617,222390643,221251863,218904556,217597520,217279016,218956167,214965724,206638307,211983737,219855699,225803127,217130906,217163361,212743071,222972571,209444278,205422875,223785444,208329160,214631451,221631609,224602326,217982001,212962564,232827194,232827194
1024,32,4294357436,31,1,219142529,216676125,213938325,225382493,222023023,218751640,215484060,214111857,206486619,217932970,211197810,212504415,214416019,227496173,219469143,224446416,214748099,218106604,221591518,211589234,206860119,218733394,209197100,225657361,226563449,215190040,223412507,211759718,227807576,233019918,221137016,216187087,233019918
1024,32,4294368916,31,1,238340324,238919192,239722123,247371143,244677657,241921271,232175628,241697121,237511176,224665611,245310422,242452376,241721895,249255434,245126728,236500994,231209544,218103711,245743127,238565855,240346173,226148171,231907995,222666919,239347254,234323474,225146206,231968362,220749349,226726635,233590379,243217999,249255434
1024,32,4294596775,31,1,204018170,201584421,199557613,204182860,242332194,241010280,238125170,239888055,246293701,236911830,244576506,240101113,237878614,248283708,232203088,242673351,228758191,224821263,239591448,235697160,228970014,240527425,236082881,232674662,239150088,231423093,215463881,224605371,239913607,234900747,256205729,251841380,256205729
2048,32,4290251521,31,1,191000532,191193996,187909717,197954738,193453341,197312666,183616717,193562364,191528685,185900810,191423259,203990602,201792745,193701530,201057138,208605124,231252373,222162064,214429274,230191507,218432159,223106242,234933585,231798274,229376486,226324934,225307922,218077376,221763605,214055779,232167091,237832418,237832418
2048,32,4292031920,31,1,217607667,227065849,223909894,221506976,221992883,217766093,215007493,211815563,218413918,204974872,198196349,211505359,223505643,221845181,217866071,226550790,206002789,213720487,221140368,217138693,216376443,212479858,221857592,215150047,227197619,235975941,219412848,210298499,206822219,224897884,217932978,214431608,235975941
2048,32,4292313669,31,1,200781794,197896843,203501201,200055658,202593524,198673938,198246675,189579163,203360898,211000144,209056734,207051506,220864897,209303834,213821386,242962962,235959496,236675846,237762706,234590794,245874041,244608588,241109944,233540356,247372634,226051347,220749209,230354822,237159495,243949134,243217713,247223869,247372634
2048,32,4292419219,31,1,241870549,236951472,241270501,243981152,228469759,221132292,220244463,245219431,216740645,238401181,242606753,233182113,240257330,238151046,238201304,243225953,238004317,247585010,243886381,233378218,244602891,225978168,248445815,215185139,236089039,236769957,245744076,244471286,231600554,230197457,234545611,225836899,248445815
2048,32,4292841518,31,1,205621246,202540522,200123566,197224330,214738275,218767771,208680406,213156492,210116521,199990849,213013651,209965050,202461121,191147712,196187786,195656999,200689987,202294065,201175600,197625628,187686032,194389454,202831340,201703883,213944407,207503725,231628782,234304767,233495185,246163096,244423613,238769904,246163096
2048,32,4293581529,31,1,231787872,229848955,227045231,235180903,235775896,230162011,233244158,227977059,222348937,227623844,223268425,217323879,223866292,232601350,229875424,228708779,222355964,220755281,233253942,223354928,226791993,232267658,218326603,227428915,220895822,223399030,214719303,207853289,221993045,218579552,228473355,235374200,235775896
2048,32,4293629150,31,1,237395523,234409596,233839279,229789723,239213867,236953264,233199292,232896469,242238200,239189839,223506799,236685173,235017569,233828724,230720199,229311046,230715831,216868707,223927879,207803058,223256280,230449169,226376560,237491597,236262159,231322141,250896565,241507338,228163612,221431602,211898529,202982328,250896565
2048,32,4294062131,31,1,228139681,222184966,230415177,226033455,219376287,224078511,223319171,220212909,215308124,213211871,226939403,219322066,230952742,218508535,228891873,214221734,225087136,212385706,233357268,223183951,240205437,236995572,234888322,232404338,231420997,218189576,237195307,213490894,225307922,228106946,229678977,239054396,240205437
2048,32,4294123527,31,1,243780997,239563794,247065608,243893250,235982001,220503936,213691563,227594260,244046335,239458925,245354973,242273494,239975053,237151216,233993483,236879847,231244442,232641995,226669814,244522699,238058748,233013582,248886143,242326343,227899045,245772973,235413442,243549823,219007260,235483702,226889613,244870181,248886143
2048,32,4294616344,31,1,234977684,231450980,230076816,236313945,243265897,234988613,240957113,214266595,237988843,228187225,246566822,223012727,234469681,240542262,227864820,229231910,222188337,229513770,234411873,226754728,245907494,242799875,237607888,222884822,227101765,235180492,237871721,227174248,236104553,228672480,239954804,253593410,253593410
4096,32,4292549265,31,1,216378160,220356666,223261142,218234389,213473265,209386529,227873429,224835146,222280189,219490126,219924542,225835931,212508451,207942043,219508358,229830988,224482096,221630341,226879748,216085651,211987606,226049973,220685514,216566743,209608187,223087746,215406361,226639437,214530132,211571035,220696577,227026518,229830988
4096,32,4293582115,31,1,229961207,226616697,223813841,227702907,223750250,230187059,226841516,221286874,225953781,221619727,209701382,213775422,201158642,219404385,205642668,199457972,213580763,217762571,214163875,221955150,229967275,224665133,221984763,227439651,209613845,228286451,216369887,214051671,224294774,228285518,220729985,204023820,230187059
4096,32,4293822354,31,1,227220741,219977081,231529627,226093708,237742087,234737564,232157241,229449649,231286735,223288555,220244478,212181232,227667924,208170955,239666395,238683279,236963387,235349175,238148242,243779874,242284923,238381293,226345818,230293277,239247907,231657140,226614843,236393408,243816277,227326536,235743681,252032240,252032240
4096,32,4293967297,31,1,227435466,232929394,230238819,230388210,223768530,230963023,236655220,221408241,235721202,232742771,232216418,228023041,229458787,239221056,238512706,218355536,235294950,230562519,225811488,232068984,241136078,236396689,228245768,229901243,222992954,233986462,230401812,220100222,226595830,231546245,243871235,241166924,243871235
4096,32,4294385648,31,1,218885204,234151502,228756245,231474687,225794811,211923874,223986250,217227749,212868687,219377514,208366720,206435476,223378932,199841428,228259454,224530729,217084699,224395161,214684616,220217797,231834599,229125625,226550265,223893600,225022100,215147040,219591608,237035965,229294988,217630436,212677403,224947061,237035965
