n,k,u,m,r,t0,t1,t2,t3,t
1024,4,4282043441,3,1,171246717,163302317,159204904,176016831,176016831
1024,4,4287481736,3,1,170570840,180961688,172468780,188023942,188023942
1024,4,4287760851,3,1,175269167,181004720,188238013,193340645,193340645
1024,4,4288073878,3,1,183168554,188929214,195796100,181223706,195796100
1024,4,4290034778,3,1,180959691,187743061,176057294,169225723,187743061
1024,4,4290221768,3,1,188866804,178542832,186223737,174061926,188866804
1024,4,4290971922,3,1,191773989,177827821,201576413,188859083,201576413
1024,4,4291678575,3,1,180539716,171425872,189155166,163797566,189155166
1024,4,4292422034,3,1,170629861,176517337,182577237,189058224,189058224
1024,4,4292991519,3,1,167379083,179446060,182832005,176222921,182832005
2048,4,4289803645,3,1,173733182,186275886,178619590,166694446,186275886
2048,4,4291375042,3,1,170227517,163292475,179714390,191286194,191286194
2048,4,4293080578,3,1,163121808,174840191,169313912,161935455,174840191
2048,4,4293164719,3,1,188123355,182035141,196420969,179666024,196420969
2048,4,4294031825,3,1,192859755,199389940,204691657,182877056,204691657
2048,4,4294059875,3,1,183084759,177926844,172450929,168585575,183084759
2048,4,4294368686,3,1,190283155,179129393,183580280,172447357,190283155
2048,4,4294441708,3,1,192810832,180860703,199166856,187578381,199166856
2048,4,4294452496,3,1,178119297,169706684,166350578,180213819,180213819
2048,4,4294494042,3,1,168822120,178139891,181586754,171343352,181586754
4096,4,4293065028,3,1,166139575,179321056,172408615,184062181,184062181
4096,4,4293339184,3,1,211444900,197819956,203037505,206651145,211444900
4096,4,4293433854,3,1,185290597,182320982,174963039,171137075,185290597
4096,4,4293844808,3,1,180277383,190433732,176381257,170433703,190433732
4096,4,4294092302,3,1,169575749,181948291,188216602,176868017,188216602
4096,4,4294179794,3,1,176861199,165584885,183798624,171858978,183798624
4096,4,4294342606,3,1,184410135,192255046,183587550,198349575,198349575
4096,4,4294731343,3,1,170888574,178687573,162656363,187219367,187219367
4096,4,4294763723,3,1,172282795,190664743,182180275,183733596,190664743
4096,4,4294927160,3,1,169138181,178195505,183702401,166672104,183702401
8192,4,4293556967,3,1,195641951,209759085,204279770,194017292,209759085
8192,4,4293768426,3,1,206376241,194957373,189237807,201986045,206376241
8192,4,4294096827,3,1,193845984,185521253,180695569,174001962,193845984
8192,4,4294136818,3,1,174786479,185294575,179443602,167759440,185294575
8192,4,4294403522,3,1,175130723,179351507,168401686,163952361,179351507
8192,4,4294615935,3,1,171517387,178917859,192303730,188751707,192303730
8192,4,4294791254,3,1,185807947,204973427,198184939,192844859,204973427
8192,4,4294848536,3,1,183262698,175022206,166787941,178642231,183262698
8192,4,4294900621,3,1,186725371,192159187,180275567,173927250,192159187
8192,4,4294955804,3,1,182669630,194160638,188830009,177312356,194160638
16384,4,4293879590,3,1,177087377,169654081,159311790,166743353,177087377
16384,4,4294031864,3,1,181448343,169877832,181283960,167477014,181448343
16384,4,4294496424,3,1,195494608,213468699,206707865,206390363,213468699
16384,4,4294513140,3,1,187177529,193617355,202642362,184117211,202642362
16384,4,4294788108,3,1,167892162,174367863,165194709,181195473,181195473
16384,4,4294808815,3,1,189977221,195816808,207878335,201559076,207878335
16384,4,4294843933,3,1,193695709,203450584,183075250,191184945,203450584
16384,4,4294861697,3,1,189253678,195254591,183536030,178083730,195254591
16384,4,4294862677,3,1,168411880,172971634,166046409,156997118,172971634
16384,4,4294890946,3,1,190199240,171205249,183998578,181222847,190199240
32768,4,4294654595,3,1,167326045,173597188,180595856,162582489,180595856
32768,4,4294794659,3,1,181787617,197430453,192421855,187570425,197430453
32768,4,4294795410,3,1,181783434,170297234,188001434,178938311,188001434
32768,4,4294820783,3,1,193953288,198676701,206225879,211053885,211053885
32768,4,4294832008,3,1,185588798,200791571,205110544,194607323,205110544
32768,4,4294843122,3,1,172072207,181626869,173809778,185484875,185484875
32768,4,4294843753,3,1,173397182,182615672,166926872,191377693,191377693
32768,4,4294937571,3,1,193191564,205372103,189078189,200870880,205372103
32768,4,4294940620,3,1,186990518,198055386,178296861,184510960,198055386
32768,4,4294941568,3,1,195387126,203136338,184927198,191863812,203136338
65536,4,4294795639,3,1,176383593,180509731,171003228,164249789,180509731
65536,4,4294846640,3,1,220202452,208920381,215968721,204409902,220202452
65536,4,4294848323,3,1,182751472,190031947,195005350,178493408,195005350
65536,4,4294904027,3,1,181452819,173253702,187199788,168677852,187199788
65536,4,4294911708,3,1,207258689,203846223,199783337,193908486,207258689
65536,4,4294921247,3,1,183574465,171834593,179466969,194044325,194044325
65536,4,4294922467,3,1,195634336,179491927,189672553,186140280,195634336
65536,4,4294941410,3,1,175842184,168284055,180299082,188434710,188434710
65536,4,4294942882,3,1,199415607,193095564,181838191,188830669,199415607
65536,4,4294964765,3,1,181840185,170596365,176413819,190847289,190847289
131072,4,4294918121,3,1,197251218,203442340,192295841,210922459,210922459
131072,4,4294928431,3,1,196706779,181044387,190194436,192859381,196706779
131072,4,4294931663,3,1,199610778,191258375,199783379,191776163,199783379
131072,4,4294944032,3,1,183856710,163416810,179174720,171377292,183856710
131072,4,4294945637,3,1,196402419,185093997,191390145,182451269,196402419
131072,4,4294952596,3,1,187884248,180879868,174021111,168238364,187884248
131072,4,4294953709,3,1,182770728,191435894,175554612,172251349,191435894
131072,4,4294960802,3,1,183551594,172137903,177419676,189617722,189617722
131072,4,4294960889,3,1,193897643,182720997,196249030,185731899,196249030
131072,4,4294965812,3,1,189170388,198844867,193588261,182686970,198844867
262144,4,4294924248,3,1,194176355,182418750,187939240,200340999,200340999
262144,4,4294926643,3,1,196158065,201847843,191077721,187642873,201847843
262144,4,4294947303,3,1,178421006,182330708,188932133,170501929,188932133
262144,4,4294953790,3,1,198821155,195510833,207128960,211557947,211557947
262144,4,4294955293,3,1,179829100,195353305,191211308,183687884,195353305
262144,4,4294956412,3,1,188252551,173060274,188037438,178572172,188252551
262144,4,4294956725,3,1,211345058,207349209,195344906,202836873,211345058
