n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
1024,8,4280690352,7,1,207937917,207070909,192158812,199389293,206319709,203443992,195756033,191850295,207937917
1024,8,4284710836,7,1,214353614,214949808,203228149,207620973,202251727,206673392,219383313,214818322,219383313
1024,8,4288134437,7,1,205154264,210651446,225714618,216955990,218871611,215625479,209284991,225631420,225714618
1024,8,4290944470,7,1,213422385,208164992,199181145,202831922,215043488,212001611,205014484,200744116,215043488
1024,8,4291111681,7,1,214136634,209245847,209972408,206509898,203595350,207433433,202299178,219773675,219773675
1024,8,4292129749,7,1,243896659,234466246,228607440,220996808,244048608,230680074,239554501,236076692,244048608
1024,8,4292148509,7,1,203743661,190774473,211037222,199455982,211587812,206644491,200844094,197011251,211587812
1024,8,4293263734,7,1,195955813,204588659,220370252,216168093,212595738,214662781,207734304,202809796,220370252
1024,8,4293506473,7,1,219214067,212744993,202859095,207115952,224513216,211326875,213298065,220697501,224513216
1024,8,4294448817,7,1,226226228,230066171,215030613,219132152,227356278,222729422,216266137,212281753,230066171
2048,8,4287874174,7,1,219811067,227010885,213665724,233691744,230794853,222591693,207226746,214334698,233691744
2048,8,4289366171,7,1,232478926,217920434,213452789,225841990,212010016,196496629,218734615,204152486,232478926
2048,8,4291070182,7,1,202316066,219626450,214698034,206990527,224088217,218259419,213362084,207538721,224088217
2048,8,4291081306,7,1,236073484,222768867,218316267,216569563,224616212,235990476,232091846,232270633,236073484
2048,8,4291101101,7,1,209199973,215489410,220613289,206375779,212287324,218692503,206574890,223733413,223733413
2048,8,4292116316,7,1,217136708,214308637,205736642,204166864,207803647,215374059,199600159,192517018,217136708
2048,8,4293091978,7,1,230779561,241431526,245284450,221585079,240592750,247555866,236231829,220173745,247555866
2048,8,4294103680,7,1,217785703,234850366,232583616,225178973,224354737,218951076,233193484,210470639,234850366
2048,8,4294765218,7,1,237864157,248210447,232551131,234716655,244260613,247189124,232482879,226950564,248210447
2048,8,4294891627,7,1,210646210,206010586,198183958,215508552,214842630,209624410,202836159,206575394,215508552
4096,8,4293428819,7,1,245324971,225597533,239283802,233088517,230987158,218642546,227609082,222049834,245324971
4096,8,4293633956,7,1,203560304,196353992,191376121,212121409,214661043,205855552,191422158,198267308,214661043
4096,8,4293939494,7,1,219177048,215017796,208085260,204424387,205823443,212409787,215954643,200775084,219177048
4096,8,4294014234,7,1,215510965,199549596,226771983,210881398,192011438,223889639,212136456,217886763,226771983
4096,8,4294378341,7,1,229763945,218453876,226142612,221663470,217216450,213258554,238248230,232805358,238248230
4096,8,4294400288,7,1,204793828,199905584,193115079,188572204,206114997,199628241,188436022,192289820,206114997
4096,8,4294736231,7,1,208882009,198696032,206166364,197048894,208672883,204266474,198723237,195521053,208882009
4096,8,4294742706,7,1,218332540,196368375,208400719,213478904,201097790,211751734,200050463,206585897,218332540
4096,8,4294837595,7,1,236273552,229396176,217971134,213050749,222377972,225487213,223566557,247880549,247880549
4096,8,4294939971,7,1,190752453,208584836,205428319,206500098,200474233,202711973,195836015,210394547,210394547
8192,8,4293545204,7,1,198634990,214248208,227589616,206095062,218403138,216627261,226633036,208132682,227589616
8192,8,4293692480,7,1,217927761,225866631,228196245,220291574,212022968,224722824,218234985,234882646,234882646
8192,8,4293845790,7,1,205675646,211043385,193995277,201297303,194228263,205744120,202686500,190729064,211043385
8192,8,4294215708,7,1,207885877,205147462,193040166,200585904,188626760,199304801,187724978,192858886,207885877
8192,8,4294266544,7,1,210317827,214782312,226321180,223033808,225505855,225165118,215899161,212143967,226321180
8192,8,4294396789,7,1,223212021,212278939,208262029,211239982,205198453,219623728,198484613,222979706,223212021
8192,8,4294480377,7,1,241038110,250182101,237006043,232273233,235888323,244727529,227337207,230216505,250182101
8192,8,4294604245,7,1,219364253,214622898,207859711,201686443,223333976,208078972,212973386,220627567,223333976
8192,8,4294840671,7,1,229869279,236919588,224948648,231026169,217242869,236842817,226189628,222454137,236919588
8192,8,4294935680,7,1,235489845,229639254,224599444,220496923,237065422,234057414,224659179,226683992,237065422
16384,8,4294377729,7,1,213828357,205593517,221671064,218620314,215142054,208416523,226754132,231440188,231440188
16384,8,4294707655,7,1,210485601,214555899,222906400,203638952,214704282,200287752,205015469,214650594,222906400
16384,8,4294795741,7,1,204836844,199194451,193763273,190428308,204963384,202585546,191003530,194905024,204963384
16384,8,4294806405,7,1,231421571,214894813,242057847,227219767,235850392,221178835,213042265,228458491,242057847
16384,8,4294870394,7,1,211550906,210669191,228949386,222522157,221449359,219941999,214177464,228853771,228949386
16384,8,4294910988,7,1,193124142,211314041,206383247,201025173,211442079,216863378,204977799,200579689,216863378
16384,8,4294925282,7,1,201603536,206762422,218167081,204365227,200919668,214622462,212506044,215657103,218167081
16384,8,4294929826,7,1,217143558,226168475,214360473,206189912,221775229,209644555,204753765,217745347,226168475
16384,8,4294934415,7,1,210175587,213695312,202646794,199582904,206551105,212277934,201541774,198195830,213695312
16384,8,4294936455,7,1,205145235,212205438,200189440,193468134,198492064,203019436,192130741,211385424,212205438
32768,8,4294408729,7,1,216313091,229285978,213794586,214970510,226894777,219287369,229252677,216049148,229285978
32768,8,4294512651,7,1,232842438,220049793,210601555,227962970,218705730,230066877,224221328,222167366,232842438
32768,8,4294555884,7,1,246652723,239475934,229146594,232934700,230871715,229150936,222271440,236084095,246652723
32768,8,4294792347,7,1,200785984,197613728,203506171,194377812,199686692,196993690,190226078,215455107,215455107
32768,8,4294803089,7,1,218253514,209241924,203310176,220910749,218380613,222941059,213742999,207362516,222941059
